Joint,MSE,RMSE,MAE,R2
pelvis,4.015370845794678,2.0038390269167525,1.5681798458099365,0.8445807695388794
shoulders,7.342006683349609,2.709613751690379,1.989332914352417,0.9773861765861511
trunk,8.975942611694336,2.995987752260402,2.154475212097168,0.9769136905670166
left thigh,9.847443580627441,3.1380636673954596,2.2691235542297363,0.9359846115112305
right thigh,10.077543258666992,3.174514649307354,2.2801215648651123,0.9374107122421265
right hip,12.901147842407227,3.591816788535744,2.434640407562256,0.9976794123649597
left shank,15.113700866699219,3.8876343535239033,2.522946357727051,0.8839150667190552
left hip,15.678637504577637,3.959625929879947,2.5408835411071777,0.9963638186454773
right foot,16.54030418395996,4.06697727851533,2.997877359390259,0.969200611114502
left foot,19.09882164001465,4.370219861747764,3.192457914352417,0.9347454905509949
left knee,19.123992919921875,4.373098777745807,2.324934959411621,0.9969445466995239
head,20.303014755249023,4.505886678030088,3.1103501319885254,0.9665093421936035
right shank,20.48466682434082,4.525998986338908,2.7959582805633545,0.8555091023445129
left ankle,24.606870651245117,4.960531287195467,3.4848692417144775,0.9635663032531738
right arm,27.96149253845215,5.287862757149825,3.7509045600891113,0.9721627235412598
right shoulder,28.22154998779297,5.312395880183721,3.6915857791900635,0.9932495355606079
right knee,28.74434471130371,5.361375263055526,2.6763756275177,0.9953543543815613
right ankle,31.68575668334961,5.629010275647897,3.5832669734954834,0.9620909690856934
right elbow,37.87211608886719,6.154032506321947,3.9486734867095947,0.9924663305282593
left arm,45.941802978515625,6.778038283937,4.347717761993408,0.9537167549133301
right forearm,46.111045837402344,6.790511456245571,4.611011505126953,0.957404375076294
left forearm,46.35837936401367,6.808698801093618,4.469951152801514,0.9585060477256775
left shoulder,82.9178237915039,9.10592245692351,4.878752708435059,0.9820132851600647
left elbow,101.52404022216797,10.075913865360699,4.859750270843506,0.9798359274864197
