Joint,MSE,RMSE,MAE,R2
pelvis,5.325724124908447,2.3077530467769827,1.7562545537948608,0.7938621640205383
shoulders,12.308528900146484,3.508351307971664,2.404182195663452,0.9620890021324158
trunk,13.977168083190918,3.7386050985883648,2.6584908962249756,0.9640504121780396
left thigh,14.714293479919434,3.835921464253333,2.7352118492126465,0.9043465852737427
right thigh,16.523582458496094,4.064920965836371,2.9010393619537354,0.8973758220672607
right foot,22.686372756958008,4.763021389512964,3.5211520195007324,0.9577561020851135
left knee,23.90877914428711,4.889660432411142,2.774374485015869,0.9961801171302795
right shank,26.332740783691406,5.1315437037690135,3.274866819381714,0.8142590522766113
left foot,26.5729923248291,5.154899836546691,3.7800943851470947,0.9092087149620056
left shank,26.70115089416504,5.167315637172267,3.374117851257324,0.7949144840240479
right knee,33.18014907836914,5.760221269913956,3.06762433052063,0.9946374893188477
left ankle,37.384647369384766,6.114298599952799,4.345003128051758,0.9446470737457275
right arm,37.64111328125,6.1352353892291696,4.445003509521484,0.9625261425971985
right ankle,41.418521881103516,6.4357223278435125,4.5563225746154785,0.950446605682373
head,44.494842529296875,6.670445452089154,4.378241539001465,0.9266038537025452
right elbow,52.7088508605957,7.260086146912839,4.827801704406738,0.9895150065422058
right hip,58.88994598388672,7.673978497747223,3.711653709411621,0.9894071817398071
left hip,58.968971252441406,7.679125682813207,3.7083559036254883,0.9863239526748657
right forearm,62.416873931884766,7.900435047001195,5.61557149887085,0.942341685295105
left elbow,65.50902557373047,8.093764610719196,5.1450724601745605,0.9869890213012695
left arm,66.89403533935547,8.178877388698004,5.425788879394531,0.9326088428497314
right shoulder,66.91307067871094,8.180040994928506,5.033475399017334,0.9839946627616882
left forearm,85.44530487060547,9.243662957432269,6.174589157104492,0.923520565032959
left shoulder,111.23011016845703,10.546568644277485,6.250128746032715,0.9758716821670532
