Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-0.992,-0.057,0.228,-1.19,-2.03,-0.42,-1.009,-0.142,0.09,-2.1,-0.63,0.84,-0.996,0.007,0.081,-1.82,-5.18,0.42
20.0,-0.991,-0.052,0.231,-0.98,-1.89,-0.42,-1.005,-0.138,0.088,-1.085,0.115,1.008,-0.987,-0.001,0.078,-0.577,-4.214,1.125
40.0,-0.991,-0.052,0.233,-1.12,-1.82,-0.42,-1.012,-0.133,0.086,-1.364,-0.066,1.263,-0.992,0.0,0.077,0.517,-2.768,1.836
60.0,-0.997,-0.053,0.236,-1.068,-1.938,-0.29,-1.011,-0.139,0.077,-0.589,-0.504,1.739,-1.002,0.004,0.082,0.838,-2.37,2.04
80.0,-0.995,-0.059,0.235,-0.874,-2.013,-0.28,-1.014,-0.13,0.08,-1.275,-1.27,1.46,-1.0,0.004,0.083,0.376,-2.244,2.232
100.0,-0.996,-0.058,0.232,-0.776,-2.169,-0.28,-1.01,-0.129,0.082,-1.953,-1.833,1.042,-0.995,0.002,0.084,-0.257,-2.184,2.376
120.0,-0.993,-0.057,0.226,-0.38,-1.429,-0.344,-1.009,-0.131,0.081,-2.422,-1.645,0.554,-0.992,-0.003,0.086,-0.222,-1.862,2.244
140.0,-0.992,-0.062,0.227,-0.789,-1.197,-0.241,-1.014,-0.135,0.081,-2.354,-2.049,0.37,-0.991,-0.007,0.084,0.052,-1.411,2.379
160.0,-0.989,-0.061,0.223,-0.495,-1.68,-0.114,-1.011,-0.128,0.084,-1.718,-2.1,0.283,-0.991,-0.011,0.092,0.504,-1.294,2.318
180.0,-0.989,-0.049,0.215,1.182,-1.25,0.027,-1.011,-0.134,0.078,-1.736,-2.318,0.28,-1.0,-0.014,0.09,1.038,-1.052,2.379
200.0,-0.991,-0.048,0.22,1.465,-0.723,0.173,-1.014,-0.139,0.079,-1.28,-2.772,0.559,-1.008,-0.01,0.09,1.164,-1.349,2.245
220.0,-0.993,-0.053,0.224,0.571,-0.289,0.154,-1.013,-0.139,0.084,-0.546,-2.836,0.932,-1.006,-0.014,0.091,1.242,-1.336,1.812
240.0,-1.003,-0.05,0.23,-0.91,-0.171,-0.023,-1.011,-0.132,0.086,-0.564,-2.576,0.884,-1.005,-0.013,0.097,1.826,-1.386,1.554
260.0,-1.003,-0.052,0.232,-0.949,-1.105,-0.168,-1.013,-0.133,0.084,-0.605,-2.299,0.873,-0.997,-0.01,0.099,1.96,-1.4,1.239
280.0,-0.997,-0.055,0.226,-0.494,-1.311,-0.25,-1.013,-0.137,0.084,-0.22,-1.817,0.951,-0.993,-0.013,0.097,2.08,-1.28,0.967
300.0,-0.991,-0.056,0.22,-0.086,-1.19,-0.314,-1.011,-0.135,0.082,0.066,-1.678,0.891,-0.995,-0.008,0.1,1.989,-1.26,0.561
320.0,-0.99,-0.055,0.222,0.089,-1.159,-0.426,-1.01,-0.132,0.081,-0.517,-1.894,0.77,-1.0,-0.006,0.1,1.218,-1.426,-0.303
340.0,-0.992,-0.055,0.225,0.355,-1.14,-0.49,-1.008,-0.134,0.082,-0.793,-2.17,0.839,-1.01,-0.008,0.097,0.608,-1.929,-1.078
360.0,-0.995,-0.056,0.224,0.669,-1.089,-0.555,-1.004,-0.138,0.077,0.687,-2.783,1.12,-1.012,-0.008,0.093,0.621,-2.449,-1.645
380.0,-0.996,-0.055,0.224,0.646,-0.397,-0.867,-1.011,-0.133,0.084,0.67,-2.63,0.947,-1.007,-0.007,0.091,1.103,-2.594,-1.989
400.0,-0.997,-0.052,0.227,1.036,0.214,-1.063,-1.011,-0.132,0.086,-0.553,-2.17,0.39,-1.007,-0.008,0.094,2.335,-2.369,-1.463
420.0,-0.998,-0.053,0.228,1.668,-0.004,-1.076,-1.011,-0.133,0.086,-1.605,-2.092,0.156,-1.001,-0.005,0.097,2.968,-2.405,-0.704
440.0,-1.001,-0.057,0.23,1.556,-0.77,-1.01,-1.01,-0.14,0.082,-1.434,-1.57,0.316,-0.999,-0.002,0.092,3.033,-1.967,-0.21
460.0,-0.99,-0.052,0.215,1.354,-0.708,-1.19,-1.014,-0.141,0.081,-0.776,-1.461,0.42,-1.003,-0.003,0.091,3.208,-2.227,-0.235
480.0,-0.988,-0.052,0.223,1.54,0.077,-1.216,-1.011,-0.135,0.081,-1.454,-1.161,0.41,-1.005,-0.001,0.095,2.896,-2.693,-0.959
500.0,-0.992,-0.056,0.226,1.567,0.306,-1.457,-1.011,-0.132,0.083,-1.677,-0.911,0.352,-1.001,-0.004,0.091,2.783,-2.845,-1.5
520.0,-0.994,-0.057,0.224,1.855,0.078,-1.626,-1.017,-0.135,0.081,-0.853,-1.287,0.795,-0.997,-0.003,0.092,3.261,-2.935,-1.54
540.0,-0.995,-0.053,0.221,2.24,0.506,-1.75,-1.006,-0.139,0.079,0.983,-2.206,1.381,-0.997,-0.002,0.089,3.685,-2.628,-1.535
560.0,-0.998,-0.054,0.218,2.24,0.782,-1.675,-1.005,-0.131,0.076,-0.39,-1.911,0.953,-0.996,-0.005,0.087,4.192,-2.277,-1.229
580.0,-0.996,-0.053,0.22,2.239,0.994,-1.535,-1.005,-0.137,0.079,-0.922,-1.956,0.851,-1.0,-0.002,0.086,4.76,-2.03,-0.989
600.0,-0.994,-0.053,0.219,2.093,1.33,-1.467,-1.011,-0.135,0.081,-1.399,-1.811,0.723,-1.0,0.0,0.087,4.689,-2.054,-1.342
620.0,-0.994,-0.054,0.221,1.964,1.263,-1.409,-1.011,-0.136,0.077,-1.401,-1.702,0.7,-0.995,-0.0,0.086,4.346,-2.165,-1.577
640.0,-0.996,-0.054,0.22,1.96,1.26,-1.332,-1.01,-0.137,0.081,-1.092,-1.622,0.773,-0.993,-0.005,0.085,4.621,-1.993,-1.741
660.0,-0.999,-0.058,0.223,2.298,1.132,-1.33,-1.02,-0.136,0.081,0.388,-2.388,1.429,-0.994,-0.008,0.081,5.68,-1.564,-1.479
680.0,-0.994,-0.053,0.221,2.678,1.16,-1.276,-1.012,-0.137,0.079,0.229,-2.258,1.339,-0.996,-0.009,0.081,7.202,-0.983,-1.339
700.0,-0.995,-0.048,0.217,2.529,1.289,-1.26,-1.011,-0.136,0.076,-0.246,-2.201,1.073,-1.007,0.005,0.09,7.082,-1.316,-1.067
720.0,-0.994,-0.049,0.214,1.921,1.376,-1.318,-1.012,-0.138,0.079,-0.846,-2.12,1.094,-1.0,0.003,0.088,6.166,-1.539,-0.656
740.0,-0.994,-0.05,0.212,1.264,1.657,-1.266,-1.007,-0.14,0.08,0.801,-2.619,1.547,-0.997,-0.001,0.087,6.737,-0.749,0.091
760.0,-0.994,-0.051,0.215,1.799,2.423,-1.117,-1.008,-0.135,0.079,1.05,-2.586,1.476,-1.001,0.004,0.091,7.138,-0.491,0.419
780.0,-1.001,-0.058,0.226,1.89,2.247,-0.736,-1.008,-0.132,0.08,-0.476,-2.094,0.865,-1.005,0.005,0.093,6.449,-0.49,0.126
