Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-1.008,0.001,0.185,-0.98,-12.04,1.54,-0.993,0.104,0.226,-1.61,1.89,2.94,-0.989,0.017,0.219,10.22,-3.71,14.42
20.0,-0.982,0.0,0.159,-1.82,-11.27,2.24,-0.987,0.1,0.236,-1.828,3.066,2.062,-0.993,0.02,0.224,12.519,-4.267,14.556
40.0,-0.975,-0.006,0.17,-2.574,-10.043,1.215,-0.993,0.098,0.217,-1.954,4.15,1.385,-0.98,0.024,0.218,15.266,-3.624,13.796
60.0,-0.989,0.003,0.187,-3.171,-9.94,0.536,-0.995,0.09,0.216,-1.614,5.077,0.782,-0.962,0.013,0.209,17.041,-2.311,13.223
80.0,-1.016,0.016,0.201,-2.896,-10.009,0.682,-1.002,0.09,0.213,-1.201,5.044,0.28,-0.962,0.02,0.215,22.415,-0.762,11.367
100.0,-1.01,0.02,0.203,-2.212,-9.28,1.354,-0.997,0.095,0.205,-0.233,5.371,-0.201,-0.977,0.054,0.214,19.88,-0.28,8.47
120.0,-0.997,0.012,0.204,-2.17,-9.018,1.4,-0.996,0.086,0.203,-0.96,5.441,-0.21,-0.978,0.04,0.208,16.422,-0.165,6.791
140.0,-0.992,0.008,0.199,-1.787,-8.499,1.161,-0.999,0.083,0.203,-1.264,5.642,0.381,-0.973,0.03,0.195,16.452,0.309,4.509
160.0,-0.997,0.013,0.194,-1.61,-8.813,1.05,-1.008,0.094,0.194,-2.228,5.535,0.49,-0.978,0.03,0.197,18.782,0.206,1.669
180.0,-1.01,0.017,0.209,-2.737,-8.808,1.412,-1.008,0.096,0.191,-2.565,5.165,0.356,-0.973,0.059,0.207,17.686,-0.264,-0.779
200.0,-1.008,0.012,0.214,-2.851,-8.772,1.401,-1.01,0.085,0.189,-2.377,4.193,0.1,-0.982,0.09,0.208,11.57,-2.25,-4.018
220.0,-0.995,0.011,0.202,-1.384,-8.528,1.26,-1.007,0.083,0.191,-1.804,4.101,0.19,-0.979,0.115,0.21,-3.019,-4.689,-6.9
240.0,-0.989,0.006,0.194,-0.961,-6.85,1.047,-1.006,0.087,0.19,-2.061,4.012,0.21,-0.999,0.154,0.212,-23.508,-11.299,-10.147
