Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
25620.0,-0.618,-0.183,-0.498,18.477,66.92,-8.293,-1.458,0.351,-0.033,67.34,53.97,-34.37,-0.814,0.327,0.887,49.612,68.114,-84.429
25640.0,-0.593,-0.108,-0.556,37.795,58.138,-10.244,-1.3,0.052,0.095,92.68,87.71,-41.23,-0.951,0.504,0.86,47.585,47.483,-88.336
25660.0,-0.539,-0.074,-0.819,50.105,65.952,-10.815,-1.39,-0.256,0.275,115.78,71.54,-46.27,-0.919,0.497,0.688,30.52,11.595,-86.814
25680.0,-0.507,-0.102,-0.946,59.719,73.667,-9.996,-1.096,-0.308,-0.178,78.89,57.47,-47.81,-0.697,0.25,0.629,35.272,6.686,-75.455
25700.0,-0.543,-0.159,-0.918,66.658,82.205,-5.126,-0.908,-0.113,-0.401,62.09,47.81,-29.96,-0.678,0.138,0.666,55.473,10.021,-56.922
25720.0,-0.584,-0.299,-0.761,74.682,77.625,-3.267,-0.736,0.04,-0.253,11.605,24.793,-15.368,-0.764,0.241,0.725,49.07,10.76,-34.64
25740.0,-0.559,-0.388,-0.689,80.283,59.534,-4.531,-0.502,0.55,0.817,-69.244,-24.098,11.159,-0.922,0.269,0.647,37.598,8.46,-16.05
25760.0,-0.539,-0.344,-0.702,65.228,48.461,-8.617,-0.337,0.162,0.5,-51.12,-101.075,74.408,-0.998,0.25,0.502,42.808,-0.689,-3.761
25780.0,-0.572,-0.159,-0.783,42.538,39.232,-10.997,-0.047,-0.227,-0.331,-31.293,-96.667,66.709,-0.913,0.364,0.535,44.074,-3.994,6.928
25800.0,-0.575,-0.005,-0.897,-3.217,39.418,-3.367,-0.478,-0.085,-0.384,-70.066,-47.229,58.721,-0.889,0.386,0.576,28.459,9.01,17.316
25820.0,-0.543,-0.245,-0.982,-26.071,47.139,8.361,-0.894,-0.311,-0.574,-83.937,-50.465,63.721,-0.944,0.391,0.488,10.908,23.93,24.354
25840.0,-0.509,-0.5,-1.044,-39.555,52.29,6.213,-1.158,-2.326,-1.466,-34.498,20.922,-19.868,-1.029,0.436,0.446,1.328,14.902,33.149
25860.0,-0.555,-0.536,-1.05,-48.94,52.138,-8.339,-1.669,-0.438,0.401,-70.477,25.082,-25.647,-0.963,0.487,0.546,-21.501,-7.177,44.147
25880.0,-0.58,-0.562,-0.904,-58.536,41.009,-22.613,-1.489,0.106,0.339,-118.275,-106.901,52.214,-0.925,0.417,0.545,-30.891,2.295,47.44
25900.0,-0.58,-0.49,-0.766,-59.04,19.944,-29.026,-1.196,-0.363,-0.097,-104.764,-64.365,47.53,-0.985,0.236,0.472,-26.558,10.897,46.092
25920.0,-0.544,-0.413,-0.714,-54.46,-4.9,-30.24,-1.205,-0.193,0.359,-8.239,2.418,33.752,-0.98,0.224,0.555,-1.057,13.832,45.48
25940.0,-0.424,-0.296,-0.811,-50.911,-20.708,-30.161,-1.211,-0.051,-0.007,-13.265,-12.323,33.24,-1.105,0.454,0.608,-28.84,-0.907,47.028
25960.0,-0.251,-0.243,-0.937,-53.757,-17.39,-29.238,-1.149,0.127,-0.17,-48.496,-4.519,26.258,-1.205,0.458,0.564,-63.346,-37.917,46.363
25980.0,-0.287,-0.25,-0.993,-52.671,-9.4,-23.072,-0.982,0.004,-0.127,-28.333,-2.168,27.398,-1.049,0.281,0.555,-48.749,-36.773,40.561
26000.0,-0.375,-0.25,-0.943,-43.982,-6.714,-13.047,-0.9,-0.094,-0.21,-16.978,-10.033,34.852,-1.067,0.238,0.478,-34.063,-39.736,40.041
26020.0,-0.499,-0.225,-0.963,-26.565,-11.534,-4.268,-0.916,-0.076,-0.183,-7.962,-36.629,51.742,-1.0,0.336,0.546,-26.04,-39.13,41.58
26040.0,-0.483,-0.201,-1.108,-26.298,-7.27,1.117,-1.084,0.085,0.047,10.234,-61.237,66.509,-1.053,0.346,0.512,-40.941,-38.972,45.762
26060.0,-0.479,-0.163,-1.128,-30.554,-1.947,-0.97,-1.179,0.194,0.241,0.228,-7.071,41.709,-1.037,0.24,0.571,-37.811,-37.745,40.166
26080.0,-0.527,-0.115,-1.003,-37.296,-4.724,-6.574,-1.115,0.012,-0.005,-15.103,7.799,25.613,-1.125,0.203,0.629,-20.505,-40.443,27.506
26100.0,-0.579,-0.046,-0.758,-36.725,-21.241,-12.821,-0.974,-0.148,-0.186,16.075,-0.27,25.191,-1.085,0.33,0.648,-18.692,-43.668,19.0
26120.0,-0.564,0.022,-0.748,-31.575,-41.096,-13.771,-1.047,0.368,-0.062,20.16,-2.73,23.31,-1.123,0.417,0.643,-30.981,-46.336,11.187
26140.0,-0.481,0.016,-0.821,-27.181,-44.195,-10.728,-1.049,0.223,-0.018,-12.12,-6.537,8.264,-1.025,0.318,0.559,-50.252,-56.989,6.451
26160.0,-0.46,-0.094,-0.887,-13.776,-42.57,-3.803,-1.005,0.197,-0.016,-24.64,-2.73,0.49,-0.9,0.151,0.528,-39.057,-67.954,6.3
26180.0,-0.534,-0.166,-0.84,8.553,-41.807,-1.911,-1.019,0.006,-0.103,-6.942,-1.651,3.867,-0.798,0.187,0.537,-13.151,-64.657,7.499
26200.0,-0.644,-0.17,-0.797,19.259,-45.241,-2.789,-1.003,0.061,-0.014,-8.68,-7.91,9.52,-0.858,0.326,0.556,-13.773,-65.539,8.638
26220.0,-0.647,-0.141,-0.821,25.948,-44.194,-2.757,-1.034,0.069,-0.003,-2.552,-6.313,8.751,-0.859,0.345,0.538,-31.679,-73.828,7.629
26240.0,-0.614,-0.043,-0.848,28.659,-36.308,0.093,-0.997,0.075,-0.05,3.81,-7.17,5.657,-0.76,0.259,0.49,-32.613,-70.541,5.247
26260.0,-0.631,0.066,-0.821,26.919,-33.958,4.086,-1.025,0.122,-0.042,14.303,-8.579,1.185,-0.746,0.23,0.476,-19.899,-60.135,1.938
26280.0,-0.663,0.138,-0.774,18.422,-34.317,8.374,-1.013,0.132,-0.005,8.68,-12.18,-2.59,-0.744,0.257,0.465,-9.684,-52.616,-2.528
26300.0,-0.642,0.133,-0.733,14.888,-34.126,13.469,-1.04,0.146,0.021,3.5,-12.53,-3.36,-0.742,0.345,0.458,-6.24,-50.761,-7.014
26320.0,-0.624,0.041,-0.713,13.627,-35.275,16.22,-0.991,0.162,-0.02,3.92,-11.2,-7.14,-0.693,0.42,0.444,-6.642,-51.387,-6.991
26340.0,-0.571,-0.035,-0.753,14.16,-35.14,10.931,-1.008,0.144,0.002,2.3,-15.792,-9.113,-0.644,0.419,0.471,-9.969,-50.462,-4.087
26360.0,-0.566,-0.046,-0.744,14.87,-34.691,5.343,-1.02,0.101,0.012,5.118,-17.812,-9.773,-0.636,0.384,0.511,-5.5,-49.123,-2.249
26380.0,-0.618,-0.01,-0.666,15.26,-35.856,3.388,-1.034,0.079,-0.019,0.888,-21.099,-9.8,-0.647,0.406,0.566,7.213,-38.348,-2.663
26400.0,-0.641,0.022,-0.642,15.161,-39.449,5.364,-1.017,0.06,0.023,1.194,-22.787,-9.264,-0.683,0.478,0.597,6.146,-28.323,-5.052
26420.0,-0.619,0.073,-0.761,11.366,-40.225,4.653,-1.02,-0.022,0.019,16.555,-23.747,-6.569,-0.744,0.478,0.535,-6.875,-27.69,-7.041
26440.0,-0.613,0.069,-0.813,3.805,-37.272,4.151,-1.042,-0.014,-0.03,22.071,-24.538,-1.248,-0.778,0.433,0.521,-9.885,-42.777,-9.181
26460.0,-0.635,0.071,-0.804,1.68,-33.32,5.04,-1.042,0.025,-0.032,31.286,-24.715,-2.231,-0.678,0.428,0.634,-12.22,-39.737,-9.776
26480.0,-0.679,-0.015,-0.703,8.12,-32.34,7.84,-1.091,0.061,0.016,42.535,-30.285,-1.964,-0.642,0.374,0.729,-19.376,-28.821,-11.194
26500.0,-0.714,-0.082,-0.677,14.926,-34.413,8.784,-1.091,-0.012,0.039,52.834,-43.899,-3.02,-0.642,0.269,0.676,-8.382,-25.907,-17.342
26520.0,-0.73,-0.087,-0.704,17.617,-34.856,7.927,-1.104,-0.039,-0.0,69.499,-48.129,-7.657,-0.586,0.28,0.685,-1.061,-28.26,-19.707
26540.0,-0.734,-0.025,-0.729,28.079,-31.752,9.797,-1.09,0.073,0.01,63.292,-54.561,-10.268,-0.537,0.346,0.746,1.036,-30.225,-18.746
26560.0,-0.758,-0.027,-0.668,38.491,-30.315,14.116,-1.04,0.096,0.019,55.206,-55.641,-12.078,-0.486,0.358,0.826,-0.015,-30.31,-16.416
26580.0,-0.758,-0.045,-0.618,43.784,-31.611,14.077,-1.016,0.012,-0.045,64.151,-43.483,-16.981,-0.388,0.334,0.92,0.323,-26.35,-14.216
26600.0,-0.761,-0.11,-0.624,48.492,-34.558,12.272,-0.997,0.03,-0.041,91.159,-24.107,-27.43,-0.37,0.339,0.978,2.152,-16.083,-11.023
26620.0,-0.736,-0.192,-0.742,49.942,-29.861,9.018,-1.019,0.267,0.071,86.859,-7.905,-36.879,-0.511,0.407,0.971,-23.062,-22.868,-7.682
26640.0,-0.767,-0.217,-0.63,39.422,-24.789,2.19,-1.071,0.144,-0.023,69.502,6.32,-49.649,-0.547,0.346,0.951,-42.435,-46.661,-5.977
26660.0,-0.82,-0.212,-0.498,22.61,-29.82,-6.86,-1.134,-0.4,-0.43,70.719,23.823,-65.217,-0.38,0.167,1.077,-35.192,-50.157,-5.854
26680.0,-0.811,-0.223,-0.468,13.93,-37.45,-10.85,-1.316,-0.417,-0.457,65.39,36.613,-70.968,-0.387,0.061,1.104,-17.841,-28.137,-5.784
26700.0,-0.761,-0.305,-0.519,11.97,-38.938,-8.652,-1.031,-0.031,0.123,2.285,66.097,-75.936,-0.541,0.108,1.014,-37.291,-40.234,-4.153
26720.0,-0.727,-0.421,-0.552,13.073,-35.012,-4.813,-1.065,-0.165,0.116,-26.632,58.976,-72.817,-0.522,-0.011,0.93,-33.654,-57.068,-4.546
26740.0,-0.738,-0.477,-0.484,14.744,-33.703,-4.307,-0.891,0.056,0.267,-43.33,64.68,-65.31,-0.55,-0.026,0.95,-18.775,-66.504,-6.855
26760.0,-0.767,-0.46,-0.469,17.58,-33.628,-3.964,-0.861,0.056,0.331,-44.8,43.4,-56.14,-0.411,-0.088,0.917,0.291,-67.138,-11.304
26780.0,-0.796,-0.424,-0.481,21.724,-32.554,-2.011,-0.738,-0.001,0.313,-14.801,33.826,-36.35,-0.379,-0.064,0.899,8.609,-55.625,-12.899
26800.0,-0.8,-0.401,-0.488,22.594,-28.001,-1.347,-0.703,-0.017,0.416,34.112,18.707,-19.825,-0.384,0.007,0.885,0.434,-43.43,-10.917
26820.0,-0.789,-0.383,-0.438,20.228,-23.709,-3.851,-0.864,-0.233,0.294,84.337,-14.473,-20.158,-0.344,0.002,0.776,-8.208,-39.294,-6.443
26840.0,-0.77,-0.344,-0.417,13.36,-23.524,-7.816,-0.21,-0.368,0.339,105.483,-25.651,-18.006,-0.319,-0.039,0.656,-9.363,-41.046,-0.249
26860.0,-0.714,-0.319,-0.427,3.893,-22.92,-12.154,-0.909,0.216,0.255,18.051,33.416,-23.708,-0.277,-0.048,0.64,-8.795,-46.808,8.488
26880.0,-0.613,-0.309,-0.424,-4.541,-18.415,-17.275,-0.863,-0.148,-0.376,43.216,-93.672,-8.649,-0.303,0.027,0.662,-11.555,-41.869,15.989
26900.0,-0.538,-0.309,-0.385,-11.205,-12.877,-20.331,-1.031,-0.547,-0.042,87.86,-6.331,-23.633,-0.329,0.045,0.647,-13.86,-41.37,22.33
26920.0,-0.5,-0.313,-0.287,-18.239,-11.838,-24.423,-0.734,-0.434,0.366,38.898,11.455,-79.553,-0.297,0.021,0.622,-26.95,-43.96,29.68
