Joint,MSE,RMSE,MAE,R2
pelvis,4.737577438354492,2.1765976748941207,1.679593801498413,0.816627025604248
shoulders,8.140620231628418,2.853177217003602,2.1221306324005127,0.9749264121055603
trunk,8.419434547424316,2.9016261901603237,2.123208522796631,0.9783450365066528
right thigh,12.129129409790039,3.482689967509316,2.5101749897003174,0.9246687889099121
right hip,12.845947265625,3.584124337355639,2.4455535411834717,0.9976893067359924
left thigh,13.75360107421875,3.7085847805084287,2.6640591621398926,0.9105917811393738
left hip,14.792309761047363,3.8460771912492038,2.527243137359619,0.9965693950653076
right knee,16.81992530822754,4.101210224827245,2.4655323028564453,0.9972816109657288
left shank,18.115205764770508,4.256196161453382,2.74713397026062,0.8608611822128296
right shank,18.439897537231445,4.294170180282967,2.6890625953674316,0.8699321150779724
right foot,18.505325317382812,4.301781644549478,3.1050660610198975,0.9655415415763855
left foot,18.955202102661133,4.3537572397483455,3.095308780670166,0.9352362155914307
left knee,19.44252586364746,4.409367966460438,2.44645619392395,0.9968937039375305
head,20.879796981811523,4.5694416488025675,3.1906747817993164,0.965557873249054
right arm,23.3397216796875,4.831120126811949,3.453803539276123,0.9767639636993408
left ankle,26.25799560546875,5.124255614766768,3.509655237197876,0.9611215591430664
left arm,27.922313690185547,5.284156857076211,3.7120885848999023,0.9718701839447021
right shoulder,28.085617065429688,5.299586499476132,3.6856184005737305,0.9932820200920105
right elbow,28.492778778076172,5.337862753769168,3.565682888031006,0.9943321347236633
right ankle,30.30208969116211,5.504733389653136,3.6488184928894043,0.9637463688850403
left shoulder,32.20415115356445,5.674870144202813,3.800107002258301,0.9930142164230347
left elbow,36.619903564453125,6.051438140182309,3.933014392852783,0.9927268028259277
right forearm,37.60930252075195,6.132642376720817,4.166688919067383,0.9652579426765442
left forearm,40.935508728027344,6.398086333273985,4.343883037567139,0.9633598923683167
