Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
89640.0,-1.002,0.155,-0.136,-15.882,19.738,59.076,-0.98,0.012,0.317,4.092,-4.598,4.35,-1.005,-0.055,0.118,-4.875,-5.761,-4.782,-0.749,0.105,-0.189,34.159,-12.205,-19.036,-2.254,-0.068,-0.276,-62.99,-264.819,27.754
89660.0,-0.996,0.212,-0.205,-10.691,26.349,70.167,-0.977,0.026,0.326,2.9,-4.742,4.077,-1.016,-0.065,0.113,-5.511,-9.041,-5.53,-0.743,0.098,-0.199,41.838,-7.616,-10.831,-2.192,-0.031,-0.239,-38.306,-277.758,61.691
89680.0,-0.932,0.137,-0.18,-10.623,28.668,76.985,-0.975,0.029,0.328,1.692,-3.71,1.555,-1.001,-0.053,0.113,-6.723,-7.254,-5.655,-0.763,0.058,-0.231,45.335,-8.58,-4.078,-2.013,0.041,-0.213,-30.257,-277.97,85.493
89700.0,-0.861,0.154,-0.198,-4.561,35.267,82.452,-0.979,0.014,0.324,0.534,-3.693,0.539,-1.006,-0.064,0.114,-7.831,-7.429,-7.289,-0.744,0.017,-0.255,52.246,-9.926,2.561,-2.0,0.081,-0.325,-34.44,-274.454,90.654
89720.0,-0.777,0.189,-0.165,0.373,43.344,89.479,-0.985,0.016,0.321,-0.095,-4.307,0.708,-1.003,-0.065,0.11,-8.375,-8.516,-8.583,-0.686,0.02,-0.257,59.044,-8.447,5.583,-1.904,-0.027,-0.392,-36.955,-275.998,116.241
89740.0,-0.736,0.21,-0.213,5.308,49.44,88.407,-0.976,0.013,0.313,-1.205,-4.15,-0.023,-1.005,-0.065,0.122,-5.475,-7.779,-10.859,-0.665,0.016,-0.261,59.849,-4.607,6.248,-1.871,-0.09,-0.451,-36.512,-289.091,134.264
89760.0,-0.692,0.291,-0.257,9.083,58.551,89.109,-0.981,0.026,0.329,-3.532,-4.792,-1.495,-1.004,-0.072,0.113,-4.672,-9.019,-12.077,-0.654,-0.015,-0.261,56.688,12.411,3.503,-1.764,-0.157,-0.422,-30.365,-287.893,160.575
89780.0,-0.659,0.338,-0.265,9.017,70.623,93.386,-0.976,0.037,0.332,-5.794,-3.417,-3.187,-0.997,-0.078,0.119,-1.95,-7.91,-12.75,-0.617,-0.035,-0.252,49.719,9.395,-4.85,-1.684,-0.12,-0.405,-27.256,-276.691,177.505
89800.0,-0.638,0.379,-0.28,8.3,82.907,97.451,-0.986,0.019,0.329,-6.51,-3.377,-4.018,-1.007,-0.081,0.119,-4.427,-8.245,-13.675,-0.574,-0.026,-0.221,35.827,3.168,-17.648,-1.6,-0.158,-0.383,-36.742,-270.172,191.41
89820.0,-0.608,0.412,-0.274,4.18,92.236,103.007,-0.979,0.012,0.329,-6.33,-4.02,-5.002,-1.015,-0.095,0.115,-4.83,-11.48,-13.72,-0.574,-0.009,-0.208,12.804,12.64,-35.958,-1.517,-0.192,-0.369,-40.325,-258.224,202.693
89840.0,-0.564,0.451,-0.294,-0.392,101.136,105.943,-0.981,0.002,0.313,-0.49,-4.13,-5.46,-0.996,-0.103,0.106,-6.44,-12.04,-13.51,-0.627,-0.026,-0.244,-4.433,17.276,-52.147,-1.406,-0.28,-0.311,-27.4,-234.794,221.046
89860.0,-0.557,0.498,-0.299,1.185,111.955,107.924,-0.963,0.011,0.321,6.23,-4.06,-4.41,-1.001,-0.096,0.122,0.269,-13.623,-14.357,-0.696,-0.014,-0.3,-15.146,15.67,-64.919,-1.316,-0.295,-0.305,-10.875,-222.639,238.375
89880.0,-0.59,0.54,-0.261,5.055,115.606,110.532,-0.963,-0.014,0.33,4.76,-2.52,-4.34,-1.029,-0.064,0.102,-1.008,-17.195,-14.508,-0.767,0.015,-0.328,-23.639,18.233,-73.815,-1.16,-0.193,-0.324,-7.735,-219.78,245.364
89900.0,-0.644,0.588,-0.248,6.92,115.092,114.755,-0.959,-0.016,0.333,5.854,-1.967,-3.417,-1.021,-0.042,0.102,-1.109,-21.875,-16.886,-0.836,-0.034,-0.368,-26.166,17.226,-75.632,-1.045,-0.177,-0.223,-15.493,-210.167,240.785
89920.0,-0.634,0.578,-0.284,4.21,112.408,114.985,-0.995,-0.029,0.319,2.292,-2.26,-1.659,-1.044,-0.033,0.115,-9.984,-27.009,-19.632,-0.878,-0.128,-0.423,-22.23,14.101,-74.902,-0.997,-0.168,-0.103,-31.858,-215.321,227.956
89940.0,-0.619,0.513,-0.351,-3.489,104.37,104.977,-0.987,-0.062,0.297,-3.088,-3.012,0.131,-1.024,-0.075,0.145,-15.797,-33.928,-21.33,-0.92,-0.115,-0.431,-6.415,13.065,-73.464,-0.853,-0.234,-0.017,-45.315,-212.578,213.773
89960.0,-0.588,0.545,-0.462,-4.964,103.717,94.581,-1.015,-0.042,0.291,-0.176,-7.952,3.824,-1.002,-0.135,0.171,-15.513,-35.698,-23.231,-0.965,-0.008,-0.416,-4.841,9.067,-74.405,-0.703,-0.291,0.021,-44.342,-206.043,193.169
89980.0,-0.514,0.717,-0.58,-5.038,112.549,88.648,-1.006,-0.075,0.278,3.266,-12.648,12.101,-0.977,-0.158,0.208,-14.14,-35.0,-21.35,-0.953,0.016,-0.399,-17.73,8.115,-74.925,-0.486,-0.2,0.159,-64.34,-204.85,170.148
90000.0,-0.476,0.819,-0.551,-8.768,122.319,89.078,-0.977,-0.03,0.293,5.27,-20.598,17.875,-0.868,-0.212,0.212,-10.843,-28.706,-20.341,-0.937,0.015,-0.379,-32.557,10.282,-73.865,-0.343,-0.27,0.162,-39.938,-225.134,158.471
90020.0,-0.443,0.801,-0.539,-16.313,121.486,87.013,-0.984,0.017,0.346,11.484,-21.442,18.19,-0.895,-0.285,0.18,14.906,-15.104,-14.454,-0.954,-0.029,-0.378,-38.932,11.346,-66.873,-0.046,-0.265,0.209,-32.66,-210.478,154.763
90040.0,-0.375,0.736,-0.603,-16.853,115.21,79.112,-0.975,0.038,0.359,15.492,-19.57,17.498,-0.945,-0.232,0.195,4.658,-16.265,-11.607,-0.993,-0.152,-0.422,-30.32,11.483,-51.459,0.049,-0.227,0.268,-27.48,-184.839,154.122
90060.0,-0.292,0.735,-0.641,-9.383,114.71,72.691,-0.982,0.043,0.373,16.154,-19.525,15.333,-0.954,-0.117,0.199,1.387,-13.938,-9.145,-1.039,-0.216,-0.477,-0.324,1.639,-30.669,0.061,-0.25,0.306,-15.737,-173.139,155.911
90080.0,-0.304,0.734,-0.531,-8.077,112.576,73.925,-0.949,0.013,0.383,19.8,-19.309,12.401,-0.992,-0.106,0.2,-2.879,-16.435,-9.293,-1.033,-0.201,-0.474,35.469,-1.308,-4.74,0.137,-0.373,0.323,-13.669,-177.1,162.947
90100.0,-0.337,0.695,-0.502,-9.293,103.061,69.837,-0.918,0.073,0.42,12.725,-12.363,8.6,-1.063,-0.101,0.218,-0.636,-24.827,-9.503,-1.084,-0.116,-0.406,44.374,1.431,7.877,0.37,-0.328,0.351,0.441,-176.879,158.734
90120.0,-0.331,0.686,-0.591,-9.914,92.44,63.617,-0.937,0.079,0.406,2.577,-7.256,4.436,-1.019,-0.137,0.217,5.428,-27.541,-8.763,-1.113,-0.13,-0.374,42.723,-2.883,12.562,0.491,-0.32,0.301,-20.714,-153.887,138.76
90140.0,-0.267,0.756,-0.717,-6.002,87.563,68.355,-0.923,0.083,0.389,-8.178,-5.455,2.557,-0.954,-0.207,0.22,6.308,-18.489,-13.051,-1.106,-0.119,-0.353,38.669,0.84,14.791,0.532,-0.387,0.267,-32.272,-147.408,111.61
90160.0,-0.228,0.823,-0.749,-1.274,87.922,69.561,-0.941,0.057,0.391,-10.915,-1.919,-1.794,-0.925,-0.206,0.242,7.63,-9.874,-13.475,-1.146,-0.064,-0.337,17.76,6.253,12.854,0.613,-0.49,0.272,-38.27,-154.747,96.003
90180.0,-0.203,0.841,-0.739,-0.145,84.426,62.583,-0.963,0.043,0.39,-8.02,-0.325,-3.43,-0.873,-0.183,0.266,6.439,-1.124,-11.706,-1.166,-0.15,-0.324,-0.376,9.352,12.206,0.792,-0.641,0.244,-10.99,-157.99,91.14
90200.0,-0.151,0.847,-0.747,-1.913,81.85,58.231,-0.949,0.07,0.377,-6.951,5.926,-4.322,-0.87,-0.175,0.265,2.824,7.523,-12.193,-1.156,-0.19,-0.34,-5.773,7.556,13.54,0.89,-0.44,0.235,4.549,-137.104,81.716
90220.0,-0.119,0.855,-0.714,-4.401,77.812,51.435,-0.961,0.056,0.361,-11.174,11.909,-7.93,-0.938,-0.2,0.239,4.141,4.4,-11.845,-1.242,-0.223,-0.335,-8.653,5.518,14.407,0.925,-0.384,0.396,-28.77,-138.04,61.81
90240.0,-0.102,0.865,-0.693,-6.293,71.555,45.307,-0.989,0.014,0.362,-12.529,4.74,-8.039,-0.946,-0.235,0.227,3.728,3.589,-11.199,-1.244,-0.187,-0.363,-11.817,7.951,14.858,1.11,-0.52,0.404,-40.332,-121.692,49.638
90260.0,-0.065,0.863,-0.692,-1.604,62.36,43.241,-0.961,0.01,0.316,-8.286,4.996,-3.94,-0.956,-0.213,0.229,7.65,5.878,-9.935,-1.221,-0.221,-0.401,-11.34,15.12,17.64,1.115,-0.578,0.351,-22.085,-88.435,34.848
90280.0,-0.024,0.849,-0.717,2.354,55.784,42.283,-0.975,0.008,0.304,-9.125,4.228,-2.562,-0.954,-0.199,0.234,11.49,7.026,-9.443,-1.322,-0.273,-0.424,1.004,20.018,19.944,1.068,-0.506,0.389,-8.335,-79.366,22.661
90300.0,-0.027,0.864,-0.758,7.994,52.624,41.297,-0.987,-0.011,0.33,-15.028,-2.208,-4.45,-0.975,-0.159,0.219,7.213,5.23,-10.946,-1.327,-0.242,-0.408,5.35,20.873,23.247,1.079,-0.477,0.423,-3.532,-77.529,13.551
90320.0,-0.054,0.892,-0.726,12.695,46.936,40.925,-0.983,-0.045,0.317,-6.472,-5.002,-1.774,-0.963,-0.165,0.207,2.072,3.746,-11.229,-1.408,-0.324,-0.39,22.89,24.22,29.26,1.127,-0.446,0.396,3.366,-75.308,6.92
90340.0,-0.057,0.936,-0.719,15.919,37.072,39.549,-0.983,-0.047,0.336,0.2,-7.876,2.657,-0.994,-0.162,0.216,-1.958,2.252,-10.778,-1.589,-0.13,-0.044,45.372,16.322,34.3,1.234,-0.42,0.337,10.045,-74.314,1.091
90360.0,-0.032,0.927,-0.737,17.188,25.214,34.996,-0.95,-0.028,0.356,11.016,-3.957,5.287,-0.951,-0.21,0.221,-4.979,1.186,-11.307,-1.623,-0.045,0.223,25.712,-24.462,28.638,1.297,-0.401,0.284,16.046,-73.007,-6.703
90380.0,0.01,0.901,-0.763,18.091,17.305,29.152,-0.897,0.265,0.324,-3.711,27.803,7.287,-0.955,-0.232,0.212,-1.876,2.399,-8.861,-1.165,-0.204,-0.03,19.221,-9.691,18.817,1.365,-0.305,0.269,32.369,-59.669,-15.157
90400.0,0.025,0.917,-0.778,17.56,13.219,21.839,0.701,3.093,-0.203,-171.43,489.09,75.04,-0.973,-0.225,0.219,-0.217,1.295,-7.629,-1.196,0.031,-0.159,8.534,6.805,10.453,1.36,-0.264,0.284,27.588,-44.184,-26.302
90420.0,0.038,0.933,-0.798,14.99,5.814,16.063,-1.733,0.031,-0.119,-97.09,388.22,90.44,-0.945,-0.231,0.215,-0.688,0.527,-6.052,-1.405,-0.025,-0.169,-9.705,5.908,3.678,1.355,-0.339,0.28,12.832,-42.557,-33.824
90440.0,0.063,0.924,-0.801,11.926,0.605,9.889,-1.382,0.089,0.537,-129.57,218.54,117.46,-0.951,-0.235,0.214,-1.255,4.464,-4.084,-1.46,-0.09,-0.357,-22.826,-3.292,-10.616,1.392,-0.304,0.232,13.692,-25.342,-41.885
90460.0,0.064,0.864,-0.787,11.017,-4.538,3.717,-1.282,-0.006,-0.141,5.089,102.316,88.128,-0.971,-0.236,0.206,-0.777,4.757,-2.319,-1.36,-0.087,-0.477,-20.879,-11.337,-16.051,1.405,-0.152,0.17,21.055,-5.495,-50.256
90480.0,0.032,0.814,-0.781,11.853,-12.164,-2.043,-1.238,0.201,-0.019,20.629,71.857,82.465,-0.976,-0.216,0.202,1.316,1.496,-1.023,-1.327,-0.05,-0.453,-24.744,-18.754,-16.651,1.373,-0.076,0.14,23.595,1.898,-55.805
90500.0,0.015,0.787,-0.787,15.016,-19.775,-8.151,-1.213,0.285,-0.002,-3.132,9.481,13.042,-0.97,-0.209,0.198,1.194,1.47,-0.424,-1.335,-0.16,-0.322,-17.202,-23.159,-13.361,1.34,-0.008,0.152,25.186,11.004,-61.339
90520.0,0.011,0.777,-0.809,19.19,-26.077,-14.245,-1.326,0.207,-0.01,-31.438,-69.44,-44.364,-0.982,-0.209,0.2,1.308,-0.952,0.675,-1.369,-0.251,-0.236,6.824,-19.939,-8.564,1.312,0.002,0.189,22.607,15.774,-65.101
90540.0,-0.0,0.79,-0.814,21.666,-31.494,-19.905,-1.434,0.056,0.036,-57.12,-213.78,-69.02,-0.973,-0.202,0.204,1.291,-0.138,2.474,-1.42,-0.26,-0.214,11.501,-20.619,-7.217,1.34,-0.03,0.178,17.225,31.363,-65.704
90560.0,-0.02,0.839,-0.81,22.625,-37.4,-25.672,-1.284,-0.137,-0.188,18.41,-333.9,-86.8,-0.978,-0.219,0.194,1.089,-4.455,5.324,-1.43,-0.319,-0.233,11.686,-20.543,-8.113,1.304,-0.047,0.131,23.627,45.995,-65.203
90580.0,-0.034,0.853,-0.828,22.015,-45.607,-31.392,-0.21,-0.136,0.232,141.418,-237.834,-59.939,-0.942,-0.213,0.213,1.543,1.395,3.246,-1.458,-0.324,-0.24,7.16,-22.894,-12.185,1.255,-0.036,0.158,27.545,56.127,-67.548
