Joint,MSE,RMSE,MAE,R2
pelvis,4.219424724578857,2.0541238337984535,1.5978631973266602,0.8366826772689819
shoulders,6.938569068908691,2.6341163734559436,1.9343140125274658,0.9786288142204285
trunk,7.013175964355469,2.6482401636474493,1.9410767555236816,0.9819619655609131
right thigh,10.53276252746582,3.2454217795944214,2.313934087753296,0.9345834255218506
left thigh,11.314042091369629,3.363635249454023,2.3841137886047363,0.9264506697654724
right foot,14.27132797241211,3.7777411203538165,2.7419321537017822,0.9734256267547607
right hip,14.998449325561523,3.872783149824106,2.413010358810425,0.9973021745681763
left hip,15.856377601623535,3.9820067304844597,2.4027228355407715,0.9963226318359375
left shank,15.944211959838867,3.9930204056376755,2.5523321628570557,0.8775361180305481
left foot,16.10414695739746,4.012997253599541,2.8685336112976074,0.944977343082428
left knee,16.86500358581543,4.106702276257122,2.2994887828826904,0.9973055124282837
right shank,19.540620803833008,4.420477440710789,2.61600923538208,0.8621680736541748
right knee,22.744251251220703,4.769093336392223,2.6556308269500732,0.9963241219520569
right arm,24.961463928222656,4.99614490664779,3.6303601264953613,0.9751494526863098
left ankle,25.447837829589844,5.044585000729975,3.4697978496551514,0.9623211026191711
right ankle,26.50605010986328,5.14840267557456,3.3067634105682373,0.968288004398346
head,27.854969024658203,5.277780691224125,3.3803720474243164,0.9540520310401917
right shoulder,30.136852264404297,5.489704205547353,3.6038947105407715,0.9927914142608643
right elbow,30.273290634155273,5.502116922981124,3.6434381008148193,0.993977963924408
left arm,31.186328887939453,5.584472122585934,3.8127801418304443,0.9685819149017334
right forearm,38.50168228149414,6.204972383620587,4.144822597503662,0.9644336104393005
left shoulder,39.590877532958984,6.292128219685211,3.8991386890411377,0.9914118647575378
left forearm,41.59187698364258,6.449176457784558,4.428869247436523,0.9627724289894104
left elbow,42.34000015258789,6.506919405724024,4.101399898529053,0.991590678691864
