Joint,MSE,RMSE,MAE,R2
pelvis,4.198846340179443,2.049108669685296,1.5850019454956055,0.8374791741371155
shoulders,6.829095840454102,2.6132538798314453,1.9065314531326294,0.9789659976959229
trunk,7.1593451499938965,2.6756952647851917,1.9564785957336426,0.9815860390663147
right thigh,8.919719696044922,2.9865899778919975,2.166037082672119,0.9446016550064087
left thigh,9.99067497253418,3.16080289998193,2.353581190109253,0.9350534677505493
right hip,11.484305381774902,3.388850156288251,2.255267381668091,0.9979342818260193
left hip,12.822112083435059,3.580797688146464,2.301666259765625,0.9970263242721558
left shank,13.447994232177734,3.667150696682335,2.3628034591674805,0.8967089653015137
right foot,14.141362190246582,3.760500257977199,2.68778133392334,0.9736676216125488
head,15.207450866699219,3.8996731743441293,2.72037935256958,0.9749146699905396
left knee,15.544995307922363,3.942714205711893,2.1766436100006104,0.997516393661499
left foot,16.147794723510742,4.018431873692864,2.782360553741455,0.9448282122612
right shank,17.78840446472168,4.217630195349241,2.505059003829956,0.8745275139808655
right knee,20.51715850830078,4.529587012995862,2.394343614578247,0.9966840744018555
left ankle,22.737817764282227,4.768418790781932,3.197408676147461,0.9663336277008057
right arm,23.224647521972656,4.819195733934518,3.350755214691162,0.9768785238265991
right ankle,26.905162811279297,5.187018682372303,3.3035824298858643,0.9678105115890503
right shoulder,29.824655532836914,5.46119543074929,3.639723777770996,0.992866039276123
right elbow,31.231840133666992,5.588545439885677,3.5832841396331787,0.9937872886657715
left shoulder,32.18341064453125,5.673042450443258,3.7147669792175293,0.9930186867713928
left arm,32.7260627746582,5.720669783745449,4.2944135665893555,0.9670307040214539
right forearm,34.626380920410156,5.884418486172628,3.870884656906128,0.9680134654045105
left elbow,36.468055725097656,6.038878681104436,3.828341484069824,0.9927569627761841
left forearm,42.78992462158203,6.541400814931159,4.23494291305542,0.9617000818252563
