Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743420266.960928,0.039,0.005,1.033,0.42,-2.52,0.0
1743420267.020585,0.031,0.0,1.028,0.63,-2.45,-0.07
1743420267.0213609,0.025,0.006,1.032,0.56,-2.52,-0.14
1743420267.04946,0.035,0.017,1.034,0.21,-2.66,0.14
1743420267.065403,0.025,0.002,1.032,0.42,-2.38,0.07
1743420267.09515,0.024,-0.008,1.032,0.42,-2.59,-0.07
1743420267.125814,0.031,0.01,1.032,0.63,-2.59,-0.07
1743420267.156053,0.039,0.009,1.033,0.35,-2.59,0.14
1743420267.186028,0.042,-0.008,1.032,0.56,-2.45,0.07
1743420267.216217,0.029,0.012,1.033,0.7,-2.52,-0.21
1743420267.245258,0.021,0.015,1.034,0.35,-2.59,0.07
1743420267.275874,0.029,-0.003,1.034,0.42,-2.59,0.0
1743420267.32058,0.038,0.005,1.032,0.49,-2.59,-0.14
1743420267.3606489,0.039,0.016,1.032,0.35,-2.59,0.0
1743420267.379957,0.035,-0.002,1.033,0.28,-2.52,0.0
1743420267.395027,0.028,0.0,1.035,0.63,-2.38,-0.14
1743420267.4098098,0.024,0.016,1.034,0.49,-2.52,0.0
1743420267.440782,0.034,0.004,1.034,0.35,-2.52,0.21
1743420267.469985,0.042,-0.002,1.034,0.56,-2.59,-0.07
1743420267.49992,0.037,0.011,1.033,0.56,-2.45,-0.14
1743420267.530122,0.028,0.009,1.033,0.42,-2.52,0.0
1743420267.560173,0.026,-0.006,1.034,0.49,-2.52,-0.07
1743420267.6192582,0.03,0.008,1.034,0.56,-2.52,0.0
1743420267.620144,0.037,0.011,1.034,0.35,-2.59,0.28
1743420267.65059,0.041,-0.002,1.032,0.42,-2.45,0.0
1743420267.680525,0.032,0.008,1.035,0.56,-2.52,-0.14
1743420267.7110322,0.024,0.015,1.036,0.42,-2.66,0.0
1743420267.7255511,0.026,0.0,1.033,0.35,-2.59,0.07
1743420267.756143,0.036,-0.0,1.036,0.42,-2.52,0.0
1743420267.785283,0.039,0.012,1.033,0.56,-2.59,-0.07
1743420267.81534,0.038,0.002,1.034,0.35,-2.52,0.0
1743420267.845493,0.028,0.002,1.032,0.56,-2.45,-0.14
1743420267.875175,0.024,0.014,1.035,0.49,-2.59,-0.07
1743420267.920748,0.029,0.005,1.032,0.35,-2.59,0.07
1743420267.9346418,0.041,-0.002,1.033,0.42,-2.59,-0.07
1743420267.965228,0.039,0.01,1.034,0.56,-2.52,0.0
1743420267.99536,0.033,0.008,1.033,0.42,-2.45,0.0
1743420268.025871,0.025,-0.001,1.034,0.35,-2.45,0.0
1743420268.0552351,0.027,0.009,1.033,0.49,-2.52,0.0
1743420268.084429,0.033,0.01,1.033,0.49,-2.52,0.0
1743420268.115255,0.038,-0.0,1.035,0.42,-2.45,0.0
1743420268.14508,0.034,0.006,1.036,0.56,-2.45,-0.07
1743420268.17594,0.027,0.011,1.034,0.42,-2.59,0.0
1743420268.21972,0.028,-0.0,1.034,0.42,-2.45,0.0
1743420268.222673,0.032,0.004,1.035,0.49,-2.45,0.0
1743420268.25204,0.034,0.012,1.032,0.42,-2.59,0.14
1743420268.282017,0.039,0.005,1.033,0.42,-2.59,-0.07
1743420268.3106098,0.031,0.004,1.033,0.49,-2.52,-0.14
1743420268.341537,0.025,0.012,1.033,0.42,-2.52,17.85
1743420268.370686,0.031,0.007,1.034,0.35,-2.52,0.07
1743420268.4001422,0.037,0.001,1.033,0.49,-2.59,-0.07
1743420268.430629,0.037,0.011,1.034,0.42,-2.52,0.0
1743420268.460573,0.032,0.009,1.034,0.35,-2.38,0.0
1743420268.520834,0.029,0.003,1.035,0.42,-2.59,-0.07
1743420268.523498,0.027,0.009,1.035,0.49,-2.45,0.07
1743420268.551242,0.033,0.007,1.033,0.42,-2.66,0.07
1743420268.580408,0.035,0.0,1.035,0.42,-2.45,0.0
1743420268.610242,0.035,0.005,1.032,0.56,-2.52,17.85
1743420268.6410382,0.029,0.01,1.035,0.35,-2.45,-0.07
1743420268.656235,0.027,0.002,1.032,0.49,-2.66,-0.07
1743420268.6853068,0.031,0.006,1.034,0.49,-2.59,-0.07
1743420268.715416,0.037,0.009,1.034,0.42,-2.52,0.07
1743420268.745352,0.04,0.002,1.033,0.35,-2.45,-0.07
1743420268.776505,0.032,0.002,1.035,0.49,-2.59,-0.14
1743420268.820212,0.028,0.009,1.034,0.49,-2.59,0.0
1743420268.835142,0.03,0.0,1.036,0.49,-2.52,0.07
1743420268.9107652,0.035,0.004,1.033,0.49,-2.59,0.0
1743420268.912113,0.034,0.008,1.034,0.49,-2.59,0.0
1743420268.912547,0.034,0.005,1.034,0.49,-2.45,-0.07
1743420268.9412758,0.029,0.001,1.035,0.49,-2.59,-0.07
1743420268.970786,0.025,0.005,1.034,0.49,-2.52,-0.14
1743420269.000478,0.03,0.009,1.036,0.42,-2.59,0.0
1743420269.03173,0.038,0.001,1.036,0.35,-2.52,0.0
1743420269.0610309,0.037,0.005,1.035,0.42,-2.52,0.0
1743420269.09156,0.029,0.011,1.033,0.49,-2.38,0.07
1743420269.120724,0.028,0.003,1.034,0.35,-2.52,0.0
1743420269.150164,0.029,0.004,1.033,0.49,-2.59,-0.07
1743420269.210193,0.033,0.008,1.034,0.56,-2.52,0.0
1743420269.226055,0.037,0.003,1.032,0.42,-2.45,0.0
1743420269.240594,0.033,0.005,1.033,0.49,-2.45,-0.14
1743420269.2699058,0.028,0.008,1.034,0.49,-2.52,0.0
1743420269.30052,0.028,0.005,1.034,0.35,-2.52,0.07
1743420269.315032,0.035,0.004,1.033,0.42,-2.66,0.0
1743420269.345696,0.037,0.007,1.035,0.49,-2.45,0.07
1743420269.375806,0.033,0.006,1.036,0.35,-2.52,-0.07
1743420269.406894,0.033,0.003,1.031,0.56,-2.59,0.0
1743420269.435264,0.028,0.005,1.032,0.49,-2.52,-0.07
1743420269.4655402,0.029,0.007,1.03,0.42,-2.45,0.14
1743420269.511088,0.034,0.004,1.034,0.42,-2.52,0.0
1743420269.52458,0.037,0.007,1.033,0.49,-2.59,-0.14
1743420269.5561118,0.033,0.005,1.034,0.49,-2.45,-0.07
1743420269.58652,0.032,0.004,1.034,0.42,-2.45,0.0
1743420269.616459,0.029,0.004,1.032,0.49,-2.52,-0.07
1743420269.660744,0.032,0.008,1.034,0.49,-2.45,0.0
1743420269.6751292,0.038,0.004,1.035,0.42,-2.59,0.0
1743420269.705943,0.035,0.005,1.035,0.49,-2.52,-0.07
1743420269.736465,0.029,0.008,1.033,0.49,-2.52,0.0
1743420269.765849,0.029,0.005,1.034,0.49,-2.73,0.0
1743420269.812578,0.033,0.001,1.031,0.49,-2.52,0.0
1743420269.813254,0.036,0.006,1.034,0.49,-2.66,0.0
1743420269.841068,0.035,0.005,1.032,0.35,-2.52,0.0
1743420269.8706958,0.033,0.002,1.035,0.42,-2.52,-0.07
1743420269.900972,0.026,0.005,1.032,0.56,-2.59,-0.07
1743420269.930596,0.031,0.007,1.034,0.49,-2.59,-0.07
1743420269.9606678,0.033,0.004,1.033,0.42,-2.52,-0.07
1743420269.9910011,0.035,0.007,1.034,0.49,-2.52,-0.14
1743420270.021512,0.031,0.004,1.034,0.42,-2.45,0.0
1743420270.051156,0.03,0.005,1.036,0.42,-2.45,-0.07
1743420270.113204,0.028,0.007,1.035,0.56,-2.59,-0.07
1743420270.113991,0.032,0.006,1.033,0.49,-2.52,0.14
1743420270.1264262,0.036,0.006,1.031,0.42,-2.52,0.0
1743420270.155566,0.036,0.004,1.033,0.49,-2.45,0.0
1743420270.185926,0.029,0.008,1.033,0.49,-2.59,0.0
1743420270.215729,0.028,0.006,1.033,0.42,-2.45,0.0
1743420270.245262,0.03,0.004,1.034,0.56,-2.52,-0.07
1743420270.276991,0.035,0.008,1.034,0.42,-2.38,-0.07
1743420270.308191,0.036,0.006,1.033,0.42,-2.45,-0.07
1743420270.33977,0.035,0.003,1.034,0.49,-2.52,-17.92
1743420270.36578,0.029,0.007,1.035,0.49,-2.66,0.0
1743420270.41021,0.03,0.005,1.034,0.49,-2.52,0.07
1743420270.4240708,0.036,0.004,1.033,0.49,-2.59,0.07
1743420270.440207,0.035,0.004,1.033,0.49,-2.52,-0.07
1743420270.470122,0.033,0.008,1.036,0.49,-2.59,0.0
1743420270.501444,0.03,0.005,1.034,0.49,-2.59,-0.07
1743420270.530383,0.028,0.003,1.034,0.49,-2.59,0.07
1743420270.56038,0.033,0.006,1.034,0.49,-2.66,-0.07
1743420270.5914822,0.033,0.005,1.035,0.49,-2.52,0.0
1743420270.620321,0.035,0.005,1.034,0.49,-2.52,0.0
1743420270.6511202,0.031,0.004,1.033,0.42,-2.59,-0.07
1743420270.710123,0.028,0.006,1.034,0.42,-2.45,0.0
1743420270.710369,0.029,0.006,1.033,0.42,-2.59,0.0
1743420270.741168,0.034,0.007,1.034,0.42,-2.52,0.0
1743420270.771168,0.035,0.004,1.033,0.42,-2.52,-0.14
1743420270.800508,0.032,0.002,1.034,0.35,-2.59,-0.07
1743420270.815177,0.031,0.012,1.033,0.49,-2.52,0.0
1743420270.844967,0.03,0.005,1.034,0.28,-2.52,0.0
1743420270.874951,0.034,0.003,1.033,0.49,-2.59,-0.07
1743420270.905222,0.033,0.012,1.034,0.42,-2.52,0.0
1743420270.935908,0.032,0.01,1.033,0.35,-2.52,0.07
1743420270.965098,0.036,-0.002,1.033,0.42,-2.52,0.0
1743420271.009402,0.031,0.008,1.035,0.56,-2.59,-0.07
1743420271.025079,0.03,0.01,1.034,0.42,-2.52,0.14
1743420271.056204,0.033,-0.001,1.033,0.56,-2.45,-0.07
1743420271.084704,0.029,0.011,1.031,0.63,-2.59,-0.07
1743420271.1144462,0.031,0.013,1.034,0.56,-2.45,0.0
1743420271.1460018,0.038,-0.004,1.034,0.42,-2.59,-0.07
1743420271.1752708,0.032,0.005,1.034,0.63,-2.52,-0.14
1743420271.205821,0.027,0.015,1.03,0.42,-2.45,0.07
1743420271.235976,0.028,-0.002,1.034,0.35,-2.45,0.14
1743420271.252789,0.033,0.004,1.035,0.56,-2.52,0.0
1743420271.309932,0.034,0.017,1.032,0.42,-2.59,0.0
1743420271.310233,0.039,-0.001,1.031,0.28,-2.45,0.07
1743420271.3401332,0.034,-0.004,1.033,0.7,-2.59,-0.14
1743420271.370443,0.024,0.015,1.03,0.63,-2.52,0.0
1743420271.400298,0.027,0.002,1.034,0.28,-2.59,0.14
1743420271.430306,0.039,-0.004,1.033,0.49,-2.59,-0.07
1743420271.459996,0.036,0.016,1.034,0.63,-2.52,-0.07
1743420271.490824,0.033,0.005,1.034,0.35,-2.45,0.07
