Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743435962.3915112,-0.005,0.007,1.053,0.77,-2.45,-0.77
1743435962.4115112,-0.0,0.009,1.053,0.77,-2.38,-0.77
1743435962.4315112,-0.002,0.01,1.057,0.91,-2.52,-0.7
1743435962.4515111,-0.001,0.009,1.056,0.63,-2.52,-0.84
1743435962.4715111,-0.001,0.007,1.056,1.05,-2.45,-0.84
1743435962.491511,0.0,0.012,1.052,0.91,-2.59,-0.84
1743435962.511511,-0.003,0.009,1.055,0.84,-2.52,-0.77
1743435962.531511,-0.003,0.01,1.051,1.26,-2.66,-0.77
1743435962.551511,-0.003,0.009,1.055,0.42,-2.66,-0.77
1743435962.571511,-0.001,0.008,1.057,1.47,-2.45,-0.91
1743435962.591511,-0.001,0.009,1.056,0.28,-2.87,-0.84
1743435962.611511,0.003,0.008,1.053,1.33,-2.38,-0.7
1743435962.631511,0.0,0.009,1.054,0.28,-2.52,-0.77
1743435962.651511,0.003,0.004,1.055,1.33,-2.31,-0.77
1743435962.671511,-0.004,0.011,1.054,0.63,-2.52,-0.84
1743435962.691511,-0.0,0.01,1.054,1.05,-2.24,-0.77
1743435962.711511,-0.002,0.012,1.054,1.12,-2.38,-0.77
1743435962.7315109,-0.001,0.009,1.054,0.42,-2.24,-0.7
1743435962.7515109,-0.003,0.008,1.056,1.26,-2.31,-0.7
1743435962.7715108,-0.002,0.011,1.052,0.63,-2.38,-0.84
1743435962.7915108,-0.003,0.008,1.053,1.19,-2.45,-0.91
1743435962.8115108,-0.004,0.011,1.053,0.7,-2.59,-0.77
1743435962.8315108,-0.004,0.009,1.053,0.98,-2.45,-0.77
1743435962.8515108,-0.004,0.012,1.05,0.7,-2.59,-0.77
1743435962.8715107,-0.003,0.009,1.05,1.05,-2.59,-0.77
1743435962.8915107,-0.001,0.009,1.055,0.7,-2.66,-0.84
1743435962.9115107,-0.002,0.011,1.055,0.98,-2.52,-0.77
1743435962.9315107,-0.003,0.009,1.052,0.77,-2.59,-0.77
1743435962.951511,-0.001,0.009,1.055,0.91,-2.59,-0.77
1743435962.9715106,-0.0,0.01,1.055,0.84,-2.52,-0.84
1743435962.9915106,-0.001,0.009,1.054,0.84,-2.59,-0.77
1743435963.0115106,0.0,0.009,1.057,0.91,-2.45,-0.7
1743435963.0315106,0.001,0.007,1.052,1.19,-2.31,-0.84
1743435963.0515106,-0.001,0.012,1.055,0.21,-2.17,-0.84
1743435963.0715106,-0.007,0.008,1.049,0.84,-2.73,-0.77
1743435963.0915103,-0.001,0.012,1.063,0.35,-2.31,-0.84
1743435963.1115105,0.001,-0.0,1.05,1.61,-2.8,-0.77
1743435963.1315105,0.001,0.015,1.056,1.96,-1.96,-0.84
1743435963.1515105,-0.006,0.005,1.053,-0.42,-2.87,-0.84
1743435963.1715105,0.0,0.009,1.056,1.96,-2.17,-0.77
1743435963.1915104,-0.004,0.009,1.054,-0.28,-2.8,-0.84
1743435963.2115104,-0.125,0.003,1.051,1.26,-2.31,-0.77
1743435963.2315104,-0.001,0.015,1.057,0.49,-2.59,-0.77
1743435963.2515104,-0.001,0.006,1.05,1.68,-2.38,-0.84
1743435963.2715104,-0.003,0.011,1.055,0.63,-2.73,-0.77
1743435963.2915103,0.001,0.007,1.051,0.98,-2.38,-0.77
1743435963.3115103,-0.001,0.013,1.056,1.19,-2.45,-0.77
1743435963.3315103,-0.002,0.008,1.054,0.35,-2.45,-0.84
1743435963.3515103,-0.003,0.01,1.052,1.19,-2.59,-0.77
1743435963.3715105,-0.001,0.009,1.052,0.63,-2.59,-0.77
1743435963.3915102,-0.001,0.007,1.055,1.05,-2.52,-0.77
1743435963.4115102,-0.002,0.01,1.054,0.56,-2.59,-0.84
1743435963.4315102,-0.003,0.009,1.053,1.12,-2.59,-0.7
1743435963.4515102,-0.0,0.012,1.052,0.63,-2.66,-0.77
1743435963.4715102,-0.002,0.011,1.053,0.91,-2.38,-0.77
1743435963.4915102,-0.001,0.009,1.053,0.7,-2.59,-0.84
1743435963.51151,-0.002,0.008,1.053,0.84,-2.45,-0.91
1743435963.53151,0.001,0.008,1.056,0.84,-2.52,-0.77
