right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
-38.8664562844281,-68.53337330532159,7.446344764256764,5.135329166477106,2.9588599723951177,3.8365817023247075,9.499745608337776,8.10078307456979,-6.346642836872462,-7.8073544533438906,-39.13144777591958,-65.60962746910381,-90.2649914914914,-87.07625416378217,-82.81864672723465,-81.94092499730507,2.390684804201328,93.41110617148132,0.9449857842444658,85.54898561347375,-76.27776109129198,-77.67672362505998,-82.62440392816445,-85.48407807840391
-38.3438831177952,-67.66369381421819,7.098844989792212,5.2110608843847785,2.76377932713811,3.8139692069655666,9.57690106134416,7.943975383526208,-6.655394105241385,-8.003499113964295,-38.350330190346284,-64.73216690153436,-90.00644707255101,-87.06847308731612,-82.90760208275881,-81.85741220293136,2.4134925945291172,93.30498088174846,0.6192763651192479,85.72076552079403,-76.09448034855272,-77.72740602637067,-82.74987445379415,-85.730905140335
-38.56405643781346,-68.09194948657606,7.233265442645489,5.214348962980637,2.7443061579697314,3.7366669742160923,9.66095403291078,7.744906396895317,-6.794059072477268,-8.090522565784624,-38.65021342003419,-65.16682917288553,-90.08615698222066,-87.07487968630942,-82.8528915395752,-81.86053072332881,2.4239796611861664,93.23079716939645,0.3497064971246573,85.7989336671128,-75.9362436646341,-77.85229130064955,-82.7303027371114,-85.94281386643422
-38.86796714963492,-68.6635264654278,7.427085962549455,5.242732089542699,2.715914067171042,3.6501761945435476,9.714999388330739,7.533809198161634,-6.846494324383997,-8.130385006561681,-39.08332201260271,-65.76026532801629,-90.21535486296769,-87.09673886258841,-82.78826890041829,-81.85400677304574,2.426681873143991,93.13778243944085,0.09462131621023673,85.75540623143002,-75.78918357925856,-77.97037376942767,-82.63567790364256,-86.10075877598938
-39.087929380249875,-69.0711044336857,7.536546390572312,5.309117330987135,2.6116335458602293,3.531402776357112,9.696660132385574,7.321738579135712,-6.858430484080088,-8.130518086476968,-39.375424067296166,-66.21140083064995,-90.2874946870462,-87.14029639696413,-82.75094829647392,-81.83117906597698,2.425955305546182,92.99618131418566,-0.1503679673996885,85.64684763722943,-75.66592170994856,-78.04084326319843,-82.52435219402861,-86.1713613496754
-39.232796114361975,-69.25693199165292,7.5869313990573914,5.396344697768143,2.4586006636139928,3.387244741698993,9.610096140821952,7.127621212930364,-6.812870940231136,-8.073115873909217,-39.55603673810381,-66.46094183602051,-90.32324062374174,-87.20400984436748,-82.73630922468436,-81.80766514659932,2.424103472287129,92.8285093601499,-0.367286384739117,85.63269022937595,-75.5848137474764,-78.06728867536798,-82.3976846877075,-86.14040454927722
-39.04321036087876,-68.95744542547074,7.546479660660793,5.476697059303035,2.2962765025104943,3.2843749451135693,9.523419656772347,6.9704610289329025,-6.691365493256683,-7.92349835782241,-39.35807705144731,-66.21443107207845,-90.31486669056844,-87.25698564660759,-82.76838702990767,-81.78028858730454,2.42121416206777,92.69826300426973,-0.5229060998119337,85.83869200557183,-75.54124387564583,-78.09420250348525,-82.23260936890246,-86.01770086130769
-38.422245417410664,-68.41481127889502,7.409901139860864,5.478741310763041,2.1640772086618654,3.2455769681295408,9.485387090977781,6.845613398535903,-6.500205076296226,-7.6830287663113666,-38.6777430278907,-65.6576493008096,-90.25549761047994,-87.24283802191445,-82.8455964706191,-81.76409671115138,2.4158532244546507,92.64327315113252,-0.5987128743322216,86.20028759364067,-75.52428658830318,-78.16406028074502,-82.02449166459938,-85.84708904705643
-37.87415169930995,-68.47030028259402,7.322708856175467,5.334359883323657,2.11232421774406,3.203203509428164,9.474629390999894,6.72518647988673,-6.282364998747369,-7.437058900998608,-38.0885399335788,-65.60546025232706,-90.2143882342688,-87.13515996973292,-82.89167937809336,-81.80080008640924,2.406448499351626,92.63760306768899,-0.617589416496088,86.53031259743011,-75.52937420483754,-78.27881711595067,-81.81173920358492,-85.7158760169493
-37.87488798724567,-69.27076889838047,7.401625896994801,5.096918779664179,2.1495277191683613,3.1113374819206854,9.451592304262789,6.598148801981068,-6.101506951469105,-7.313780078782685,-38.12721069674336,-66.25657472779524,-90.2523227094976,-86.98580582941467,-82.85069681250282,-81.88888704975048,2.393648699336751,92.63382400352276,-0.6153363869472628,86.70936219628982,-75.54863222740839,-78.4020757296901,-81.65013917887752,-85.71585580847281
-38.239310415775265,-69.935510395072,7.530276161694417,4.918090313467758,2.211306993852048,3.0116983709576175,9.415387043401495,6.5089388953448974,-5.9846421532595855,-7.412156320532887,-38.541418181675965,-66.82504093564054,-90.30210776590062,-86.88953054056844,-82.77183160420623,-81.97144022710067,2.381163599334684,92.6167380699099,-0.6095986751656426,86.74648234512483,-75.56775155465678,-78.47419970271338,-81.55239370791641,-85.8863560232463
-38.62350775906174,-69.8883021442697,7.530210662527821,4.874556268321044,2.2461603272969626,2.9482588342922895,9.391433246106004,6.510040741724026,-5.9158357930653835,-7.7103722231030645,-38.87871521188134,-66.78575669588719,-90.2552074528195,-86.89745455161739,-82.72499679029168,-82.02289828329636,2.3720310358479537,92.60475658944023,-0.6143052264651772,86.6998270808744,-75.57972387148263,-78.46111637586463,-81.49555966454804,-86.17148859896771
-39.10569235421889,-69.45835725622308,7.4214225936060245,4.916870219914273,2.268223582036569,2.913832612541313,9.385917506752378,6.558982329501475,-5.879100452410796,-8.001480626891777,-39.23695505668758,-66.43945855449523,-90.13126270246856,-86.98110129827207,-82.70984010886252,-82.06423107835779,2.3666549669854646,92.61166316275069,-0.656159084163221,86.61638688079779,-75.59214618414671,-78.41908136139762,-81.47124663655754,-86.42056198828938
-39.800056558538245,-69.07736935455972,7.320694916192792,4.98445351340672,2.2836959911875,2.9011293843450403,9.38094364940423,6.552270475994334,-5.8591629226043835,-8.076308846056264,-39.83051058350054,-66.15414858357836,-90.0304540249622,-87.07677922901856,-82.70975910876938,-82.09232571561185,2.3671139793017346,92.62705457180846,-0.7507469043987385,86.53160331805304,-75.61251145055263,-78.44118462396257,-81.47167437315704,-86.5174934700188
-40.44116249454322,-68.84423223944492,7.2221836025871085,5.050058582152616,2.2592705232427477,2.9289844167563786,9.368543060281041,6.481470337632658,-5.818126600617376,-7.985141609673207,-40.415243850082106,-65.97647468103564,-89.97408135553879,-87.13224244159063,-82.75189775295165,-82.08218385943802,2.3770625946706616,92.64476774804598,-0.8665263375167456,86.46610794334231,-75.64262521591334,-78.52969793856175,-81.46075181653076,-86.51483954823495
-40.79503112851515,-68.77324249690963,7.081006281488584,5.081357260190089,2.200341041093111,2.9989364065991424,9.352936460099215,6.436043966500222,-5.718035584057674,-7.909484584351844,-40.721652468456256,-65.90161945004618,-89.92662133994104,-87.12837695313647,-82.84561505845242,-82.04701969294639,2.393802322347028,92.67955557139715,-0.9322183929270409,86.44379330374227,-75.6930196394463,-78.60991213304533,-81.41105522350401,-86.51939671739716
-41.01298632717757,-68.72419217841956,6.978128803932833,5.084762244002718,2.1648205463770864,3.0736568731990133,9.316402314599458,6.442957094611415,-5.567846356575075,-7.839723025602723,-40.920731015421666,-65.8297339799116,-89.90774468824402,-87.10554180149195,-82.92961588431119,-82.02077955748923,2.4066607031751914,92.72803590253983,-0.9038734128730823,86.48880942190101,-75.77803411608878,-78.65147933607685,-81.3458804726639,-86.49120236167956
-41.26136713324689,-68.39621214448127,6.982088022552716,5.136702095604136,2.1552060364882095,3.120477453714585,9.228947292218521,6.428332828462544,-5.436177078495632,-7.628257615589575,-41.20226435902072,-65.52645202608018,-89.94089722577377,-87.13023988159881,-82.95880920322107,-81.99353778599468,2.407264345911898,92.7476147115608,-0.828970386140071,86.55325010949053,-75.88506794749073,-78.68568241124673,-81.32124502598636,-86.31394002683632
-41.440993492872536,-67.809386373495,6.995975923466574,5.2691214444152195,2.107895223497394,3.1463195498558605,9.108064562093915,6.366274027372242,-5.40196949381189,-7.2935974026432575,-41.40944785921877,-65.01256193443143,-89.96845436634615,-87.20317556093632,-82.97247844287958,-81.9340541165211,2.39725058344348,92.71397313822854,-0.8051192853291127,86.56362831572909,-75.97230910428308,-78.71409963900474,-81.37427859809495,-86.00769704164802
-41.4978793089183,-67.41206907366535,6.934833455502826,5.381772137354005,2.0267840385084526,3.158380051809928,9.01849330228589,6.352770405715518,-5.475218494684441,-7.0500980884690705,-41.43661308909651,-64.66614552239328,-89.93873378017811,-87.25407644872783,-83.00390032467526,-81.87230431137381,2.3824329732866545,92.66428383503529,-0.8608124614967778,86.55050100490791,-76.01219106089785,-78.67791395746822,-81.48740955558226,-85.72801204593729
-41.62437585270874,-67.54401803165857,6.855393559240639,5.348375865384071,1.993960343633347,3.126290492893645,9.003685465297622,6.48865252595462,-5.617747307386793,-7.091701195091474,-41.49883232543348,-64.77912666126646,-89.87445647272466,-87.23510862960781,-83.01906291348399,-81.88673276422374,2.3653706518287265,92.64662272896896,-0.9349599679875098,86.59514685115357,-76.00933779181977,-78.52437073116275,-81.62708509920654,-85.61607192625424
