Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743438541.4554331,-0.188,-0.236,-0.94,1.19,-2.8,-0.56
1743438541.475433,-0.186,-0.236,-0.941,0.63,-3.01,0.49
1743438541.495433,-0.186,-0.241,-0.931,-2.31,-4.69,0.49
1743438541.515433,-0.183,-0.225,-0.936,1.19,-3.99,-0.14
1743438541.535433,-0.189,-0.242,-0.944,-0.63,-3.08,-0.28
1743438541.555433,-0.181,-0.231,-0.94,-0.56,-4.48,0.0
1743438541.575433,-0.188,-0.237,-0.944,0.42,-3.92,-0.28
1743438541.595433,-0.19,-0.235,-0.949,2.24,-1.82,-1.19
1743438541.615433,-0.192,-0.234,-0.943,5.18,-1.12,-1.54
1743438541.635433,-0.191,-0.238,-0.936,4.27,-1.05,-1.47
1743438541.655433,-0.19,-0.238,-0.937,3.85,-1.26,-1.61
1743438541.675433,-0.19,-0.236,-0.941,4.2,-1.19,-1.26
1743438541.695433,-0.194,-0.239,-0.936,2.1,-1.68,-0.98
1743438541.715433,-0.189,-0.237,-0.937,1.12,-1.89,-0.84
1743438541.7354329,-0.183,-0.237,-0.939,0.84,-2.38,-0.28
1743438541.7554328,-0.186,-0.235,-0.94,-0.91,-3.85,0.0
1743438541.7754328,-0.184,-0.238,-0.943,-0.28,-3.85,-0.14
1743438541.7954328,-0.186,-0.236,-0.943,0.56,-2.94,-0.49
1743438541.8154328,-0.186,-0.238,-0.94,1.05,-2.73,-0.84
1743438541.8354328,-0.188,-0.237,-0.941,0.98,-2.38,-0.91
1743438541.8554327,-0.189,-0.238,-0.943,1.96,-1.96,-1.05
1743438541.8754327,-0.187,-0.237,-0.938,2.03,-1.89,-1.05
1743438541.8954327,-0.186,-0.238,-0.939,1.47,-2.38,-0.84
1743438541.9154327,-0.186,-0.235,-0.942,0.49,-2.45,-0.77
1743438541.935433,-0.187,-0.235,-0.939,0.42,-2.45,-0.77
1743438541.955433,-0.187,-0.235,-0.939,0.0,-2.59,-0.7
1743438541.9754326,-0.184,-0.237,-0.94,0.07,-2.87,-0.56
1743438541.9954326,-0.181,-0.234,-0.943,0.84,-2.66,-0.77
1743438542.0154326,-0.183,-0.235,-0.941,1.12,-2.52,-0.7
1743438542.0354326,-0.184,-0.236,-0.942,1.26,-2.59,-0.77
1743438542.0554326,-0.182,-0.234,-0.943,1.54,-2.73,-0.77
