Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
0	-0.929	-0.409	0.102	3.29	-18.69	-26.67
22	-0.967	-0.379	0.106	20.16	-13.37	-26.04
42	-0.976	-0.291	0.098	25.83	-11.41	-23.03
66	-0.982	-0.259	0.12	15.68	-14.42	-20.23
86	-0.989	-0.251	0.111	-11.41	-20.44	-22.89
104	-0.991	-0.282	0.117	-23.38	-24.57	-22.75
127	-0.955	-0.303	0.122	-31.99	-27.3	-20.44
147	-0.943	-0.315	0.12	-37.66	-27.51	-18.9
167	-0.946	-0.342	0.144	-38.5	-27.02	-16.52
191	-0.939	-0.346	0.143	-37.24	-27.16	-13.3
209	-0.929	-0.35	0.136	-39.2	-25.06	-10.99
231	-0.937	-0.414	0.15	-33.88	-21.77	-9.03
252	-0.941	-0.422	0.142	-18.9	-18.06	-4.69
270	-0.931	-0.399	0.143	-12.95	-14.77	-2.31
295	-0.941	-0.404	0.154	-10.43	-13.44	-1.75
311	-0.925	-0.381	0.147	-11.69	-12.74	-0.35
331	-0.92	-0.401	0.156	-12.67	-12.39	1.19
354	-0.924	-0.39	0.156	-13.86	-13.65	2.94
375	-0.915	-0.396	0.147	-20.93	-14.14	2.1
394	-0.906	-0.435	0.143	-18.27	-12.46	2.24
414	-0.9	-0.455	0.142	-10.71	-9.52	2.38
438	-0.9	-0.47	0.143	-1.4	-4.97	1.96
458	-0.898	-0.479	0.142	5.74	-1.4	1.12
477	-0.892	-0.485	0.143	13.3	1.68	-0.07
498	-0.879	-0.495	0.153	21.49	5.53	-1.12
518	-0.87	-0.509	0.163	32.62	9.1	-1.96
536	-0.864	-0.543	0.168	46.83	13.09	-2.45
559	-0.887	-0.559	0.177	63.98	17.5	-3.08
579	-0.904	-0.496	0.181	78.54	17.43	-3.5
603	-0.901	-0.452	0.175	73.08	15.82	-7.7
623	-0.909	-0.419	0.171	65.73	14.07	-10.71
638	-0.915	-0.451	0.165	66.36	12.88	-11.62
658	-0.909	-0.43	0.164	69.3	13.09	-11.76
683	-0.927	-0.404	0.159	68.95	12.95	-16.31
699	-0.943	-0.396	0.166	71.33	13.65	-18.13
723	-0.961	-0.372	0.175	72.94	12.25	-18.55
738	-0.958	-0.352	0.169	72.1	11.48	-17.71
763	-0.95	-0.374	0.163	74.13	12.46	-14.84
779	-0.959	-0.364	0.164	76.86	13.72	-13.09
802	-0.967	-0.327	0.171	76.37	16.17	-7.77
822	-0.963	-0.296	0.201	68.67	18.27	-3.78
841	-0.959	-0.302	0.224	61.81	18.9	-0.21
863	-0.953	-0.345	0.213	62.79	20.23	4.2
882	-0.936	-0.326	0.199	68.39	22.47	7.42
907	-0.939	-0.302	0.203	65.8	23.1	10.22
925	-0.954	-0.285	0.215	62.51	22.12	11.69
945	-0.974	-0.251	0.212	47.25	18.83	11.41
968	-0.976	-0.274	0.219	30.31	14.77	11.34
989	-0.971	-0.305	0.223	21.84	13.37	12.18
1009	-0.959	-0.327	0.221	19.88	13.09	14.07
1029	-0.953	-0.305	0.218	13.58	12.18	13.72
1049	-0.951	-0.311	0.219	6.93	11.27	12.81
1069	-0.946	-0.316	0.224	2.73	10.15	12.53
1089	-0.946	-0.319	0.219	0.7	9.24	12.32
1106	-0.947	-0.317	0.217	-3.15	8.4	11.13
1130	-0.963	-0.328	0.215	-5.18	6.86	10.43
1150	-0.95	-0.328	0.213	-5.04	6.79	9.87
1168	-0.96	-0.317	0.204	-7.63	6.79	8.61
1192	-0.975	-0.313	0.206	-13.79	5.6	7.14
1212	-0.97	-0.306	0.207	-21.28	3.85	5.53
1231	-0.959	-0.304	0.205	-30.17	1.96	2.66
1251	-0.963	-0.294	0.193	-42.84	-1.05	-0.98
1271	-0.956	-0.244	0.155	-63.49	-6.23	-5.95
1293	-0.929	-0.314	0.156	-79.45	-10.08	-9.59
1312	-0.916	-0.345	0.15	-81.34	-11.55	-11.76
1337	-0.925	-0.36	0.134	-89.88	-14.14	-18.41
1352	-0.922	-0.352	0.115	-93.94	-14.91	-20.86
1372	-0.922	-0.332	0.08	-105.7	-16.45	-26.18
1392	-0.914	-0.394	0.067	-112.77	-16.17	-28.91
1412	-0.915	-0.452	0.066	-102.97	-13.44	-30.03
1437	-0.983	-0.394	0.089	-100.38	-12.39	-30.87
1456	-0.95	-0.361	0.102	-116.76	-13.58	-30.8
1479	-0.86	-0.529	0.015	-107.66	-9.66	-32.41
1496	-0.835	-0.592	0.015	-78.68	2.94	-28.07
1520	-0.842	-0.544	-0.001	-38.92	17.78	-19.53
1540	-0.899	-0.55	0.142	-13.86	25.76	-10.43
1560	-1.156	-0.483	0.404	-16.66	-6.58	-5.39
1577	-1.124	-0.246	0.441	-14.28	-21.98	-1.05
1599	-0.974	-0.33	0.247	-61.6	-28.14	-8.4
1617	-0.88	-0.493	0.124	-65.59	-0.7	-11.13
1636	-0.843	-0.696	0.07	-24.01	-7.28	-8.54
1661	-0.995	-0.75	0.058	27.93	9.66	-0.49
1680	-0.888	-0.57	0.012	85.68	14.98	3.36
1703	-0.905	-0.435	-0.019	80.43	14.84	1.47
1724	-0.907	-0.436	-0.036	63.56	14.56	0.63
1744	-0.912	-0.447	-0.013	54.95	15.19	-0.63
1765	-0.903	-0.481	0.003	56.98	15.61	-0.14
1782	-0.911	-0.395	0.006	53.34	13.16	-0.42
1806	-0.919	-0.341	0.019	24.01	6.44	-2.66
1826	-0.922	-0.37	0.029	8.4	0.84	-3.5
1842	-0.922	-0.395	0.035	-0.63	-2.73	-3.78
1861	-0.912	-0.407	0.031	-9.45	-4.34	-3.43
1886	-0.918	-0.449	0.033	-11.83	-3.85	-2.24
1905	-0.918	-0.473	0.041	-9.59	-2.03	-1.54
1924	-0.921	-0.501	0.04	-5.81	0.14	-1.54
1943	-0.902	-0.494	0.034	1.4	3.57	-1.61
1967	-0.905	-0.496	0.083	9.8	4.34	-0.35
1986	-0.911	-0.445	0.077	11.06	3.71	0.14
2007	-0.914	-0.438	0.088	1.05	1.61	-1.96
2031	-0.909	-0.467	0.068	0.07	2.03	-0.91
2050	-0.902	-0.472	0.054	2.1	3.78	0.42
2070	-0.905	-0.472	0.05	5.39	5.81	3.64
2092	-0.91	-0.47	0.038	6.86	7.91	5.67
2111	-0.901	-0.469	0.037	5.46	9.87	5.95
2131	-0.906	-0.498	0.053	5.67	10.78	5.25
2155	-0.905	-0.489	0.034	10.71	12.6	6.09
2176	-0.897	-0.476	0.027	9.17	13.79	5.18
2194	-0.897	-0.495	0.027	10.57	14.77	5.18
2211	-0.901	-0.495	0.027	15.54	15.96	6.65
2233	-0.913	-0.463	0.019	18.2	16.24	7.77
2252	-0.901	-0.453	0.009	14.77	16.52	7.77
2272	-0.899	-0.482	0.0	17.36	18.2	10.08
2292	-0.944	-0.485	-0.018	21.91	18.69	11.76
2314	-0.973	-0.444	-0.034	19.81	15.82	11.41
2337	-0.933	-0.422	-0.024	14.98	14.07	10.36
2361	-0.911	-0.404	-0.013	11.48	13.37	10.99
2382	-0.905	-0.415	0.124	7.7	11.06	11.62
2399	-0.923	-0.429	0.005	7.28	8.26	11.55
2423	-0.941	-0.422	0.001	5.6	3.99	10.36
2443	-0.95	-0.426	0.0	3.64	1.54	9.31
2459	-0.957	-0.427	-0.005	1.89	-0.07	8.33
2483	-0.969	-0.429	-0.006	3.15	-2.03	9.24
2503	-0.988	-0.41	-0.009	2.52	-3.85	8.96
2518	-0.986	-0.4	-0.007	2.45	-5.6	8.75
2543	-0.953	-0.357	0.0	-1.89	-7.56	7.42
