Joint,MSE,RMSE,MAE,R2
pelvis,4.641326427459717,2.154373790097651,1.6595789194107056,0.8203524947166443
shoulders,8.251306533813477,2.87250875260868,2.1221091747283936,0.9745854735374451
left thigh,9.81549072265625,3.132968356472221,2.2337398529052734,0.9361923336982727
right thigh,10.050145149230957,3.170196389694329,2.249988317489624,0.9375808835029602
trunk,10.95853042602539,3.3103671134823385,2.4044666290283203,0.9718144536018372
right foot,15.19063663482666,3.8975167266897857,2.8372859954833984,0.9717137813568115
left shank,16.298254013061523,4.037109611227013,2.726118326187134,0.8748167753219604
left hip,16.436105728149414,4.054146732439444,2.6078474521636963,0.9961881637573242
left foot,17.277088165283203,4.15657168412662,2.9638850688934326,0.9409697651863098
right knee,18.242557525634766,4.2711307080953125,2.3976571559906006,0.9970516562461853
right hip,18.691295623779297,4.323343107339423,2.6603965759277344,0.9966378808021545
left knee,19.537464141845703,4.42012037639765,2.467353343963623,0.9968785047531128
head,19.72941017150879,4.441780067890439,3.0043997764587402,0.9674555063247681
right shank,20.971885681152344,4.579507143913234,2.787485361099243,0.8520724773406982
left ankle,24.739416122436523,4.973873352070449,3.4892594814300537,0.9633700251579285
right arm,28.07017707824707,5.298129582998803,3.727700710296631,0.9720545411109924
right ankle,28.514381408691406,5.339885898471184,3.4062676429748535,0.9658852219581604
right shoulder,29.689071655273438,5.448767902496255,3.696211099624634,0.9928984642028809
right elbow,35.09217834472656,5.923865152476596,3.8568437099456787,0.9930193424224854
right forearm,40.38444137573242,6.354875402061981,4.342038154602051,0.9626944065093994
left arm,41.53082275390625,6.444441228990009,4.096806049346924,0.9581605195999146
left shoulder,42.713592529296875,6.535563673417686,4.038606643676758,0.9907344579696655
left forearm,44.351131439208984,6.6596645140133734,4.44302225112915,0.9603027105331421
left elbow,55.1505241394043,7.426339888491793,4.246209621429443,0.9890463352203369
