Millis	AccelX	AccelY	AccelZ	GyroX	GyroY	GyroZ
2162	-0.453	0.549	0.14	-111.65	-362.6	71.47
2180	-0.581	0.946	-0.079	-97.02	-344.75	67.69
2202	-0.49	0.781	-0.287	-138.32	-330.26	70.42
2223	-0.066	-0.062	-0.6	-129.22	-297.36	77.77
2246	0.118	-0.43	-0.686	-75.88	-257.6	85.89
2265	0.221	-0.428	-0.807	-37.24	-180.67	87.15
2285	0.351	-0.417	-0.892	-52.99	-131.6	80.5
2305	0.498	-0.433	-0.936	-82.18	-88.62	69.16
2325	0.63	-0.534	-0.87	-100.38	-40.11	54.11
2349	0.635	-0.578	-0.677	-88.27	1.47	42.35
2369	0.612	-0.422	-0.491	-68.53	39.9	38.08
2389	0.62	-0.423	-0.33	-51.87	52.71	43.05
2408	0.657	-0.327	-0.203	-46.06	45.85	52.36
2427	0.743	-0.486	-0.113	12.25	37.24	50.4
2446	0.778	-0.501	0.044	18.13	28.63	69.37
2467	0.947	-0.549	0.07	47.25	10.01	40.81
2486	0.937	-0.538	0.069	39.55	7.91	22.12
2511	0.932	-0.521	0.164	32.27	-0.56	1.68
2529	0.987	-0.56	0.125	24.01	-7.28	-4.62
2551	1.057	-0.581	0.153	36.26	-17.5	-10.57
2575	0.97	-0.382	0.233	31.15	-19.32	-11.62
2593	1.041	-0.402	0.248	13.02	-14.42	-9.24
2617	0.977	-0.488	0.146	5.25	-6.93	-5.39
2637	0.924	-0.558	0.04	4.9	-7.84	-3.43
2661	0.954	-0.595	0.076	10.43	-1.33	-4.69
2680	0.892	-0.457	0.142	25.41	8.89	-8.54
2699	0.848	-0.336	0.247	22.19	9.94	-6.44
2717	0.846	-0.364	0.253	21.84	7.91	-0.07
2741	0.846	-0.392	0.222	23.24	2.94	10.15
2761	0.838	-0.409	0.182	21.84	-3.5	12.04
2779	0.869	-0.441	0.151	22.61	-4.83	10.15
2796	0.922	-0.501	0.123	23.45	-3.71	7.0
2821	0.946	-0.518	0.094	28.49	1.68	4.48
2837	0.966	-0.486	0.041	25.69	5.74	1.96
2856	0.978	-0.481	-0.061	29.19	11.9	-0.91
2876	0.995	-0.468	-0.192	42.98	19.53	-1.12
2901	0.999	-0.391	-0.377	60.9	35.42	-0.49
2920	0.988	-0.336	-0.372	77.7	65.17	2.66
2941	0.918	-0.205	-0.402	77.63	97.65	5.18
2957	0.824	-0.166	-0.39	73.08	139.58	8.61
2980	0.638	-0.158	-0.436	75.04	169.82	12.88
2999	0.447	-0.18	-0.478	85.05	199.08	20.16
3024	0.264	-0.143	-0.407	110.04	229.74	20.79
3044	0.045	-0.029	-0.295	150.71	268.73	15.82
3061	-0.066	0.111	-0.345	157.99	291.27	6.65
3085	-0.167	0.126	-0.402	162.12	322.56	-4.48
3104	-0.361	0.088	-0.423	185.78	312.34	-15.47
3120	-0.43	0.223	-0.225	219.1	315.91	-23.31
3145	-0.541	0.448	-0.211	224.98	330.47	-45.29
3165	-0.643	0.687	-0.12	199.36	342.86	-63.77
3185	-0.913	0.873	0.145	202.37	370.65	-71.12
3200	-1.059	0.651	0.294	234.78	400.05	-66.64
3224	-1.541	0.523	0.297	248.15	381.85	-58.45
3245	-1.666	0.593	0.057	247.38	356.65	-82.95
3265	-1.854	0.652	0.215	260.54	348.95	-90.02
3284	-2.377	1.038	0.539	245.77	320.6	-100.8
3303	-2.508	1.145	0.862	188.3	302.75	-112.91
3322	-2.521	0.949	0.777	159.32	292.74	-124.67
3346	-2.379	0.905	0.573	119.7	279.79	-144.97
3365	-2.311	0.81	0.479	53.9	262.29	-152.39
3386	-2.255	0.638	0.538	-9.45	257.95	-150.08
3405	-2.239	0.475	0.573	-38.22	254.38	-138.18
3425	-2.093	0.303	0.52	-47.88	243.39	-116.55
3446	-1.905	0.186	0.348	-44.38	220.01	-89.6
3466	-1.768	0.096	0.243	-30.31	189.98	-62.65
3490	-1.666	0.012	0.234	2.31	149.38	-25.2
3510	-1.552	0.007	0.326	57.54	122.08	3.5
3529	-1.478	0.023	0.359	112.63	100.38	23.31
3550	-1.36	0.198	0.354	146.44	82.32	35.84
3569	-1.297	0.344	0.369	152.95	63.42	37.73
3589	-1.213	0.505	0.379	138.81	41.65	29.54
3613	-1.103	0.58	0.37	100.94	17.85	17.92
3633	-1.063	0.596	0.329	78.33	-16.38	7.7
3653	-1.033	0.578	0.272	54.74	-19.39	3.22
3676	-0.994	0.533	0.203	39.34	-39.62	2.52
3695	-1.007	0.507	0.142	27.02	-50.05	6.23
3719	-0.996	0.466	0.093	24.29	-64.61	14.49
3739	-0.969	0.438	0.057	23.59	-72.1	24.36
3755	-0.962	0.442	0.06	21.56	-74.13	30.1
3775	-0.981	0.46	0.071	12.11	-74.55	36.54
3795	-1.012	0.479	0.082	-2.31	-74.48	39.34
3817	-1.06	0.501	0.087	-26.6	-74.97	40.25
3837	-1.096	0.501	0.155	-51.24	-77.49	44.52
3856	-1.207	0.508	0.235	-70.63	-78.47	53.97
3881	-1.367	0.547	0.262	-82.18	-88.13	71.47
3899	-1.598	0.574	0.356	-84.28	-99.82	88.83
3922	-1.773	0.649	0.455	-73.08	-117.39	113.82
3943	-2.032	0.757	0.593	-72.52	-134.33	140.28
3963	-2.173	0.852	0.753	-97.86	-173.39	156.52
3982	-2.201	0.833	0.94	-114.94	-197.96	171.36
4002	-2.381	0.923	0.923	-131.11	-230.16	180.81
4021	-2.393	1.017	0.743	-153.58	-274.33	179.41
4046	-2.323	1.081	0.692	-191.24	-321.23	154.77
4062	-2.125	0.938	0.619	-227.92	-358.12	130.27
4086	-2.032	0.694	0.577	-234.99	-378.91	97.58
4106	-1.814	0.638	0.487	-207.34	-382.55	83.79
4123	-1.701	0.712	0.386	-198.1	-386.89	74.83
4143	-1.526	0.722	0.288	-189.7	-387.87	67.76
4167	-1.297	0.652	0.321	-173.11	-375.62	62.37
4186	-1.239	0.935	0.338	-192.01	-364.91	50.12
4206	-1.092	0.718	0.206	-217.14	-374.57	44.1
4230	-0.959	0.588	0.051	-199.08	-390.32	48.65
4249	-0.67	0.344	0.023	-179.48	-393.47	52.5
4266	-0.376	0.21	0.012	-139.23	-366.03	52.01
4285	-0.049	0.155	0.018	-117.6	-367.29	54.18
4306	-0.017	0.113	-0.033	-112.42	-287.28	56.0
4325	0.13	0.225	-0.125	-110.67	-218.26	48.23
4349	0.191	0.261	-0.301	-130.69	-168.42	32.2
4370	0.44	0.137	-0.52	-179.27	-111.58	23.87
4389	0.581	0.028	-0.614	-197.75	-96.53	28.42
4413	0.695	-0.34	-0.55	-174.93	-61.6	37.87
4433	0.679	-0.391	-0.379	-108.22	-47.39	50.12
4453	0.729	-0.234	-0.186	-90.23	-31.08	45.15
4472	0.809	-0.285	-0.204	-66.71	-7.7	40.88
4496	0.834	-0.262	-0.179	-68.81	-4.13	35.0
4516	0.824	-0.378	-0.183	-59.57	-2.03	30.52
4536	0.813	-0.356	-0.163	-44.59	2.31	26.04
4558	0.782	-0.483	-0.141	-20.23	-17.15	31.15
4581	0.956	-0.473	-0.094	3.29	0.7	26.53
4600	0.834	-0.488	-0.091	-3.71	-9.73	20.51
4622	0.837	-0.527	0.032	14.42	-16.1	8.26
4646	0.83	-0.54	0.057	10.78	-26.6	4.48
4666	0.891	-0.556	0.112	35.0	-23.87	-3.64
4684	0.915	-0.59	0.102	42.91	-17.29	-8.4
4704	0.929	-0.516	0.112	35.42	-5.88	-13.23
4728	0.91	-0.547	0.127	17.22	3.57	-13.58
4748	0.914	-0.642	0.212	33.6	15.19	-7.14
4768	0.883	-0.39	0.363	44.8	8.89	0.0
4788	0.955	-0.318	0.534	11.83	18.2	2.8
4807	0.935	-0.463	0.454	-1.4	17.01	-0.14
4824	0.917	-0.521	0.46	5.11	10.01	-0.84
4848	0.928	-0.522	0.433	3.01	6.58	-5.39
4871	0.906	-0.528	0.353	-0.07	0.21	-10.08
4892	0.844	-0.418	0.279	13.86	-12.81	-5.11
4911	0.867	-0.385	0.259	19.53	-15.96	-1.54
4932	0.888	-0.33	0.197	14.63	-12.67	-0.49
4952	0.899	-0.376	0.088	15.05	-5.81	0.0
4972	0.912	-0.388	-0.024	20.02	-0.07	3.5
4992	0.93	-0.46	-0.121	17.08	8.68	1.61
5012	0.923	-0.505	-0.24	26.32	24.64	-4.27
5031	0.903	-0.48	-0.348	37.8	44.59	-12.46
5051	0.866	-0.4	-0.442	55.3	73.22	-24.29
5070	0.791	-0.285	-0.534	78.47	89.6	-14.21
5090	0.731	0.001	-0.483	88.34	101.15	-4.13
5114	0.675	0.025	-0.405	108.29	116.41	2.94
5134	0.51	0.056	-0.28	138.67	162.96	0.28
5152	0.43	0.058	-0.326	145.6	192.08	-13.23
5173	0.212	0.048	-0.358	155.05	209.93	-22.47
5193	0.154	-0.061	-0.447	173.32	230.93	-28.21
5212	-0.041	-0.003	-0.449	213.36	261.38	-33.39
5236	-0.276	0.263	-0.315	232.33	278.53	-56.7
5255	-0.486	0.508	-0.114	215.04	307.93	-77.91
5271	-0.613	0.577	-0.079	189.56	327.81	-88.83
5296	-0.706	0.471	-0.095	179.34	349.93	-95.97
5316	-0.935	0.45	-0.172	202.86	381.85	-101.15
5336	-1.393	0.558	-0.086	197.54	403.41	-113.05
5356	-1.633	0.516	0.219	187.88	419.51	-120.26
5380	-2.152	0.948	0.352	144.06	477.89	-155.89
5398	-2.216	0.44	0.079	85.54	437.71	-161.49
5420	-2.36	0.248	-0.229	84.42	444.01	-145.25
5437	-2.892	0.18	-0.242	101.36	430.15	-139.37
5457	-3.395	0.356	0.136	95.13	429.24	-137.06
5477	-3.57	0.634	0.601	30.73	434.7	-147.91
5501	-3.556	0.957	0.802	-107.17	397.53	-158.27
5519	-3.081	1.233	0.715	-217.14	339.57	-153.23
5540	-2.366	0.246	-0.051	-208.46	262.78	-102.55
5560	-1.893	-0.534	-0.283	-42.07	209.37	-24.43
5584	-1.772	-0.342	-0.262	138.25	163.38	52.92
5603	-1.715	-0.144	-0.122	227.36	107.87	100.52
5622	-1.577	-0.02	0.088	262.01	84.07	124.53
5640	-1.432	0.179	0.17	280.28	86.38	130.62
5660	-1.375	0.398	0.221	290.29	66.29	124.46
5680	-1.257	0.627	0.285	276.64	64.68	99.47
5699	-1.121	0.886	0.359	218.12	67.13	63.84
5719	-1.087	1.025	0.374	134.19	66.29	15.33
5744	-1.053	1.021	0.378	6.3	51.66	-29.33
5764	-1.028	0.843	0.347	-85.82	34.79	-53.48
5779	-1.007	0.703	0.277	-132.65	2.24	-63.98
5799	-0.973	0.587	0.221	-187.6	-8.47	-67.97
5822	-1.064	0.327	0.232	-190.19	-30.73	-61.46
5843	-1.126	0.137	0.242	-156.94	-63.21	-46.62
5863	-1.104	0.05	0.274	-115.85	-83.02	-26.67
5887	-1.283	0.04	0.399	-69.86	-97.79	-9.59
5902	-1.522	0.119	0.449	-52.01	-121.8	-0.07
5926	-1.766	0.259	0.613	-22.61	-152.25	11.62
5945	-1.995	0.405	0.653	-23.17	-172.34	15.12
5970	-2.291	0.491	0.549	-41.93	-219.52	23.59
5989	-2.609	0.517	0.574	-45.64	-253.89	39.69
6008	-2.884	0.48	0.59	-47.81	-306.11	69.93
6033	-3.033	0.388	0.436	-22.75	-362.46	106.19
6053	-3.059	0.534	0.179	-2.24	-405.16	134.4
6071	-2.978	0.828	0.286	-31.92	-428.68	140.56
6094	-3.045	0.893	0.288	-88.13	-433.86	132.93
6115	-2.906	0.903	0.175	-140.35	-438.62	114.87
6134	-2.665	0.864	0.11	-180.04	-445.13	94.43
6151	-2.401	0.904	0.069	-211.19	-444.92	68.6
6170	-2.214	0.915	-0.079	-238.42	-450.94	42.77
6195	-1.855	0.66	-0.106	-217.28	-454.16	34.09
6215	-1.526	0.58	-0.146	-198.73	-463.26	38.01
6235	-1.303	0.521	-0.186	-159.25	-471.66	46.2
6253	-1.041	0.48	0.05	-130.76	-464.73	54.88
6272	-1.182	0.399	-0.089	-136.92	-503.65	50.33
6292	-0.762	0.4	-0.233	-126.28	-424.2	54.95
6316	-0.526	0.209	-0.307	-94.15	-403.06	53.41
6336	-0.282	0.076	-0.318	-87.78	-354.41	58.31
6356	-0.062	0.02	-0.3	-67.55	-289.17	68.18
6374	0.253	0.0	-0.303	-69.51	-213.78	68.95
6394	0.169	0.005	-0.441	-92.26	-166.67	60.83
6416	0.211	-0.067	-0.486	-130.13	-123.55	56.28
6436	0.304	-0.076	-0.55	-137.13	-91.14	50.4
6455	0.465	-0.202	-0.524	-107.03	-57.33	44.31
6480	0.593	-0.168	-0.429	-103.46	-8.68	32.76
6500	0.702	-0.292	-0.565	-105.07	21.0	33.88
6520	0.718	-0.344	-0.565	-113.61	21.98	32.27
6544	0.911	-0.525	-0.403	-64.61	33.74	33.11
6564	0.964	-0.53	-0.327	-41.93	31.99	30.52
6583	1.039	-0.458	-0.244	-16.45	50.12	18.97
6602	1.019	-0.507	-0.122	-21.42	31.29	14.84
6622	1.113	-0.676	-0.044	-11.13	10.71	7.56
6647	1.117	-0.781	-0.07	56.7	13.02	2.31
6670	1.088	-0.544	-0.035	69.72	2.94	-5.32
6691	1.07	-0.265	0.122	44.1	-2.03	-11.76
6710	1.009	-0.366	0.217	26.11	-7.28	-10.01
6728	0.974	-0.406	0.224	39.41	-11.76	0.35
6748	0.911	-0.27	0.182	55.79	-14.84	9.31
6767	0.893	-0.243	0.243	33.39	-14.07	11.27
6792	0.882	-0.451	0.175	27.16	-10.01	20.51
6812	0.863	-0.505	0.184	27.23	-2.59	24.08
