time,right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
0.0,-57.209764098339676,-59.91265838461084,0.34145811174502566,0.24062338545872236,0.4377461336748075,-2.7318538049369687,3.9277923502753715,2.385027985781088,-6.881780996070271,-9.434873507059995,-51.04804040872967,-56.81969990633763,-83.8382763103899,-86.90704152172665,-83.49681819864486,-86.66641813725661,2.871998741042451,92.16908932104016,1.779187807720498,94.11771275224122,-80.00677198204431,-81.5495363465386,-86.88855297811462,-90.98440985359855
0.02,-60.62779539916647,-61.60245386445557,0.5169611927227112,0.7916419662675683,0.618531490261333,-2.5228978330721743,4.3567445180546365,2.88205857916189,-6.867707115118335,-9.953100165145212,-54.489777807957424,-58.88054636530904,-83.86198240879084,-87.27809250085332,-83.34502121606812,-86.48645053940162,2.7968188331727224,92.19807769504995,1.9226319912421963,94.06706069446254,-79.60680818827484,-81.08149412716759,-86.4745153033932,-91.03459429231278
0.04,-62.675255050126324,-62.57108761423686,0.6872597687945095,1.1689001748711103,0.7291029572574103,-2.391053677836987,4.664619799853925,3.192776896268185,-6.876399993139702,-10.27778753104009,-56.60134753808524,-60.09897713260232,-83.92609248795883,-87.52788951836533,-83.23883271916431,-86.3589893542587,2.7475798685870068,92.20246066514221,2.0247269921361286,94.00569029885212,-79.3033158765678,-80.77515878015355,-86.17971586970754,-91.05294631119364
0.06,-63.13353442191059,-62.78218400824973,0.8355638855017625,1.3254667145795933,0.7681941746630954,-2.3455465622398535,4.808925392543509,3.3065479765602395,-6.877759584580989,-10.418538722148051,-57.15038238453081,-60.40267552028535,-84.01684796262013,-87.62049151203551,-83.18128407711836,-86.29502481402132,2.7292676973498384,92.18400324050195,2.03337595644455,93.94398236442423,-79.14055285923793,-80.64293027522122,-86.01831244381897,-91.0614689973693
0.08,-62.76611321081486,-62.78595875826487,0.9691040986477915,1.3030948551424673,0.8015567582571795,-2.3446994135141708,4.815735154162964,3.3390572060857795,-6.791648307453356,-10.489590252731558,-56.8704479486949,-60.37054040856392,-84.10433473787997,-87.58458165029897,-83.13523063923218,-86.28148681100352,2.726575815331286,92.17131238620986,1.9455716913668941,93.91662872990068,-79.12105224332636,-80.59773019140354,-85.91270055077976,-91.08732044413516
0.1,-62.23001302182813,-63.003114492822974,1.113800354658048,1.1618950686907767,0.8812051589705097,-2.3515662186105875,4.744791750357848,3.3868495639880596,-6.611259817032722,-10.5848770838023,-56.41344676727678,-60.4674143327537,-84.1834337454486,-87.46429983993063,-83.06963339079053,-86.30240476837162,2.7247325509419893,92.18536353848155,1.8362038475183162,93.9439492190462,-79.20604679940315,-80.56398898577295,-85.81730661643591,-91.14886606957528
0.12,-61.67885487369402,-63.352839493031844,1.2245728681208392,0.9728102444525701,0.9784146323551208,-2.3608788642205387,4.677437658367535,3.459747264187422,-6.48355800133017,-10.755337869997152,-55.905509234383075,-60.667024780314385,-84.22665436068898,-87.31418528728246,-83.00208149256812,-86.34137498914377,2.723596121554427,92.21502111364376,1.7925046863303957,94.00135181832044,-79.30305846655567,-80.52074886073581,-85.78661646788588,-91.27608673073296
0.14,-61.27914180309189,-63.594897571509605,1.1928324103801904,0.8271339044397552,1.0226419794742805,-2.379364949781141,4.687564456925863,3.5120264288044187,-6.551076366339932,-10.956750475886189,-55.45389330491785,-60.80595764010251,-84.17475150182585,-87.21106006859281,-82.98191909144566,-86.38392602070108,2.7272810670190637,92.23908605964046,1.82089216448,94.05070493258296,-79.31699661399406,-80.49253464211553,-85.86807298033402,-91.44928511800168
0.16,-61.29402570042657,-63.67672832261195,1.0060567021685816,0.8081864051853848,0.99461425175702,-2.3940872831670967,4.779328350728905,3.5221430074990856,-6.761313094062872,-11.083308969415084,-55.323603438836685,-60.897137549899504,-84.02957773841,-87.22040922728745,-83.02352103624142,-86.41222257116553,2.730936124501468,92.25266027671894,1.8453254118690992,94.08133258040246,-79.23880693726954,-80.49599228049938,-86.00012003133241,-91.5793012499144
0.18,-61.586389985037144,-63.61989175484881,0.7996802556522167,0.9262041615628103,0.9411446962493399,-2.380931078691937,4.876724934705396,3.52284888291531,-6.947238584325152,-11.112052726599925,-55.4717970773315,-60.95389882445688,-83.88540709229424,-87.33400706960798,-83.08572683664204,-86.4078026115833,2.72872811634524,92.26139652161187,1.8118219309555101,94.11169275274636,-79.15014659818601,-80.5040226499761,-86.09738518251115,-91.61607537657595
