Joint,MSE,RMSE,MAE,R2
pelvis,5.96720552444458,2.442786426285479,1.8797292709350586,0.7690329551696777
shoulders,15.771364212036133,3.971317692156614,2.8394925594329834,0.9514232873916626
trunk,17.94573974609375,4.236241228505968,3.1228644847869873,0.9538431763648987
right thigh,23.344871520996094,4.831653083676031,3.496337413787842,0.8550103902816772
left thigh,24.36760902404785,4.936355844552523,3.5613718032836914,0.8415932059288025
left foot,58.5160026550293,7.6495753251425205,5.33263635635376,0.8000697493553162
left shank,62.24406814575195,7.8894909940852305,4.64352560043335,0.5219173431396484
right foot,62.784671783447266,7.923677920224122,5.5648674964904785,0.8830897808074951
head,77.34214782714844,8.794438460023951,5.107920169830322,0.8724208474159241
right knee,79.99562072753906,8.944027097875937,4.862584590911865,0.9870712161064148
right shank,86.03237915039062,9.275364097995864,5.06332540512085,0.39316099882125854
left knee,94.46833801269531,9.719482394278787,4.491395473480225,0.9849068522453308
right arm,100.3531265258789,10.017640766461877,6.897671699523926,0.9000927805900574
left ankle,102.06266784667969,10.102606982689156,6.707854270935059,0.8488827347755432
right hip,119.28990936279297,10.9219920052522,4.909636497497559,0.9785427451133728
left hip,121.13436889648438,11.006105982430133,4.93918514251709,0.9719066023826599
right elbow,139.5885772705078,11.814760990832943,7.600635528564453,0.9722325801849365
left arm,144.81468200683594,12.03389720775593,8.133713722229004,0.8541090488433838
right ankle,146.07937622070312,12.086330138660912,7.6321210861206055,0.8252297639846802
left forearm,175.2172088623047,13.236963732756266,8.75101089477539,0.8431684970855713
right forearm,177.4204864501953,13.319928169858699,8.77908706665039,0.8361057639122009
right shoulder,181.2371826171875,13.462435983773052,7.3406453132629395,0.9566487669944763
left elbow,189.6158447265625,13.770106925022858,7.9058098793029785,0.9623396992683411
left shoulder,215.2264862060547,14.670599381281416,8.245606422424316,0.9533125162124634
