Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-1.014,0.009,0.036,7.0,0.14,-1.05,-0.996,0.114,0.224,-1.47,-4.27,5.11,-0.948,0.318,-0.112,6.65,-3.5,-1.75
20.0,-1.015,0.008,0.037,6.742,0.189,-1.219,-0.995,0.121,0.227,-3.28,-3.554,5.235,-0.95,0.324,-0.113,6.788,-3.297,-1.278
40.0,-1.011,0.003,0.035,6.209,0.324,-1.393,-0.994,0.122,0.229,-3.903,-3.452,4.745,-0.952,0.325,-0.111,6.72,-3.57,-0.7
60.0,-1.012,0.007,0.038,6.07,0.529,-1.4,-0.98,0.123,0.231,-4.756,-1.998,3.854,-0.948,0.322,-0.106,7.042,-3.5,-0.028
80.0,-1.013,0.008,0.038,5.593,0.176,-1.364,-0.983,0.147,0.192,-0.938,3.327,-1.227,-0.951,0.321,-0.101,7.33,-3.522,0.61
100.0,-1.011,0.01,0.036,4.884,-0.06,-1.222,-1.007,0.109,0.214,-2.59,-2.94,1.82,-0.947,0.324,-0.097,7.054,-3.636,0.819
120.0,-1.011,0.015,0.036,4.724,0.059,-1.19,-0.991,0.122,0.235,-3.915,-0.158,0.803,-0.942,0.322,-0.096,6.58,-3.57,0.49
140.0,-1.014,0.021,0.037,4.46,0.293,-1.083,-1.004,0.117,0.234,-3.423,-0.513,0.311,-0.941,0.322,-0.095,6.133,-3.341,-0.106
160.0,-1.013,0.02,0.036,3.248,-0.067,-0.865,-0.994,0.105,0.227,-5.132,-0.296,0.28,-0.946,0.33,-0.091,5.403,-2.643,-1.032
180.0,-1.009,0.015,0.029,2.186,-0.579,-0.917,-0.981,0.105,0.217,-3.979,-0.073,-0.528,-0.95,0.333,-0.09,3.213,-2.429,-2.243
200.0,-1.007,0.02,0.031,1.434,0.009,-1.096,-1.021,0.115,0.227,-4.372,-1.724,-0.042,-0.943,0.338,-0.09,0.974,-1.655,-2.924
220.0,-1.014,0.021,0.039,-0.097,0.347,-1.12,-0.998,0.104,0.233,-4.542,-0.219,0.985,-0.946,0.341,-0.088,-0.499,-1.065,-3.497
240.0,-1.019,0.018,0.034,-1.408,0.045,-1.227,-0.997,0.107,0.225,-4.266,-1.06,1.313,-0.943,0.335,-0.085,-1.584,-0.846,-3.015
260.0,-1.02,0.015,0.031,-2.06,-0.237,-1.476,-1.002,0.104,0.23,-2.765,-0.712,1.536,-0.949,0.345,-0.087,-2.706,-0.84,-2.632
280.0,-1.019,0.01,0.032,-2.763,-0.433,-1.54,-0.989,0.105,0.229,-2.798,-1.08,1.336,-0.948,0.348,-0.094,-5.467,-0.893,-2.422
300.0,-1.016,0.005,0.036,-3.488,-0.49,-1.629,-0.997,0.111,0.229,-2.76,-1.435,1.389,-0.946,0.335,-0.098,-8.06,-1.308,-1.829
320.0,-1.013,0.003,0.036,-3.787,-0.512,-1.686,-0.996,0.11,0.225,-2.226,-1.409,1.352,-0.945,0.32,-0.104,-8.139,-1.235,-0.92
340.0,-1.011,0.004,0.034,-3.934,-0.627,-1.61,-0.995,0.109,0.225,-1.111,-1.689,1.194,-0.946,0.308,-0.107,-7.339,-0.944,-0.27
360.0,-1.011,0.007,0.034,-3.939,-0.729,-1.513,-0.994,0.11,0.227,0.171,-1.88,1.032,-0.947,0.307,-0.111,-6.955,-0.91,0.104
380.0,-1.013,0.008,0.035,-3.934,-0.821,-1.161,-0.994,0.112,0.226,0.044,-1.846,0.737,-0.951,0.303,-0.114,-6.562,-0.988,0.389
