Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
500.0,-0.95,-0.018,-0.149,2.903,-9.416,-2.105,-0.998,0.15,0.166,2.874,-9.995,5.313,-0.886,0.344,-0.066,-9.445,-1.134,1.498,-0.99,-0.198,-0.001,11.359,-13.304,-12.706
520.0,-0.96,-0.014,-0.162,2.668,-7.619,-1.683,-0.975,0.144,0.17,3.01,-9.24,4.83,-0.906,0.318,-0.065,-10.971,2.111,-1.643,-1.002,-0.177,0.002,11.9,-13.3,-12.25
540.0,-0.999,-0.025,-0.153,2.806,-4.863,-1.4,-0.992,0.164,0.182,4.397,-9.047,3.93,-0.903,0.308,-0.064,-9.521,3.819,-4.69,-0.993,-0.167,0.0,9.435,-12.967,-13.286
560.0,-1.005,-0.031,-0.139,3.623,-3.461,-2.281,-0.991,0.166,0.191,4.11,-7.196,2.214,-0.907,0.307,-0.055,-6.365,5.407,-7.273,-0.985,-0.175,0.003,8.32,-11.312,-13.892
580.0,-0.989,-0.021,-0.131,3.967,-3.3,-2.545,-0.976,0.162,0.196,4.336,-4.344,0.849,-0.921,0.317,-0.049,-3.862,6.091,-9.765,-0.99,-0.187,-0.002,9.315,-10.796,-13.847
600.0,-0.991,-0.011,-0.142,3.71,-2.704,-1.731,-0.979,0.186,0.2,3.01,-1.68,-0.35,-0.923,0.321,-0.038,-2.49,6.229,-12.267,-0.988,-0.186,-0.004,11.374,-9.791,-13.087
620.0,-0.992,-0.01,-0.158,3.593,-2.118,-1.285,-0.978,0.169,0.181,2.03,0.07,-0.84,-0.915,0.323,-0.034,0.168,6.19,-13.551,-0.989,-0.174,-0.007,12.514,-8.607,-11.105
640.0,-0.977,-0.006,-0.166,3.29,-0.227,-0.914,-0.992,0.157,0.179,1.013,0.076,-1.289,-0.914,0.325,-0.038,2.855,6.286,-14.302,-0.993,-0.162,-0.006,11.249,-6.748,-9.642
660.0,-0.963,-0.006,-0.165,3.292,2.353,-0.684,-0.988,0.147,0.179,0.497,1.244,-2.073,-0.919,0.326,-0.04,6.4,6.143,-14.756,-1.007,-0.162,-0.007,9.263,-5.254,-8.338
680.0,-0.977,-0.008,-0.146,3.656,4.192,-0.26,-0.991,0.141,0.179,2.002,2.281,-3.008,-0.929,0.336,-0.032,9.144,5.951,-15.438,-1.007,-0.165,-0.005,8.171,-3.631,-6.673
700.0,-0.991,-0.02,-0.118,3.916,2.179,0.069,-0.993,0.174,0.172,2.643,3.251,-3.58,-0.943,0.348,-0.032,10.749,6.198,-16.337,-1.003,-0.175,0.001,8.192,-2.38,-4.749
720.0,-1.0,-0.022,-0.117,3.111,-1.495,-0.233,-0.996,0.16,0.173,1.303,3.832,-3.893,-0.946,0.363,-0.022,10.777,6.33,-17.577,-1.0,-0.177,-0.002,9.172,-0.933,-3.621
740.0,-0.995,-0.021,-0.137,2.223,-4.059,-1.033,-1.001,0.139,0.169,1.688,3.916,-4.15,-0.948,0.37,-0.022,9.564,5.852,-18.289,-0.996,-0.172,-0.004,10.424,-0.28,-3.392
760.0,-0.991,-0.013,-0.14,1.114,-5.117,-1.616,-0.999,0.144,0.163,3.158,3.734,-4.312,-0.946,0.374,-0.021,8.463,5.674,-18.297,-0.99,-0.171,0.001,10.762,0.342,-3.166
780.0,-0.997,-0.007,-0.114,1.05,-7.35,-1.68,-0.998,0.152,0.158,3.631,3.841,-4.474,-0.947,0.374,-0.018,7.624,5.083,-17.375,-0.988,-0.169,0.007,10.755,1.817,-2.401
800.0,-1.01,-0.006,-0.123,2.312,-10.135,-1.167,-1.004,0.146,0.16,3.64,3.638,-4.299,-0.953,0.371,-0.02,7.562,4.511,-15.803,-0.989,-0.169,0.016,11.154,2.82,-0.488
820.0,-1.005,-0.005,-0.14,4.004,-10.795,-0.765,-1.004,0.143,0.161,3.186,3.888,-4.111,-0.953,0.371,-0.018,7.934,3.384,-13.882,-0.989,-0.169,0.02,11.682,3.004,2.112
840.0,-0.996,-0.011,-0.154,3.485,-12.253,-0.245,-1.003,0.136,0.159,2.958,3.722,-3.984,-0.952,0.374,-0.015,8.118,2.198,-12.03,-0.989,-0.157,0.016,9.328,2.898,3.023
860.0,-0.986,-0.023,-0.146,2.556,-12.254,-0.142,-1.004,0.128,0.152,3.452,3.194,-3.883,-0.952,0.382,-0.01,7.886,1.407,-9.859,-0.988,-0.158,0.018,5.703,3.268,3.475
880.0,-0.996,-0.018,-0.096,4.078,-12.89,-0.33,-1.004,0.128,0.144,4.677,2.953,-3.873,-0.96,0.381,-0.019,7.572,-0.084,-7.533,-0.997,-0.168,0.02,2.579,3.896,3.878
900.0,-1.012,-0.016,-0.105,5.11,-15.75,-0.28,-0.999,0.139,0.143,4.628,2.814,-3.891,-0.969,0.377,-0.023,7.976,-2.0,-5.596,-1.006,-0.18,0.018,1.833,4.039,4.364
