right ankle,left ankle,right knee,left knee,right hip,left hip,right shoulder,left shoulder,right elbow,left elbow,right foot,left foot,right shank,left shank,right thigh,left thigh,pelvis,trunk,shoulders,head,right arm,left arm,right forearm,left forearm
-56.2077327212337,-83.50991465883338,-0.3404545710679088,1.5784858976661837,1.655397578325676,3.4677705179526868,8.391642154932015,7.057809444334026,-3.6092329821420606,-12.212896868764346,-54.68361254117771,-82.09236200788449,-88.47587981994393,-88.58244734905102,-88.81633439101184,-87.00396145138481,0.8970864507321892,87.38622749551985,-2.4448048988851667,87.15410134116655,-82.08008981440551,-83.41392252500349,-85.68932279654757,-95.62681939376782
-58.337106626202626,-78.15697102897555,-0.2531801969325329,1.8495406549925235,2.209127342077238,3.6753547538200166,8.851377508700438,7.270136730030373,-4.141911056983247,-11.955566521158943,-56.57749732609541,-77.03385516905058,-88.24039069989267,-88.87688414007496,-88.49357089682519,-87.02734348508243,0.37374686405473767,87.61719376510894,-2.4386047185312236,87.118163435528,-81.85132073020202,-83.4325615088721,-85.99323178718528,-95.38812803003104
-60.13560848092577,-74.87378114673056,-0.14362274294830968,2.0150536600426108,2.598811272572732,3.78042079469742,9.250302026935117,7.362261750330646,-4.664157562243474,-11.717784546907154,-58.24220233570159,-73.95744188237259,-88.10659385477571,-89.08366073564196,-88.250216597724,-87.06860707559935,-0.16407725800510775,87.76352339658371,-2.4338695987970027,87.02877156839577,-81.59872584336165,-83.48676611996615,-86.26288340560515,-95.2045506668733
-61.29813804688824,-73.90219688854187,-0.014216094531178669,2.0185331103049293,2.774442006699047,3.751185338096178,9.562190325559698,7.336702376077852,-5.1580790207264045,-11.585566123114631,-59.39893426067772,-73.05899897577031,-88.10079621378937,-89.15680208722834,-88.11501230832052,-87.13826897692341,-0.7206159273623314,87.80394984146437,-2.4315225972788426,86.88512553027135,-81.32726398945988,-83.55275193894175,-86.48534301018631,-95.13831806205636
-61.83908010396196,-73.8627866921147,0.08766595985281356,1.8827750684271223,2.7971664523192885,3.6444384145752053,9.77401045258108,7.296691250470644,-5.5575143138567284,-11.629136139087649,-59.998478457739424,-72.97002219221056,-88.15939835377735,-89.10723550009574,-88.07173239392452,-87.22446043166865,-1.276008279147078,87.78339437290356,-2.4312733875843264,86.75500374956346,-81.09488839366276,-83.5722075957732,-86.65240270751953,-95.20134373486084
-62.069443058966286,-73.62908316858832,0.1041775217547638,1.6894295338122447,2.762442581133712,3.5500299774215875,9.861947670011887,7.331591710359362,-5.770748546339917,-11.807335557198286,-60.25804889676266,-72.61535362215427,-88.18860583779626,-88.98627045356581,-88.08442831604147,-87.2968409197536,-1.769903073872996,87.76136642398785,-2.4315838541361074,86.71374888116651,-80.98492322716329,-83.51527918681583,-86.75567177350322,-95.32261474401412
-62.06408683112096,-73.33538269678641,0.03876405173053854,1.5397949171519372,2.7414575026778607,3.5302858004212965,9.82587810029733,7.444288531114154,-5.771319661715239,-12.002794571618466,-60.21570729370768,-72.19920572705112,-88.15162046258666,-88.8638230302646,-88.1128564108561,-87.32402811311269,-2.0932680654008493,87.76880944016091,-2.4308844788523345,86.777735661463,-81.02843581323665,-83.4100253824198,-86.79975547495191,-95.4128199540383
-61.66125000969991,-73.32292226766232,-0.05508624146546026,1.514393916903657,2.7556112622543765,3.5974442641457074,9.711201934690024,7.559537671388881,-5.637027094540656,-12.093844077003666,-59.737776902916636,-72.12709631735686,-88.07652689321668,-88.80417404969445,-88.13161313468211,-87.2897801327908,-2.113139226183449,87.80171992259841,-2.4289122335603963,86.89999835229025,-81.1760224622465,-83.32768672554762,-86.81304955678713,-95.4215308025513
-61.0591297940949,-73.16265609532861,-0.1536791629569052,1.636311497835294,2.781468801579848,3.718270404449612,9.566396679362555,7.592594435164557,-5.490455296039784,-12.003956674805835,-59.04485923625464,-72.00157459541082,-87.9857294421597,-88.83891850008214,-88.13940860511657,-87.20260700224684,-1.76740163544207,87.83537293016582,-2.4265340495005887,87.00106296081998,-81.35448072733391,-83.32828297153186,-86.84493602337368,-95.3322396463377
-60.829488769017445,-72.51429360350386,-0.25809324340670514,1.8555360239526522,2.796484821356188,3.8471697363188753,9.428163112714145,7.525497379135118,-5.419269843389003,-11.75222561552593,-58.71243270890187,-71.46018189578496,-87.88294393988437,-88.94588829228104,-88.14103718329105,-87.09035226832837,-1.176965844444993,87.85201752469675,-2.4245209237091387,87.0214930564672,-81.50935889193312,-83.41202462551213,-86.9286287353221,-95.16425024103803
-61.23785574723317,-71.96277701016837,-0.3210702560172365,2.0678312678701047,2.82378179645022,3.9625669308461227,9.354853938175665,7.425967685766295,-5.439736497975758,-11.449790069907067,-59.04424253022455,-71.01928018265116,-87.80638678299132,-89.05650317248273,-88.12745703900855,-86.98867190461263,-0.5946184514422725,87.86573435215132,-2.422991588610955,86.97423993228767,-81.59638489728309,-83.52527114969246,-87.03612139525885,-94.9750612195995
