Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-0.974,-0.158,0.247,-4.34,-0.91,-11.06,-0.989,-0.25,0.01,0.0,-2.1,1.54,-0.996,0.047,-0.051,-13.58,-6.23,-1.33
20.0,-0.98,-0.165,0.252,-3.792,-1.534,-11.004,-0.984,-0.252,0.011,-0.122,-1.762,1.718,-1.009,0.074,-0.042,-12.654,-8.077,0.058
40.0,-0.983,-0.164,0.261,-3.929,-3.166,-10.819,-0.987,-0.245,0.009,-0.19,-1.797,1.88,-0.99,0.076,-0.096,-8.432,-8.326,1.572
60.0,-0.979,-0.163,0.258,-4.627,-5.351,-10.67,-0.989,-0.243,0.006,-0.582,-2.345,1.89,-0.985,0.119,-0.087,-9.703,-7.385,3.721
80.0,-0.971,-0.178,0.25,-4.464,-6.365,-10.485,-0.988,-0.245,0.005,-0.766,-2.325,2.021,-1.002,0.037,-0.047,-10.517,-10.129,3.406
100.0,-0.971,-0.185,0.244,-4.13,-5.25,-9.87,-0.985,-0.25,0.005,-0.114,-2.173,1.894,-1.008,0.063,-0.028,-5.138,-14.811,3.78
120.0,-0.979,-0.188,0.252,-4.605,-4.383,-9.212,-0.989,-0.247,0.004,0.12,-2.42,2.003,-0.996,0.135,-0.004,-10.073,-15.254,3.827
140.0,-0.977,-0.185,0.245,-6.017,-5.32,-8.748,-0.989,-0.24,0.006,-0.061,-2.635,1.845,-0.974,0.065,-0.044,-9.771,-11.706,1.246
160.0,-0.971,-0.192,0.247,-4.994,-5.104,-8.269,-0.988,-0.245,0.011,0.162,-2.509,1.701,-0.975,0.049,-0.045,-5.598,-6.19,-1.168
180.0,-0.972,-0.202,0.243,-3.583,-4.306,-7.463,-0.99,-0.241,0.011,-0.12,-2.503,1.637,-0.975,0.038,-0.046,-2.199,-2.002,-3.832
200.0,-0.971,-0.203,0.244,-3.364,-3.569,-6.73,-0.988,-0.241,0.01,-0.366,-2.434,1.47,-0.974,0.039,-0.052,1.328,-0.958,-8.498
220.0,-0.972,-0.205,0.256,-3.949,-3.644,-5.882,-0.988,-0.244,0.01,-0.493,-2.159,1.22,-0.98,0.063,-0.08,-0.041,-2.496,-14.43
240.0,-0.971,-0.205,0.259,-4.852,-5.12,-5.505,-0.988,-0.241,0.007,-0.615,-1.99,1.035,-0.982,0.073,-0.119,-4.194,-6.93,-16.769
260.0,-0.968,-0.199,0.257,-5.023,-6.269,-5.221,-0.985,-0.241,0.007,-0.111,-1.71,0.835,-0.988,0.091,-0.073,-11.689,-15.943,-16.936
280.0,-0.963,-0.19,0.251,-4.636,-6.271,-4.581,-0.987,-0.244,0.008,0.127,-1.501,0.648,-0.988,0.058,-0.045,-16.959,-21.392,-14.353
300.0,-0.958,-0.19,0.248,-3.92,-5.178,-3.633,-0.989,-0.241,0.008,-0.28,-1.575,0.431,-0.987,0.044,-0.047,-8.075,-19.446,-9.967
320.0,-0.96,-0.199,0.249,-3.898,-4.782,-3.059,-0.99,-0.244,0.004,-0.55,-1.647,0.37,-1.012,0.083,-0.039,-7.048,-19.847,-7.347
340.0,-0.969,-0.208,0.256,-3.886,-5.341,-2.153,-0.99,-0.249,0.003,-0.092,-1.66,0.506,-0.988,0.034,-0.033,-9.293,-16.623,-4.832
360.0,-0.973,-0.214,0.259,-3.986,-6.556,-1.599,-0.991,-0.245,0.005,-0.21,-2.029,0.436,-0.977,0.051,-0.019,-8.678,-10.575,-2.801
380.0,-0.976,-0.221,0.261,-3.89,-6.627,-1.241,-0.991,-0.245,0.009,-0.001,-2.068,0.24,-1.0,0.066,-0.053,-0.742,-10.113,-0.766
400.0,-0.976,-0.225,0.258,-3.525,-6.186,-0.758,-0.987,-0.24,0.014,0.047,-1.75,0.21,-0.989,0.068,-0.03,-0.71,-11.602,-1.74
420.0,-0.964,-0.227,0.267,-2.757,-5.81,-0.341,-0.984,-0.24,0.011,-1.009,-1.639,0.241,-0.999,0.091,0.015,-0.949,-13.098,-1.113
440.0,-0.955,-0.224,0.276,-2.095,-5.81,0.0,-0.984,-0.252,0.003,-0.87,-1.443,0.384,-0.971,0.068,0.122,-0.56,-9.31,-0.21
460.0,-0.955,-0.218,0.277,-0.826,-5.919,0.087,-0.99,-0.242,0.0,-1.436,-1.895,0.51,-0.987,0.055,-0.016,-0.98,-8.68,0.56
480.0,-0.958,-0.221,0.272,0.218,-6.547,0.648,-0.986,-0.247,0.001,-1.084,-2.286,0.536,-0.971,0.071,-0.016,5.64,-3.727,3.067
500.0,-0.959,-0.222,0.265,0.941,-6.897,1.285,-0.988,-0.248,0.005,-0.969,-2.659,0.35,-1.016,0.142,0.036,-2.506,-6.257,3.547
520.0,-0.959,-0.211,0.257,1.394,-5.828,1.853,-0.986,-0.248,0.002,-0.442,-2.53,0.35,-0.98,0.05,0.041,-3.15,-2.52,6.02
540.0,-0.957,-0.209,0.255,1.092,-4.118,2.17,-0.986,-0.251,0.0,-0.076,-2.648,0.226,-1.011,0.053,0.011,-2.115,-2.588,6.267
560.0,-0.956,-0.211,0.255,0.639,-2.456,2.689,-0.989,-0.245,0.002,-0.132,-2.725,0.081,-0.995,0.075,0.016,0.44,-0.265,6.916
580.0,-0.952,-0.209,0.242,-0.235,-2.611,2.881,-0.988,-0.244,0.008,0.214,-2.578,0.129,-1.0,0.058,-0.012,1.745,0.975,6.444
600.0,-0.955,-0.203,0.249,-0.965,-0.202,2.933,-0.985,-0.247,0.006,0.057,-2.387,0.075,-1.021,0.097,0.006,0.14,-1.4,6.51
620.0,-0.955,-0.203,0.252,-0.49,1.33,2.8,-0.986,-0.251,0.008,-0.415,-2.602,0.219,-0.981,0.041,0.048,-5.178,-2.94,6.872
640.0,-0.956,-0.206,0.255,-0.078,1.679,3.092,-0.987,-0.25,0.007,-0.138,-2.426,0.328,-0.968,0.041,0.049,0.078,2.121,8.647
