Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-1.007,0.001,0.158,5.46,-1.54,-2.59,-1.01,0.035,0.181,0.0,-4.41,2.17,-0.968,0.234,-0.036,4.55,0.28,-2.59
20.0,-1.005,0.009,0.166,5.25,-0.35,-2.87,-1.007,0.034,0.18,0.362,-4.409,2.32,-0.968,0.231,-0.035,5.766,0.888,-2.818
40.0,-1.008,0.002,0.167,5.74,-0.7,-2.66,-1.007,0.036,0.184,0.43,-4.327,2.374,-0.978,0.24,-0.034,7.221,0.801,-3.096
60.0,-1.014,-0.001,0.166,6.074,-1.099,-2.549,-1.006,0.04,0.187,0.489,-4.217,2.243,-0.982,0.259,-0.027,6.884,0.474,-3.611
80.0,-1.012,0.008,0.17,6.039,-1.12,-2.304,-1.007,0.038,0.182,0.159,-3.79,2.24,-0.98,0.267,-0.028,5.239,0.285,-4.018
100.0,-1.007,0.015,0.165,5.919,-0.899,-1.941,-1.006,0.036,0.186,0.071,-3.848,2.172,-0.969,0.265,-0.028,2.631,0.435,-4.219
120.0,-1.004,0.014,0.168,5.536,-0.649,-1.773,-1.011,0.036,0.185,0.274,-3.791,2.306,-0.968,0.272,-0.029,0.817,0.771,-4.777
140.0,-0.999,0.007,0.17,4.73,-0.801,-1.694,-1.008,0.041,0.186,-0.052,-3.538,2.31,-0.972,0.279,-0.03,-1.112,1.718,-5.361
160.0,-0.999,-0.004,0.171,4.229,-1.345,-1.76,-1.014,0.035,0.185,-0.208,-4.036,2.189,-0.984,0.275,-0.035,-3.131,0.967,-5.283
180.0,-1.002,-0.003,0.17,4.058,-1.488,-1.82,-1.006,0.038,0.188,0.499,-3.942,2.0,-0.979,0.278,-0.038,-4.807,0.874,-4.302
200.0,-1.003,0.003,0.165,3.77,-1.15,-1.866,-1.006,0.038,0.187,0.514,-3.92,1.907,-0.982,0.273,-0.029,-7.253,0.774,-2.661
220.0,-1.006,0.002,0.165,3.042,-1.091,-1.805,-1.008,0.038,0.186,0.49,-3.748,1.838,-0.982,0.265,-0.012,-8.158,0.797,-1.086
240.0,-1.011,0.003,0.166,2.318,-1.214,-1.645,-1.003,0.043,0.188,0.167,-3.641,1.684,-0.982,0.25,-0.014,-7.621,0.389,0.141
260.0,-1.011,0.005,0.166,1.906,-0.841,-1.389,-1.009,0.042,0.19,0.012,-3.64,1.68,-0.981,0.229,-0.017,-4.861,-0.583,1.107
280.0,-1.009,0.009,0.166,1.09,-0.466,-0.979,-1.009,0.04,0.19,0.22,-3.75,1.591,-0.981,0.227,-0.012,-0.834,-1.628,1.6
300.0,-1.012,0.01,0.166,-0.202,-1.552,-0.814,-1.004,0.042,0.193,0.155,-3.321,1.421,-0.982,0.231,-0.007,1.266,-2.543,1.66
320.0,-1.013,0.005,0.168,-0.12,-3.394,-0.998,-1.005,0.042,0.193,-0.206,-3.051,1.458,-0.981,0.231,-0.009,2.041,-2.964,1.441
340.0,-0.987,0.011,0.187,1.027,-1.69,-0.482,-1.004,0.04,0.189,-0.404,-2.66,1.47,-0.978,0.231,-0.011,2.139,-3.072,0.891
360.0,-1.0,0.0,0.144,-1.129,-3.342,-0.233,-1.011,0.041,0.191,-0.42,-2.858,1.537,-0.976,0.236,-0.012,1.065,-2.949,0.3
380.0,-0.996,0.001,0.174,-2.345,-0.35,-0.519,-1.008,0.037,0.192,-0.288,-2.738,1.474,-0.974,0.242,-0.015,-0.465,-2.476,-0.254
400.0,-1.006,0.005,0.177,-2.52,-0.015,-0.762,-1.005,0.042,0.189,-0.343,-2.73,1.533,-0.976,0.244,-0.018,-1.996,-2.54,-0.668
420.0,-1.019,0.012,0.187,-2.507,-1.048,-0.365,-1.007,0.041,0.188,-0.287,-2.479,1.54,-0.976,0.243,-0.019,-3.017,-2.966,-0.819
440.0,-1.021,0.006,0.177,-2.129,-2.773,-0.022,-1.006,0.041,0.192,-0.313,-2.502,1.54,-0.973,0.234,-0.028,-2.983,-2.389,-0.653
460.0,-1.001,0.002,0.171,-1.894,-2.501,0.138,-1.005,0.041,0.193,-0.678,-2.429,1.495,-0.982,0.227,-0.039,-0.341,-3.731,-0.401
480.0,-0.999,0.0,0.174,-2.182,-1.682,-0.151,-1.007,0.043,0.193,-0.808,-2.652,1.47,-0.973,0.239,-0.039,1.89,-3.78,-0.35
500.0,-1.001,0.0,0.173,-2.375,-2.149,-0.323,-1.006,0.043,0.193,-0.698,-2.77,1.334,-0.976,0.246,-0.041,2.38,-3.64,-0.63
520.0,-0.998,0.008,0.165,-2.117,-1.578,-0.551,-1.006,0.04,0.189,-0.421,-2.576,1.357,-0.972,0.259,-0.037,1.89,-3.99,-0.56
540.0,-1.004,0.001,0.174,-3.152,-1.671,-0.297,-1.009,0.043,0.193,-0.445,-2.662,1.284,-0.968,0.262,-0.045,-0.35,-3.85,-0.28
560.0,-1.003,0.002,0.164,-3.22,-1.627,-0.402,-1.006,0.042,0.195,-0.296,-2.532,1.079,-0.963,0.26,-0.048,-1.68,-3.36,0.28
