Joint,MSE,RMSE,MAE,R2
pelvis,4.811529636383057,2.1935199193039154,1.6783137321472168,0.8137645721435547
shoulders,7.4421234130859375,2.728025552132153,2.008927583694458,0.977077841758728
trunk,9.158443450927734,3.026292030014244,2.216512441635132,0.9764443039894104
left thigh,12.003223419189453,3.4645668443817694,2.45863676071167,0.9219704866409302
right thigh,12.544870376586914,3.5418738510267294,2.503333568572998,0.9220867156982422
left hip,14.034424781799316,3.7462547673375495,2.4019856452941895,0.9967451691627502
right hip,14.079131126403809,3.7522168282768265,2.5163588523864746,0.9974675178527832
right foot,16.04692840576172,4.005861755697732,2.9194633960723877,0.970119297504425
left shank,18.227630615234375,4.269382931435686,2.692532777786255,0.8599976897239685
left foot,19.88860321044922,4.459664024391212,3.2759182453155518,0.9320470690727234
right knee,20.19141960144043,4.493486352648735,2.510355234146118,0.9967367053031921
head,20.47551918029785,4.5249883072001245,3.0635576248168945,0.9662247896194458
right shank,21.15648651123047,4.599618083192394,2.802816152572632,0.8507703542709351
left knee,22.787010192871094,4.7735741528618885,2.5517125129699707,0.9963593482971191
right arm,26.063385009765625,5.105231141659075,3.5691258907318115,0.9740524291992188
left ankle,27.314754486083984,5.226351929030802,3.6193783283233643,0.9595568776130676
left arm,27.824417114257812,5.2748855072179355,3.6960039138793945,0.9719687700271606
right ankle,28.988000869750977,5.3840506005934765,3.540271282196045,0.9653185606002808
right shoulder,30.506519317626953,5.523270708341839,3.7681353092193604,0.9927029609680176
right elbow,33.844398498535156,5.817593875352177,3.8024308681488037,0.9932675361633301
left shoulder,35.218624114990234,5.934528129092509,3.8362069129943848,0.9923602938652039
right forearm,37.18135070800781,6.097651245193334,4.110520362854004,0.9656533002853394
left elbow,38.55096435546875,6.208942289590776,4.042848587036133,0.9923432469367981
left forearm,45.89228820800781,6.774384710658807,4.4588704109191895,0.9589232206344604
