Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
2840.0,-0.131,0.336,-1.043,65.064,-112.275,-37.118,-1.0,0.128,0.067,-2.425,-5.792,13.867,-0.964,-0.015,0.227,13.889,-10.867,1.546,-1.242,-0.087,-0.16,-97.833,-25.767,7.206
2860.0,-0.184,0.329,-0.985,65.538,-117.334,-39.67,-1.009,0.128,0.07,-7.07,-4.62,13.72,-0.971,0.004,0.232,8.537,-6.312,1.704,-1.118,-0.095,-0.175,-91.388,-30.791,11.17
2880.0,-0.241,0.298,-0.976,66.036,-124.72,-42.493,-1.029,0.139,0.065,-5.74,-5.95,13.3,-0.971,-0.001,0.264,3.245,-2.865,0.449,-1.015,0.017,-0.098,-75.676,-27.942,18.828
2900.0,-0.281,0.204,-0.98,67.346,-131.822,-45.23,-0.993,0.159,0.075,-13.23,-5.11,11.62,-0.935,-0.019,0.275,0.405,1.627,-0.915,-0.983,0.016,-0.126,-75.389,-26.413,22.357
2920.0,-0.322,0.192,-0.96,67.158,-135.395,-46.443,-1.003,0.117,0.066,-14.653,-2.382,10.431,-0.948,-0.008,0.24,-1.793,7.797,-2.098,-1.071,-0.024,-0.243,-68.919,-48.568,23.759
2940.0,-0.352,0.284,-0.944,63.581,-135.213,-46.569,-0.998,0.144,0.091,-17.201,-2.782,10.62,-0.999,-0.025,0.224,-4.194,9.005,-1.585,-0.923,-0.02,-0.151,-55.828,-56.298,24.767
2960.0,-0.39,0.32,-0.942,57.895,-134.473,-42.782,-1.017,0.114,0.079,-17.034,-1.272,10.693,-0.991,-0.02,0.219,-3.415,6.466,-0.312,-0.798,-0.033,-0.076,-36.312,-56.766,26.735
2980.0,-0.448,0.211,-0.954,51.996,-137.594,-41.167,-1.022,0.063,0.095,-12.458,-0.353,12.248,-0.968,-0.009,0.21,-10.371,9.165,0.602,-0.802,-0.001,-0.107,-19.256,-46.855,27.416
3000.0,-0.463,0.178,-0.925,46.904,-140.978,-44.498,-0.988,0.08,0.092,-2.384,-0.486,13.345,-0.981,-0.015,0.213,-14.992,11.815,0.038,-0.89,0.001,-0.175,-10.903,-59.026,26.02
3020.0,-0.468,0.172,-0.807,44.242,-142.091,-51.453,-1.006,0.094,0.075,0.823,2.64,13.435,-1.015,-0.015,0.207,-14.068,10.1,1.3,-0.677,0.037,-0.075,2.671,-54.517,27.763
