Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
700.0,-0.974,0.03,0.337,0.077,2.11,-1.125,-0.998,0.146,-0.111,-0.177,-2.974,2.771,-0.968,0.214,0.206,-1.742,-2.154,-0.7
720.0,-0.971,0.036,0.339,0.682,3.053,-1.256,-0.994,0.149,-0.111,-0.083,-2.907,2.626,-0.965,0.212,0.209,-1.472,-2.081,-0.7
740.0,-0.977,0.03,0.343,0.632,1.414,-1.192,-0.996,0.154,-0.114,-0.002,-2.665,2.532,-0.964,0.214,0.21,-1.333,-1.702,-0.765
760.0,-0.971,0.033,0.326,0.768,0.427,-1.189,-0.996,0.152,-0.11,-0.21,-2.87,2.17,-0.964,0.212,0.21,-1.461,-1.93,-0.704
780.0,-0.967,0.028,0.326,0.404,1.566,-1.121,-0.993,0.153,-0.111,-0.511,-2.481,1.903,-0.962,0.21,0.213,-1.353,-2.022,-0.7
800.0,-0.973,0.031,0.331,0.14,1.906,-1.189,-0.997,0.154,-0.11,-0.7,-2.52,1.96,-0.966,0.209,0.212,-0.825,-2.134,-0.74
820.0,-0.974,0.028,0.33,0.252,2.23,-1.066,-0.996,0.153,-0.112,-0.758,-2.39,1.895,-0.966,0.207,0.211,-0.345,-2.227,-0.928
840.0,-0.972,0.026,0.335,0.757,1.86,-0.981,-0.996,0.153,-0.11,-0.838,-2.583,2.01,-0.965,0.209,0.209,-0.438,-2.214,-0.941
860.0,-0.973,0.03,0.328,0.524,1.567,-1.046,-0.998,0.147,-0.113,-0.509,-2.458,2.286,-0.963,0.213,0.209,-1.046,-2.099,-0.94
880.0,-0.975,0.031,0.328,0.395,1.441,-0.883,-0.997,0.151,-0.108,-0.49,-2.64,2.377,-0.962,0.214,0.209,-1.656,-2.052,-0.968
