epoch,train_mse,train_mae,train_rmse,train_r2,val_mse,val_mae,val_rmse,val_r2
1,0.43411813409195676,0.40060018077779125,0.6588764179206574,0.5541064906696702,0.22375192605547417,0.28320350017828805,0.47302423411012906,0.7687485426959166
2,0.15961406892339458,0.2287694053267748,0.39951729489897503,0.8347469791776768,0.14023189245514345,0.21067434983409322,0.3744754897922472,0.8547575794628242
3,0.10441620027145443,0.18244150592419273,0.3231349567463329,0.8915449435181112,0.07861432154846301,0.16174519317439523,0.2803824558499747,0.9191154170415503
4,0.06472326383159167,0.14496603136003852,0.25440767250928514,0.9330622396140041,0.055617274953590014,0.1354215767853715,0.2358331506671401,0.9427485815936791
5,0.047339162031606784,0.12436933311805967,0.21757564668778256,0.9509560361543377,0.06255013165809081,0.14294617421810643,0.25010024321877583,0.9352150122871905
6,0.03954459186569045,0.11384543194300221,0.19885822051323512,0.9591455109029632,0.030424868648997707,0.10095243264475683,0.17442725890467264,0.968540348077971
7,0.04269526792071629,0.11738833865509601,0.20662833281212015,0.9555754404263979,0.029414636336074388,0.10076011547679008,0.17150695710691852,0.9693883386226132
8,0.02473809850673841,0.09327522345216695,0.157283497248562,0.9743062073726293,0.02368980955138893,0.0893257375108829,0.15391494258644586,0.9753551490744548
9,0.03889481484648776,0.10839254831779752,0.19721768390914585,0.959587908216381,0.04946083984806895,0.12493261915408191,0.22239793130348345,0.9485865798668632
10,0.02680179063225934,0.09525083611951102,0.16371252435980377,0.9722113697414037,0.01896025640680802,0.08361670897147978,0.13769624688715382,0.9801389754629659
11,0.015761539844052246,0.07730001155269042,0.1255449714008978,0.9835332559569309,0.015206389715634957,0.07539087821964997,0.12331419105534835,0.9841215244771327
12,0.01729246680747542,0.07771720892178553,0.1315008243604405,0.9819267600642827,0.06264066101244423,0.1410918514476211,0.25028116391859023,0.9348482165387688
13,0.02913750648805577,0.09620368435114775,0.17069711915570154,0.9695380584656195,0.014856735090165475,0.0748256477218101,0.12188820734659066,0.9844866498100266
14,0.012817125472661162,0.07037545344273528,0.11321274430319743,0.9865714801205048,0.012385815853136853,0.06936492902518049,0.1112915803335403,0.9870945332206298
15,0.010786000488003879,0.06534135262209796,0.10385567142917078,0.9887441622973961,0.011644314606588248,0.06557515465529778,0.10790882543419814,0.9878279723260822
16,0.029029168385308713,0.09389868628236182,0.17037948346355763,0.9698779633613389,0.012800546806643014,0.07004692709438787,0.11313950153082263,0.9866665922540612
17,0.009839375561847788,0.06343865233673644,0.09919362661909176,0.9897342159719452,0.009306382663501572,0.06101388730393372,0.0964695945026285,0.9903249473541026
18,0.008932180855596347,0.060293064273922475,0.09451021561501353,0.9906764575627995,0.009409194296711392,0.06107502129144106,0.0970010015242698,0.9902366192385024
19,0.017707671774987166,0.07376896611889139,0.1330701761289402,0.9816720810016707,0.04063647912487721,0.11513930784911283,0.20158491790031616,0.9578526342880037
20,0.01385066555610025,0.06957504015836223,0.11768885060234147,0.9856498733874967,0.008866743148283297,0.05938328787071194,0.09416338539094321,0.9907729774770525
