Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
41120.0,-0.718,-0.319,-0.334,0.936,15.798,-28.051,-0.999,-0.051,0.032,-10.361,6.94,-3.694,-1.004,0.165,0.045,8.434,-0.035,-0.351,-0.92,-0.342,-0.025,-24.78,-6.585,-10.369,-0.764,-0.053,-0.217,-3.919,5.277,-8.031
41140.0,-0.711,-0.335,-0.35,-2.829,18.493,-33.36,-0.993,-0.084,0.041,-9.45,9.835,-2.683,-0.961,0.191,0.039,10.22,2.24,-0.49,-0.936,-0.33,-0.044,-28.442,-8.296,-13.175,-0.794,-0.05,-0.21,-6.852,2.428,-10.094
41160.0,-0.717,-0.33,-0.356,-3.136,19.438,-37.091,-1.005,-0.102,0.043,-3.194,12.622,1.06,-0.981,0.17,0.062,9.254,4.262,-1.61,-0.94,-0.35,-0.053,-30.242,-11.066,-16.748,-0.772,-0.048,-0.204,-9.73,-0.7,-13.02
41180.0,-0.702,-0.314,-0.345,-1.602,23.182,-40.253,-0.992,-0.101,0.014,-4.167,17.176,0.0,-0.977,0.164,0.042,12.109,7.953,-1.492,-0.92,-0.363,-0.05,-28.847,-12.197,-18.538,-0.721,-0.047,-0.211,-16.106,-2.303,-15.753
41200.0,-0.675,-0.32,-0.339,-1.865,27.82,-44.316,-0.985,-0.083,-0.006,-5.653,20.064,-0.816,-0.987,0.181,0.041,11.858,9.679,-1.402,-0.89,-0.367,-0.04,-26.208,-12.354,-20.19,-0.698,-0.056,-0.203,-20.717,-0.61,-18.678
41220.0,-0.642,-0.332,-0.38,-3.466,34.061,-49.824,-1.019,-0.026,-0.001,-7.584,18.83,0.295,-0.997,0.199,0.04,9.129,10.683,-1.971,-0.841,-0.395,-0.025,-24.664,-9.805,-23.738,-0.698,-0.099,-0.182,-19.528,1.45,-20.713
41240.0,-0.619,-0.334,-0.409,-5.355,41.737,-55.298,-1.035,-0.023,-0.011,-12.558,17.905,0.084,-0.992,0.187,0.016,7.102,12.593,-2.492,-0.842,-0.407,-0.021,-23.04,-5.417,-27.739,-0.731,-0.098,-0.17,-11.736,4.299,-19.351
41260.0,-0.598,-0.342,-0.416,-8.571,48.627,-60.274,-1.027,-0.069,-0.024,-11.283,16.722,-0.032,-0.97,0.167,-0.003,7.062,12.74,-2.485,-0.858,-0.382,-0.025,-23.998,-3.951,-34.486,-0.787,-0.065,-0.2,-10.943,6.981,-18.446
41280.0,-0.601,-0.357,-0.406,-10.578,52.455,-65.83,-1.034,-0.064,-0.02,-9.94,13.629,1.743,-0.994,0.167,0.001,9.521,14.237,-2.305,-0.866,-0.356,-0.026,-30.103,-6.085,-42.883,-0.818,-0.072,-0.263,-15.304,2.41,-17.916
41300.0,-0.611,-0.378,-0.405,-10.826,55.342,-70.275,-1.078,-0.118,-0.028,-6.812,7.067,5.966,-1.008,0.196,0.005,10.426,13.405,-2.24,-0.849,-0.377,-0.036,-38.485,-8.189,-50.524,-0.786,-0.08,-0.232,-15.948,-1.88,-17.05
