Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-0.968,0.025,0.356,-2.38,8.33,-1.33,-0.997,0.149,-0.118,0.28,-3.36,0.21,-1.006,-0.089,0.021,0.84,-3.01,-3.22,-0.965,0.226,0.213,0.0,-3.64,0.28,-0.995,-0.259,0.054,9.24,-9.52,-10.71
20.0,-0.974,0.028,0.358,-0.49,6.65,-1.47,-0.996,0.146,-0.119,0.42,-3.569,0.141,-1.005,-0.088,0.02,1.19,-2.94,-3.15,-0.966,0.221,0.207,0.14,-4.18,0.678,-0.986,-0.26,0.061,9.217,-9.796,-9.817
40.0,-0.969,0.038,0.353,1.12,4.62,-1.26,-0.996,0.148,-0.119,0.305,-3.369,0.264,-1.005,-0.08,0.023,-0.627,-3.29,-3.08,-0.966,0.214,0.2,0.996,-3.888,0.7,-0.975,-0.248,0.061,7.748,-9.569,-9.371
60.0,-0.971,0.03,0.347,1.023,2.097,-0.937,-0.995,0.147,-0.119,0.041,-3.36,0.34,-1.004,-0.098,0.027,0.112,-3.225,-3.08,-0.97,0.221,0.2,1.248,-3.608,0.392,-0.971,-0.253,0.061,5.832,-9.346,-7.689
80.0,-0.972,0.027,0.353,0.688,0.187,-0.969,-0.995,0.146,-0.117,-0.206,-3.021,0.409,-1.001,-0.095,0.024,0.994,-3.283,-2.967,-0.967,0.221,0.197,0.388,-3.517,0.415,-0.971,-0.263,0.06,4.468,-8.512,-5.279
100.0,-0.968,0.032,0.348,0.005,-1.464,-0.921,-0.899,0.142,-0.12,0.13,-3.293,0.711,-1.001,-0.087,0.028,0.994,-3.29,-2.871,-0.961,0.219,0.194,0.079,-2.609,0.42,-0.966,-0.264,0.062,3.207,-7.151,-3.035
120.0,-0.967,0.032,0.343,0.227,-1.61,-0.91,-0.96,0.143,-0.117,0.009,-3.159,0.77,-1.009,-0.088,0.025,-0.625,-3.29,-2.993,-0.966,0.217,0.199,0.2,-2.574,0.366,-0.962,-0.264,0.059,2.17,-5.25,-1.4
140.0,-0.964,0.037,0.35,1.139,-1.304,-1.01,-0.999,0.148,-0.12,0.184,-3.334,0.834,-1.007,-0.098,0.027,-0.116,-3.29,-2.741,-0.964,0.218,0.21,0.432,-2.339,0.35,-0.971,-0.268,0.061,1.74,-3.463,-0.302
160.0,-0.973,0.031,0.348,1.443,-3.127,-1.274,-0.996,0.147,-0.118,-0.108,-2.953,0.443,-1.002,-0.1,0.026,0.608,-3.008,-2.277,-0.963,0.216,0.212,0.525,-2.742,0.225,-0.974,-0.271,0.06,0.982,-2.583,0.179
180.0,-0.97,0.031,0.34,1.441,-3.553,-1.33,-0.996,0.148,-0.116,-0.347,-3.008,0.351,-1.004,-0.086,0.026,0.537,-2.846,-2.341,-0.961,0.214,0.211,0.966,-3.08,0.173,-0.979,-0.274,0.058,-0.62,-1.419,0.026
