Joint,MSE,RMSE,MAE,R2
pelvis,4.308988571166992,2.0758103408469166,1.6353205442428589,0.8332160115242004
shoulders,7.566253185272217,2.7506823126766595,1.9873180389404297,0.9766954779624939
trunk,8.186539649963379,2.8612129682991756,2.094890832901001,0.9789440631866455
left thigh,10.12120532989502,3.181384184579885,2.278242826461792,0.9342049360275269
right thigh,10.883298873901367,3.2989845216219744,2.3733952045440674,0.9324063062667847
left hip,13.933550834655762,3.7327671819517168,2.45035457611084,0.9967685341835022
right hip,14.282271385192871,3.7791892497191606,2.5443503856658936,0.9974309802055359
right foot,15.935686111450195,3.991952668989225,2.8794262409210205,0.9703264236450195
left shank,16.376564025878906,4.04679676112835,2.595817804336548,0.874215304851532
left knee,17.189315795898438,4.145999975385726,2.360926866531372,0.9972536563873291
left foot,18.295114517211914,4.277278868300723,3.0337016582489014,0.9374915361404419
right knee,18.802017211914062,4.336129289114205,2.458113670349121,0.996961236000061
right shank,21.39892578125,4.625897294714832,2.7220094203948975,0.8490602970123291
head,21.412052154541016,4.627315869328678,3.068495750427246,0.9646798968315125
right arm,23.865205764770508,4.885202735278292,3.4621877670288086,0.9762408137321472
right shoulder,24.934410095214844,4.993436701833201,3.4417836666107178,0.9940357804298401
left ankle,25.099199295043945,5.009910108479387,3.468719959259033,0.9628373384475708
left arm,27.88033676147461,5.280183402257407,3.6422364711761475,0.9719124436378479
right ankle,28.285385131835938,5.318400617839534,3.4884955883026123,0.9661591649055481
left shoulder,31.251089096069336,5.590267354614566,3.7840452194213867,0.9932209253311157
right elbow,31.750051498413086,5.634718404535677,3.7993831634521484,0.9936841726303101
left elbow,33.70149230957031,5.805298640859944,3.771554946899414,0.9933063983917236
right forearm,36.871612548828125,6.072199976024186,4.070333957672119,0.9659394025802612
left forearm,40.000267028808594,6.324576430782428,4.201200008392334,0.9641969799995422
