Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-0.978,0.001,0.294,0.07,-0.42,-0.42,-0.996,0.215,-0.003,-0.28,-2.1,0.84,-0.863,-0.03,0.531,2.24,-1.4,-2.59
20.0,-0.984,-0.002,0.302,0.513,-0.652,-0.284,-0.999,0.219,-0.003,-0.484,-2.056,0.85,-0.856,-0.031,0.536,2.31,-0.997,-2.59
40.0,-0.982,-0.002,0.298,0.683,-0.881,-0.361,-0.995,0.213,-0.004,-0.35,-2.38,0.98,-0.86,-0.023,0.538,1.269,-0.701,-2.656
60.0,-0.984,-0.0,0.299,0.369,-1.252,-0.589,-0.998,0.214,-0.002,-0.07,-2.31,0.98,-0.872,-0.009,0.553,-1.26,-0.98,-2.73
80.0,-0.989,0.003,0.295,0.385,-2.025,-0.859,-0.992,0.216,-0.0,-0.219,-2.24,0.84,-0.869,-0.02,0.552,-2.45,-1.26,-2.31
100.0,-0.984,-0.001,0.294,0.832,-2.207,-0.875,-0.996,0.217,-0.002,-0.417,-2.241,0.914,-0.866,-0.032,0.56,-1.249,-2.542,-2.038
120.0,-0.98,-0.007,0.298,0.91,-2.057,-0.751,-0.996,0.212,-0.005,-0.07,-2.31,0.992,-0.86,-0.017,0.562,-2.912,-3.582,-2.093
140.0,-0.979,-0.008,0.296,0.674,-1.576,-0.604,-0.997,0.216,-0.001,-0.075,-2.329,1.05,-0.857,-0.008,0.563,-6.468,-4.608,-1.642
160.0,-0.981,-0.007,0.291,0.585,-0.943,-0.624,-0.997,0.217,-0.003,-0.13,-2.59,1.053,-0.851,-0.007,0.562,-9.163,-5.84,-0.583
180.0,-0.983,-0.006,0.292,0.963,-0.503,-0.631,-0.995,0.214,-0.001,-0.001,-2.59,1.117,-0.851,-0.032,0.547,-7.014,-6.283,0.304
200.0,-0.978,-0.003,0.295,0.939,-0.052,-0.512,-0.997,0.216,-0.003,0.0,-2.73,1.19,-0.844,-0.054,0.547,-1.955,-5.837,0.749
220.0,-0.979,-0.001,0.298,0.609,0.148,-0.442,-0.996,0.214,-0.004,0.07,-2.8,1.26,-0.85,-0.041,0.549,1.447,-5.542,0.456
240.0,-0.978,0.0,0.301,0.543,0.313,-0.516,-0.992,0.214,-0.004,0.07,-2.8,1.26,-0.854,-0.019,0.546,0.387,-5.704,0.42
260.0,-0.981,-0.001,0.3,0.836,0.596,-0.711,-0.997,0.214,-0.003,0.321,-3.051,1.197,-0.855,-0.021,0.541,-1.107,-5.937,0.764
280.0,-0.986,-0.002,0.3,0.98,0.622,-0.799,-0.996,0.219,-0.001,0.282,-2.821,1.278,-0.861,-0.032,0.541,-0.95,-5.189,1.015
