Joint,MSE,RMSE,MAE,R2
pelvis,4.506200790405273,2.1227813807373743,1.6709182262420654,0.8255826830863953
shoulders,7.892345905303955,2.809331932204515,2.031644105911255,0.9756910800933838
trunk,8.368605613708496,2.8928542330557367,2.1180524826049805,0.9784757494926453
right thigh,10.73290729522705,3.2761116121443496,2.3385605812072754,0.9333403706550598
left thigh,12.566628456115723,3.5449440695327934,2.516622543334961,0.9183079600334167
right hip,16.264326095581055,4.032905416146162,2.6594531536102295,0.9970744848251343
left hip,18.1368465423584,4.258737670056515,2.727595567703247,0.9957937002182007
left foot,19.7462100982666,4.443670790941494,3.2264068126678467,0.9325336217880249
right foot,19.891477584838867,4.459986276306113,3.2087879180908203,0.962960422039032
left shank,20.252819061279297,4.500313218130411,2.9424774646759033,0.8444426655769348
head,22.317535400390625,4.724143880153379,3.164891242980957,0.9631862640380859
right shank,22.319129943847656,4.724312642474845,2.8839147090911865,0.8425695300102234
right knee,23.9410343170166,4.892957624690469,2.7667973041534424,0.9961307048797607
left knee,26.555910110473633,5.153242679175282,2.5955913066864014,0.9957571625709534
left ankle,30.69865608215332,5.540636793921193,3.8451414108276367,0.9545465707778931
right ankle,36.80225372314453,6.066486110026506,4.097287178039551,0.9559695720672607
right shoulder,39.26801681518555,6.266419776490045,4.203245162963867,0.9906072616577148
right arm,54.004337310791016,7.348764339043062,4.324901580810547,0.9462356567382812
right elbow,58.95676803588867,7.678331071000303,4.5991082191467285,0.9882721304893494
left shoulder,61.59905242919922,7.8485063820576215,4.7385430335998535,0.9866377711296082
right forearm,62.657875061035156,7.915672748480394,5.292734622955322,0.9421190619468689
left arm,64.49256134033203,8.030726078028813,4.774418354034424,0.9350281357765198
left forearm,65.4452133178711,8.089821587517928,5.338748455047607,0.9414220452308655
left elbow,123.1962890625,11.099382373019681,5.2675628662109375,0.9755315184593201
