Joint,MSE,RMSE,MAE,R2
pelvis,4.449047088623047,2.109276437222738,1.6398485898971558,0.8281866312026978
trunk,7.897974967956543,2.810333604388729,2.0533411502838135,0.9797012805938721
shoulders,8.025936126708984,2.8330083174443708,2.0270731449127197,0.9751338362693787
left thigh,9.698114395141602,3.114179570150315,2.2515950202941895,0.9366350173950195
right thigh,10.861699104309082,3.2957091959560207,2.3441731929779053,0.933021068572998
right hip,16.138402938842773,4.01726311546092,2.6021320819854736,0.9971266984939575
left hip,16.981369018554688,4.120845667888411,2.693432569503784,0.9961162209510803
left foot,18.516508102416992,4.303081233536847,3.1153769493103027,0.9371834993362427
head,18.868572235107422,4.343796983643161,2.987072229385376,0.9687767624855042
right foot,19.033512115478516,4.362741353263853,3.0545120239257812,0.9636290669441223
left shank,20.524797439575195,4.530430160544934,2.8021318912506104,0.8494778871536255
right shank,23.68366050720215,4.866586124502693,2.945826530456543,0.8379640579223633
left knee,27.99802017211914,5.291315542671703,2.4553933143615723,0.9955108761787415
right arm,31.05788230895996,5.572959923502049,3.8766369819641113,0.9694638848304749
right knee,35.978363037109375,5.9981966487528044,2.8755686283111572,0.9942200779914856
left ankle,38.015445709228516,6.165666688139128,4.37367057800293,0.9432337880134583
left arm,38.89120101928711,6.236281024720351,4.066158771514893,0.9609312415122986
right shoulder,41.75943374633789,6.4621539556356815,4.111531734466553,0.9900539517402649
right ankle,44.330772399902344,6.65813580515615,4.530468940734863,0.9469263553619385
right elbow,46.21330261230469,6.798036673356852,4.194672584533691,0.9907864928245544
right forearm,54.23081970214844,7.3641577727631855,4.733257293701172,0.9500352740287781
left shoulder,55.768741607666016,7.467847186951941,4.6775712966918945,0.9878514409065247
left elbow,61.508445739746094,7.842732032891733,4.5589985847473145,0.987812340259552
left forearm,64.4085922241211,8.025496384904867,5.031591892242432,0.9423688650131226
