Joint,MSE,RMSE,MAE,R2
pelvis,5.271667003631592,2.2960111070357634,1.7562742233276367,0.7959544658660889
shoulders,10.093697547912598,3.177058001974877,2.282381057739258,0.968910813331604
trunk,11.26960277557373,3.3570229036415182,2.454519033432007,0.9710143208503723
right thigh,15.07757568359375,3.882985408624883,2.7183480262756348,0.9063566327095032
left thigh,16.81786346435547,4.100958846947317,2.888366460800171,0.8906719088554382
left hip,20.375041961669922,4.513872169398456,2.9039108753204346,0.9952746629714966
right hip,20.47769546508789,4.525228774889496,2.911109685897827,0.9963165521621704
left knee,23.442092895507812,4.84170351173095,2.765777826309204,0.9962546825408936
left foot,26.847244262695312,5.181432645774266,3.74349045753479,0.9082716703414917
left shank,27.784194946289062,5.2710715178499585,3.329237222671509,0.78659588098526
head,28.611597061157227,5.3489809366978704,3.784937858581543,0.9528039693832397
right foot,29.015958786010742,5.386646339422215,3.874972343444824,0.9459698796272278
right knee,33.19487380981445,5.7614992675357035,3.1162614822387695,0.9946351051330566
right shank,37.22203063964844,6.100986038309581,3.7075891494750977,0.7374502420425415
left ankle,39.945899963378906,6.320276889771437,4.314268589019775,0.9408547878265381
right arm,44.08650207519531,6.639766718431854,4.618939399719238,0.9561094045639038
right shoulder,45.37240982055664,6.735904528759047,4.599471569061279,0.9891471266746521
right elbow,48.98590850830078,6.998993392503009,4.553725719451904,0.9902555346488953
right ankle,49.73849105834961,7.0525520954013246,4.582725524902344,0.940492570400238
left arm,56.117061614990234,7.49113219847242,5.016359806060791,0.9434658885002136
right forearm,65.17964172363281,8.07339096808973,5.394132614135742,0.9397895336151123
left elbow,69.14742279052734,8.3154929373145,5.176637649536133,0.9862663745880127
left forearm,76.52789306640625,8.748022237420653,5.7110795974731445,0.9315022826194763
left shoulder,103.84097290039062,10.190239099274885,5.135092735290527,0.977474570274353
