Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743902974.585709,0.064,0.014,1.032,0.280,-2.590,-0.700
1743902974.605709,0.065,0.015,1.030,0.350,-2.450,-0.700
1743902974.625709,0.063,0.015,1.034,0.420,-2.450,-0.840
1743902974.645709,0.064,0.016,1.036,0.350,-2.450,-0.770
1743902974.665709,0.067,0.016,1.031,0.350,-2.380,-0.840
1743902974.685709,0.066,0.014,1.032,0.350,-2.380,-0.700
1743902974.615035,0.066,0.015,1.034,0.350,-2.380,-0.700
1743902974.635035,0.066,0.015,1.036,0.420,-2.520,-0.700
1743902974.655035,0.062,0.019,1.036,0.350,-2.310,-0.770
1743902974.675035,0.063,0.016,1.031,0.350,-2.310,-0.770
1743902974.695035,0.061,0.016,1.031,0.490,-2.450,-0.770
1743902974.715035,0.065,0.015,1.038,0.420,-2.380,-0.630
1743902974.67492,0.064,0.017,1.036,0.350,-2.450,-0.700
1743902974.69492,0.064,0.016,1.031,0.350,-2.450,-0.770
1743902974.71492,0.065,0.017,1.033,0.420,-2.310,-0.700
1743902974.73492,0.065,0.017,1.037,0.210,-2.240,-0.770
1743902974.75492,0.065,0.019,1.036,0.350,-2.450,-0.770
1743902974.77492,0.064,0.014,1.029,0.350,-2.450,-0.770
1743902974.704298,0.065,0.015,1.034,0.280,-2.310,-0.700
1743902974.724298,0.064,0.016,1.038,0.280,-2.450,-0.700
1743902974.744298,0.064,0.017,1.031,0.350,-2.310,-0.770
1743902974.764298,0.063,0.015,1.028,0.350,-2.380,-0.770
1743902974.784298,0.064,0.018,1.034,0.350,-2.380,-0.630
1743902974.804298,0.063,0.017,1.036,0.420,-2.380,-0.700
1743902974.779648,0.064,0.017,1.036,0.280,-2.520,-0.700
1743902974.799648,0.064,0.015,1.029,0.420,-2.450,-0.700
1743902974.819648,0.063,0.016,1.033,0.490,-2.450,-0.700
1743902974.839648,0.062,0.015,1.037,0.350,-2.520,-0.700
1743902974.859648,0.064,0.017,1.032,0.350,-2.310,-0.700
1743902974.879648,0.063,0.015,1.029,0.420,-2.450,-0.700
1743902974.7832181,0.063,0.015,1.029,0.280,-2.310,-0.770
1743902974.8032181,0.065,0.016,1.035,0.350,-2.450,-0.700
1743902974.823218,0.064,0.017,1.037,0.210,-2.520,-0.630
1743902974.843218,0.062,0.016,1.032,0.420,-2.380,-0.700
1743902974.863218,0.061,0.015,1.033,0.350,-2.380,-0.770
1743902974.883218,0.063,0.016,1.037,0.210,-2.520,-0.700
1743902974.82511,0.066,0.017,1.034,0.280,-2.450,-0.700
1743902974.84511,0.064,0.017,1.032,0.280,-2.380,-0.770
1743902974.86511,0.063,0.015,1.035,0.350,-2.380,-0.770
