Joint,MSE,RMSE,MAE,R2
pelvis,5.2167558670043945,2.284021862199308,1.7699213027954102,0.7980798482894897
trunk,10.376273155212402,3.221222307636094,2.287761688232422,0.9733120203018188
shoulders,11.2617826461792,3.3558579597741023,2.3720388412475586,0.9653130173683167
left thigh,12.765477180480957,3.5728807957278614,2.6520233154296875,0.9170153141021729
right thigh,13.0162992477417,3.60781086640385,2.575401782989502,0.9191587567329407
left shank,17.861099243164062,4.226239373623324,2.759765863418579,0.8628129363059998
left knee,21.640295028686523,4.651913050422,2.4486422538757324,0.9965425729751587
right foot,22.15061378479004,4.706443857605234,3.414456844329834,0.958753764629364
left foot,22.43716049194336,4.736787993138743,3.3596887588500977,0.9233394861221313
right shank,23.5488224029541,4.852712891049099,3.1108193397521973,0.833895742893219
right knee,24.457693099975586,4.9454719794955455,2.7864339351654053,0.9960471987724304
head,26.399274826049805,5.138022462587119,3.438732624053955,0.956453263759613
right hip,31.924793243408203,5.650202938249936,3.034492254257202,0.9942575097084045
left ankle,32.07563018798828,5.6635351316989535,3.868473529815674,0.9525077939033508
right ankle,36.5207405090332,6.043239239764814,4.054544448852539,0.9563063383102417
right arm,37.730960845947266,6.1425532839322825,4.326961517333984,0.9624366760253906
left arm,42.388240814208984,6.510625224524062,4.423494815826416,0.9572967290878296
left elbow,50.19906997680664,7.085130201824568,4.514887809753418,0.9900297522544861
right forearm,50.498321533203125,7.10621710428292,4.859228134155273,0.9533515572547913
right shoulder,55.486000061035156,7.448892539232604,4.402048587799072,0.9867279529571533
right elbow,56.76985549926758,7.53457732718084,4.406427383422852,0.9887071251869202
left shoulder,59.823211669921875,7.734546636353153,4.703258037567139,0.9870229959487915
left hip,61.267730712890625,7.827370612976661,3.6764183044433594,0.9857908487319946
left forearm,64.408203125,8.025472143431811,5.365146636962891,0.9423502087593079
