Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
0.0,-0.956,-0.023,-0.184,-4.69,-4.2,-3.08,-1.003,0.127,0.131,-4.62,2.66,-7.7,-0.993,0.029,-0.084,3.15,-3.64,-6.51,-0.957,0.367,-0.022,7.77,-16.31,13.02
20.0,-0.978,-0.036,-0.16,-3.56,-5.043,-4.114,-1.013,0.134,0.134,-4.48,1.4,-6.79,-0.992,0.008,-0.092,3.48,-3.64,-5.919,-0.965,0.383,-0.023,1.897,-18.095,14.09
40.0,-0.989,-0.043,-0.146,-1.335,-7.577,-5.129,-1.017,0.131,0.131,-4.086,0.018,-5.498,-1.0,-0.003,-0.093,3.636,-4.5,-5.609,-0.972,0.38,-0.031,-3.665,-18.512,15.037
60.0,-0.987,-0.03,-0.168,-0.4,-7.767,-5.345,-1.01,0.141,0.119,-4.514,-1.574,-4.386,-1.007,0.028,-0.085,2.275,-4.375,-5.6,-0.997,0.366,-0.049,-7.912,-19.849,16.48
80.0,-0.994,-0.022,-0.202,0.324,-4.771,-5.936,-1.01,0.136,0.128,-4.69,-3.5,-3.08,-1.018,0.027,-0.087,0.596,-4.599,-5.185,-1.012,0.346,-0.07,-8.118,-21.756,18.39
100.0,-0.999,0.002,-0.198,2.08,0.163,-5.95,-1.005,0.123,0.139,-4.69,-3.85,-2.1,-1.019,0.03,-0.084,-0.895,-4.389,-5.307,-1.011,0.331,-0.085,-6.65,-22.82,20.37
120.0,-1.003,0.013,-0.181,3.171,2.744,-5.346,-1.009,0.116,0.146,-3.955,-4.088,-1.434,-1.004,0.021,-0.077,-2.531,-3.744,-4.768,-1.002,0.324,-0.094,-3.814,-24.213,22.396
140.0,-1.014,0.018,-0.167,3.335,3.136,-3.777,-1.006,0.117,0.143,-1.927,-4.478,-0.654,-1.007,-0.018,-0.081,-2.8,-3.848,-4.801,-0.989,0.325,-0.091,-2.012,-24.175,23.71
160.0,-1.037,0.008,-0.151,3.861,2.799,-2.731,-1.002,0.135,0.141,-1.557,-4.356,-0.351,-1.008,-0.014,-0.097,0.293,-4.816,-4.318,-0.964,0.327,-0.089,-1.93,-23.706,23.498
180.0,-1.035,-0.007,-0.151,3.66,0.339,-3.059,-1.004,0.137,0.14,-1.599,-4.445,0.002,-0.995,0.002,-0.094,3.182,-6.431,-3.814,-0.945,0.334,-0.085,-3.332,-21.726,21.88
200.0,-1.0,-0.015,-0.19,1.491,-1.124,-4.343,-1.106,0.136,0.14,-1.567,-4.543,0.171,-0.998,-0.002,-0.095,4.615,-7.129,-3.98,-0.92,0.347,-0.066,-7.445,-19.374,19.433
220.0,-0.997,-0.018,-0.237,1.021,4.551,-6.718,-1.019,0.135,0.146,-1.353,-4.418,0.424,-1.01,-0.002,-0.095,5.54,-8.107,-4.58,-0.907,0.352,-0.051,-11.905,-15.47,15.719
240.0,-1.039,-0.004,-0.228,0.531,11.981,-7.438,-1.001,0.127,0.156,-0.748,-3.732,0.605,-1.017,0.021,-0.092,5.874,-10.009,-5.318,-0.91,0.353,-0.035,-18.69,-12.107,11.195
260.0,-1.067,-0.014,-0.125,-0.346,9.792,-7.288,-1.009,0.123,0.147,-0.385,-3.78,1.052,-1.011,0.04,-0.093,4.423,-11.408,-6.35,-0.916,0.344,-0.031,-25.366,-10.508,7.116
280.0,-1.004,-0.026,-0.093,1.217,0.997,-7.599,-1.01,0.117,0.139,0.587,-4.897,2.101,-1.01,0.03,-0.086,2.302,-13.126,-7.615,-0.931,0.328,-0.04,-26.226,-10.837,4.225
300.0,-0.98,-0.016,-0.104,3.545,-5.82,-5.366,-1.001,0.128,0.138,1.226,-5.884,2.88,-1.014,-0.005,-0.075,2.319,-14.407,-8.168,-0.95,0.313,-0.054,-25.229,-12.983,3.348
