Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1743385785.794585,0.008,-0.326,0.981,-0.77,-3.71,-2.94
1743385785.855509,0.005,-0.344,0.976,-2.1,-3.5,-3.92
1743385785.914258,0.011,-0.347,0.976,-2.24,-3.36,-3.64
1743385785.960433,0.005,-0.358,0.973,-1.54,-3.22,-2.8
1743385786.0204868,0.011,-0.354,0.97,-0.56,-3.29,-1.19
1743385786.079633,0.013,-0.358,0.967,3.43,-3.78,-1.12
1743385786.14001,0.015,-0.348,0.98,0.07,-3.99,-1.12
1743385786.1998668,0.014,-0.358,0.985,1.26,-3.15,-1.82
1743385786.26004,0.017,-0.352,0.982,1.19,-1.82,-0.7
1743385786.305567,0.011,-0.354,0.978,0.56,-1.54,-0.91
1743385786.36561,0.014,-0.344,0.968,0.77,-1.96,-0.91
1743385786.440015,0.018,-0.357,0.967,1.47,-2.94,-1.26
1743385786.471903,0.017,-0.359,0.969,0.49,-3.15,-0.77
1743385786.515,0.017,-0.353,0.969,2.1,-3.71,-0.07
1743385786.575372,0.018,-0.354,0.978,1.54,-3.57,0.7
1743385786.607556,0.015,-0.349,0.984,1.96,-2.94,1.54
1743385786.6485271,0.02,-0.342,0.983,2.59,-2.52,0.7
1743385786.70946,0.023,-0.333,0.988,1.89,-1.96,0.98
1743385786.7693288,0.022,-0.343,0.967,1.75,-0.91,0.98
1743385786.844373,0.019,-0.337,0.957,1.12,-0.98,1.82
1743385786.9072928,0.01,-0.336,0.931,0.7,-3.36,2.52
1743385786.908401,0.019,-0.321,0.927,-2.31,-5.18,0.77
1743385786.90892,0.017,-0.318,0.897,-1.61,-9.8,-0.63
1743385786.91007,0.034,-0.317,0.901,-0.84,-15.54,-2.73
1743385786.9634829,0.045,-0.327,0.966,-2.52,-19.18,-6.51
1743385787.0388548,0.055,-0.348,0.993,-1.96,-19.11,-8.89
1743385787.098814,0.07,-0.366,0.998,-0.35,-17.5,-8.54
1743385787.158966,0.082,-0.382,0.995,1.33,-16.31,-6.51
1743385787.2038631,0.09,-0.376,0.956,4.41,-14.49,-2.45
1743385787.248103,0.085,-0.386,0.844,8.54,-15.12,3.43
1743385787.309216,0.131,-0.394,0.354,-1.12,-30.66,33.81
1743385787.370255,0.315,-0.407,0.138,-15.4,-72.87,74.27
1743385787.429257,0.62,-0.371,0.381,-39.48,-105.35,91.28
1743385787.4611452,0.618,-0.383,0.527,-50.82,-116.76,77.07
1743385787.533778,0.536,-0.341,0.783,-28.35,-161.56,14.77
1743385787.594927,0.929,-0.389,1.022,-50.61,-185.36,-80.71
1743385787.655191,0.955,-0.646,0.994,-60.27,-174.37,-106.05
1743385787.7145112,1.046,-0.657,0.872,-17.15,-166.46,-99.75
1743385787.773472,1.283,-0.583,0.752,31.64,-142.87,-61.81
1743385787.819581,1.068,-0.44,0.758,52.99,-111.86,-0.63
1743385787.879211,0.909,-0.392,0.75,-3.78,-59.15,9.66
1743385787.9228008,0.933,-0.395,0.631,26.04,-40.04,4.62
1743385787.955617,1.017,-0.508,0.408,124.67,-28.77,21.07
1743385787.998463,0.933,-0.333,0.096,-89.46,37.03,38.92
1743385788.045774,0.847,-0.343,-0.025,-53.13,20.79,29.12
1743385788.0901089,0.889,-0.401,0.041,-20.09,0.91,17.71
1743385788.14901,0.874,-0.386,0.046,-11.69,-7.63,11.69
1743385788.194151,0.878,-0.452,0.125,5.32,-20.23,7.28
1743385788.238246,0.938,-0.395,0.267,49.42,-27.51,7.56
1743385788.283532,0.941,-0.397,0.376,28.56,-19.53,9.87
1743385788.343956,0.874,-0.374,0.306,57.96,-19.6,0.56
1743385788.40363,0.898,-0.386,0.183,20.86,-8.75,-2.31
1743385788.4484942,0.894,-0.446,0.183,8.96,-12.95,-4.83
1743385788.5098948,0.89,-0.511,0.211,7.21,-8.61,1.26
1743385788.569817,0.885,-0.366,0.256,16.38,-10.43,-1.12
1743385788.614524,0.916,-0.436,0.194,8.33,-8.12,-1.82
1743385788.661667,0.888,-0.411,0.183,-1.75,-5.67,-0.7
1743385788.7049558,0.915,-0.396,0.211,4.55,-5.81,-0.56
1743385788.764997,0.892,-0.444,0.218,-0.14,-4.13,-0.21
1743385788.825929,0.89,-0.439,0.232,3.15,-2.73,-3.15
1743385788.9153311,0.871,-0.46,0.237,6.79,-2.45,-3.29
1743385788.959457,0.892,-0.458,0.234,17.36,-0.77,-6.09
1743385788.9905128,0.891,-0.481,0.276,35.56,-1.68,-8.19
1743385789.048682,0.821,-0.382,0.479,27.51,16.03,-17.99
1743385789.094829,1.103,-0.422,0.514,26.74,46.97,-7.14
1743385789.140386,0.958,-0.401,0.537,0.7,69.65,21.35
1743385789.214756,0.955,-0.4,0.562,14.91,72.59,25.27
1743385789.25949,0.874,-0.393,0.726,49.42,68.74,9.66
1743385789.304044,0.995,-0.272,0.873,39.2,88.2,-3.01
1743385789.350706,0.932,-0.074,1.18,24.71,111.93,-7.98
1743385789.410293,1.08,-0.285,1.017,-29.05,163.17,-34.16
1743385789.470253,1.08,-0.339,1.006,-40.53,170.94,-30.38
1743385789.558772,0.892,-0.561,0.861,-49.42,177.31,-8.54
1743385789.633739,0.731,-0.547,0.827,-37.52,173.95,17.71
1743385789.710117,0.558,-0.49,0.834,-12.6,173.46,39.97
1743385789.739087,0.332,-0.535,0.768,-20.3,162.61,40.11
1743385789.783541,0.087,-0.523,0.713,-22.68,142.66,45.08
1743385789.845363,-0.171,-0.447,0.529,-69.51,134.54,60.06
1743385789.8888052,-0.355,-0.485,0.413,-42.91,111.86,73.01
1743385789.982347,-0.476,-0.389,0.356,-34.02,99.05,75.53
1743385789.982923,-0.622,-0.33,0.312,-19.25,70.14,66.43
1743385789.983187,-0.779,-0.296,0.31,-38.29,48.65,50.68
1743385789.9835289,-0.758,-0.341,0.306,-41.44,36.33,42.84
1743385789.983766,-0.732,-0.222,0.338,-14.91,23.24,47.74
1743385790.0694458,-0.777,-0.208,0.355,-7.28,24.22,50.05
1743385790.145399,-0.782,-0.102,0.336,-0.42,24.85,48.02
1743385790.205975,-0.814,-0.045,0.296,-3.08,22.89,40.88
1743385790.279983,-0.873,-0.094,0.295,7.35,14.63,28.14
