Millis,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
0.0,-0.993,0.104,0.226,-1.61,1.89,2.94,-1.001,0.112,0.002,1.61,3.15,-1.89,-0.989,0.017,0.219,10.22,-3.71,14.42,-0.929,-0.409,0.102,3.29,-18.69,-26.67
20.0,-0.987,0.1,0.236,-1.828,3.066,2.062,-1.004,0.119,0.001,2.16,2.791,-2.096,-0.993,0.02,0.224,12.519,-4.267,14.556,-0.965,-0.383,0.106,19.256,-13.67,-26.135
40.0,-0.993,0.098,0.217,-1.954,4.15,1.385,-1.002,0.122,0.001,1.836,2.291,-2.037,-0.98,0.024,0.218,15.266,-3.624,13.796,-0.975,-0.296,0.098,25.745,-11.44,-23.319
60.0,-0.995,0.09,0.216,-1.614,5.077,0.782,-1.0,0.119,0.004,1.476,2.177,-2.165,-0.962,0.013,0.209,17.041,-2.311,13.223,-0.98,-0.264,0.117,19.476,-13.345,-20.519
80.0,-1.002,0.09,0.213,-1.201,5.044,0.28,-1.004,0.11,-0.001,1.874,2.117,-2.17,-0.962,0.02,0.215,22.415,-0.762,11.367,-0.987,-0.252,0.113,-3.777,-18.602,-22.315
100.0,-0.997,0.095,0.205,-0.233,5.371,-0.201,-1.003,0.118,0.003,2.17,1.96,-2.17,-0.977,0.054,0.214,19.88,-0.28,8.47,-0.991,-0.275,0.116,-21.31,-23.845,-22.801
120.0,-0.996,0.086,0.203,-0.96,5.441,-0.21,-1.002,0.124,-0.005,2.013,1.3,-2.444,-0.978,0.04,0.208,16.422,-0.165,6.791,-0.966,-0.298,0.121,-29.712,-26.866,-21.225
140.0,-0.999,0.083,0.203,-1.264,5.642,0.381,-1.0,0.124,-0.008,1.468,0.919,-2.916,-0.973,0.03,0.195,16.452,0.309,4.509,-0.945,-0.31,0.121,-36.358,-27.481,-19.472
160.0,-1.008,0.094,0.194,-2.228,5.535,0.49,-1.001,0.118,0.097,1.456,0.574,-3.196,-0.978,0.03,0.197,18.782,0.206,1.669,-0.945,-0.335,0.137,-38.38,-27.158,-17.414
180.0,-1.008,0.096,0.191,-2.565,5.165,0.356,-1.003,0.108,0.043,1.47,0.331,-3.028,-0.973,0.059,0.207,17.686,-0.264,-0.779,-0.943,-0.344,0.144,-37.791,-27.099,-14.788
200.0,-1.01,0.085,0.189,-2.377,4.193,0.1,-1.004,0.11,-0.006,1.435,0.46,-2.56,-0.982,0.09,0.208,11.57,-2.25,-4.018,-0.933,-0.348,0.139,-38.22,-26.404,-12.088
220.0,-1.007,0.083,0.191,-1.804,4.101,0.19,-1.004,0.11,-0.005,1.545,1.115,-2.062,-0.979,0.115,0.21,-3.019,-4.689,-6.9,-0.932,-0.381,0.143,-37.537,-23.502,-10.062
240.0,-1.006,0.087,0.19,-2.061,4.012,0.21,-0.999,0.111,-0.006,1.867,1.294,-1.83,-0.999,0.154,0.212,-23.508,-11.299,-10.147,-0.939,-0.419,0.147,-27.905,-20.23,-7.308
260.0,-1.01,0.078,0.182,-1.7,3.777,0.375,-1.002,0.113,-0.014,1.766,1.053,-1.82,-0.989,0.177,0.215,-58.354,-14.888,-13.514,-0.937,-0.412,0.142,-15.628,-16.412,-3.38
280.0,-1.009,0.083,0.18,-0.718,3.395,0.773,-1.004,0.118,-0.017,1.31,0.515,-1.849,-0.974,0.11,0.223,-72.333,-14.507,-14.13,-0.935,-0.401,0.147,-11.49,-14.11,-2.059
300.0,-1.006,0.084,0.178,-0.269,2.897,0.689,-1.003,0.118,-0.015,1.154,-0.065,-1.925,-0.974,0.047,0.259,-67.421,-13.743,-14.07,-0.938,-0.399,0.152,-10.657,-13.192,-1.425
320.0,-1.005,0.081,0.179,0.311,2.392,0.63,-1.002,0.117,-0.014,1.238,-0.323,-2.133,-0.969,0.052,0.301,-58.623,-12.768,-12.972,-0.922,-0.39,0.151,-12.161,-12.522,0.358
340.0,-1.005,0.082,0.18,0.997,2.31,0.551,-1.003,0.116,-0.018,1.26,-0.663,-2.24,-0.97,0.084,0.31,-53.833,-12.516,-9.411,-0.921,-0.397,0.156,-13.047,-12.748,2.039
360.0,-1.003,0.089,0.184,0.982,2.526,0.566,-1.001,0.113,-0.019,1.147,-0.81,-2.187,-0.998,0.159,0.306,-54.192,-15.303,-5.665,-0.923,-0.391,0.155,-15.539,-13.847,2.773
380.0,-1.002,0.092,0.18,0.414,2.767,0.455,-0.998,0.111,-0.019,1.173,-0.738,-1.974,-1.004,0.181,0.328,-65.874,-19.511,-2.769,-0.913,-0.403,0.146,-20.672,-13.959,2.117
400.0,-1.004,0.088,0.174,-0.08,2.885,0.294,-0.998,0.111,-0.018,1.236,-0.678,-1.749,-1.002,0.187,0.37,-79.089,-25.483,-0.088,-0.904,-0.442,0.143,-16.521,-11.709,2.291
420.0,-1.004,0.086,0.175,-0.415,3.226,0.463,-0.998,0.11,-0.016,1.12,-0.487,-1.785,-1.005,0.203,0.374,-91.513,-31.32,3.371,-0.9,-0.459,0.142,-8.381,-8.459,2.343
440.0,-1.006,0.087,0.172,-0.596,3.286,0.669,-0.998,0.113,-0.018,1.037,-0.303,-1.829,-1.02,0.172,0.353,-97.76,-36.33,8.693,-0.9,-0.471,0.143,-0.666,-4.603,1.905
460.0,-1.01,0.09,0.166,-0.916,2.818,0.682,-0.998,0.119,-0.022,0.876,-0.315,-1.75,-1.02,0.142,0.343,-92.859,-40.815,14.41,-0.898,-0.48,0.142,6.502,-1.065,1.013
480.0,-1.014,0.082,0.159,-1.165,1.918,0.468,-1.001,0.118,-0.024,0.951,-0.571,-1.77,-1.036,0.177,0.33,-98.344,-49.842,17.225,-0.891,-0.486,0.144,14.453,2.206,-0.234
500.0,-1.01,0.08,0.159,-0.683,1.114,0.436,-1.002,0.114,-0.027,0.735,-0.919,-1.906,-1.002,0.068,0.327,-112.905,-53.767,18.023,-0.878,-0.496,0.154,22.428,5.887,-1.212
520.0,-1.008,0.08,0.16,-0.285,0.608,0.618,-0.999,0.118,-0.027,0.662,-1.324,-1.988,-0.983,-0.039,0.324,-103.927,-55.209,18.497,-0.869,-0.512,0.164,33.99,9.509,-2.023
540.0,-1.007,0.081,0.156,-0.356,0.04,0.77,-1.003,0.112,-0.023,0.905,-1.629,-2.079,-0.978,-0.017,0.372,-89.035,-58.291,20.42,-0.865,-0.547,0.169,49.878,14.007,-2.561
560.0,-1.011,0.087,0.161,-0.629,-0.59,0.694,-1.006,0.11,-0.025,0.837,-2.055,-1.807,-0.927,-0.023,0.343,-78.146,-55.087,23.299,-0.888,-0.559,0.177,64.75,17.5,-3.103
580.0,-1.011,0.081,0.156,-0.409,-1.147,0.491,-0.999,0.11,-0.028,0.765,-2.589,-1.534,-0.952,-0.016,0.294,-75.572,-54.301,21.06,-0.904,-0.494,0.181,78.524,17.419,-3.548
600.0,-1.015,0.078,0.157,-0.211,-1.61,0.71,-0.994,0.114,-0.022,0.635,-2.431,-1.475,-0.98,-0.032,0.32,-91.308,-56.789,18.735,-0.901,-0.457,0.176,73.965,16.062,-7.161
620.0,-1.005,0.084,0.162,-0.478,-1.61,0.886,-1.0,0.113,-0.02,0.84,-2.24,-1.763,-0.95,-0.182,0.331,-91.021,-55.752,13.34,-0.908,-0.42,0.172,66.068,14.327,-10.405
640.0,-1.006,0.079,0.163,-0.431,-1.339,1.047,-1.001,0.117,-0.022,0.84,-2.296,-2.022,-0.866,-0.269,0.251,-43.361,-49.521,5.892,-0.915,-0.451,0.165,66.545,12.886,-11.643
660.0,-1.011,0.083,0.157,-0.118,-1.704,1.05,-0.999,0.112,-0.029,0.84,-2.582,-1.894,-0.833,-0.067,0.257,-14.776,-44.024,4.106,-0.909,-0.428,0.164,69.294,13.087,-11.844
680.0,-1.011,0.082,0.157,-0.235,-2.463,0.995,-1.0,0.113,-0.021,0.604,-2.531,-1.89,-0.854,-0.005,0.402,-52.946,-39.599,2.825,-0.924,-0.406,0.159,68.964,12.956,-15.813
700.0,-1.009,0.083,0.159,-0.152,-2.895,0.98,-1.002,0.112,-0.023,0.647,-2.697,-2.021,-0.868,-0.172,0.431,-65.701,-30.519,5.618,-0.944,-0.395,0.166,71.425,13.645,-18.161
720.0,-1.012,0.08,0.159,-0.276,-3.185,1.184,-1.005,0.112,-0.027,0.679,-2.965,-2.1,-0.885,-0.155,0.424,-46.617,-24.268,5.874,-0.961,-0.375,0.175,72.902,12.435,-18.542
740.0,-1.013,0.082,0.158,-0.28,-3.701,1.104,-1.006,0.114,-0.029,0.499,-3.379,-2.1,-0.897,-0.084,0.428,-37.617,-24.054,3.666,-0.957,-0.352,0.168,72.12,11.49,-17.55
760.0,-1.012,0.084,0.161,-0.367,-4.015,0.88,-1.003,0.115,-0.03,0.257,-4.17,-2.065,-0.875,-0.089,0.467,-41.506,-23.032,1.679,-0.95,-0.373,0.163,73.787,12.296,-15.191
780.0,-1.008,0.086,0.16,-0.539,-4.104,0.84,-1.002,0.114,-0.025,0.28,-4.912,-2.082,-0.862,-0.131,0.483,-43.279,-19.796,3.349,-0.959,-0.363,0.164,76.859,13.811,-12.937
800.0,-1.009,0.085,0.161,-0.48,-4.439,0.708,-1.005,0.116,-0.021,0.35,-5.303,-2.246,-0.864,-0.116,0.48,-39.636,-17.493,6.202,-0.967,-0.33,0.17,76.449,15.956,-8.217
820.0,-1.008,0.083,0.163,-0.121,-4.649,0.421,-1.001,0.116,-0.023,0.373,-5.46,-2.357,-0.862,-0.081,0.472,-38.196,-17.882,6.085,-0.963,-0.297,0.198,69.482,18.149,-4.167
840.0,-1.006,0.081,0.163,-0.023,-4.726,0.425,-0.999,0.109,-0.021,0.506,-5.663,-2.229,-0.858,-0.117,0.476,-38.467,-19.133,2.363,-0.959,-0.301,0.224,61.846,18.859,-0.403
860.0,-1.007,0.083,0.163,-0.224,-4.814,0.455,-1.0,0.11,-0.018,0.416,-5.646,-2.1,-0.849,-0.147,0.536,-36.312,-12.91,0.083,-0.954,-0.343,0.215,62.564,19.997,3.635
880.0,-1.008,0.08,0.165,-0.12,-5.145,0.467,-0.999,0.111,-0.014,0.232,-5.412,-2.122,-0.84,-0.142,0.558,-28.341,-7.786,0.296,-0.936,-0.328,0.199,68.232,22.347,7.137
900.0,-1.007,0.078,0.167,0.19,-5.463,0.723,-1.005,0.108,-0.009,0.35,-5.321,-2.236,-0.77,-0.092,0.534,-25.529,-9.131,3.065,-0.938,-0.309,0.201,66.783,23.04,9.537
920.0,-1.01,0.081,0.166,0.062,-5.68,0.812,-1.004,0.113,-0.016,0.348,-5.427,-2.1,-0.839,-0.084,0.527,-23.696,-1.983,3.043,-0.949,-0.29,0.213,63.757,22.516,11.507
940.0,-1.012,0.078,0.168,-0.128,-5.946,0.676,-1.0,0.109,-0.017,0.258,-5.806,-2.1,-0.85,-0.099,0.529,-23.46,0.109,3.518,-0.971,-0.255,0.212,51.47,19.747,11.468
960.0,-1.01,0.077,0.168,0.064,-6.202,0.591,-0.998,0.113,-0.014,-0.14,-5.657,-2.103,-0.851,-0.128,0.518,-17.767,1.791,4.673,-0.976,-0.264,0.216,35.438,15.92,11.35
980.0,-1.005,0.08,0.171,0.321,-6.212,0.526,-0.998,0.108,-0.009,-0.14,-5.6,-2.17,-0.843,-0.133,0.501,-10.584,2.786,5.57,-0.974,-0.292,0.222,24.491,13.777,11.684
1000.0,-1.004,0.083,0.178,0.265,-5.979,0.508,-1.003,0.109,-0.011,-0.206,-5.594,-2.087,-0.838,-0.128,0.488,-1.05,6.58,6.37,-0.964,-0.32,0.222,20.771,13.216,13.392
1020.0,-1.007,0.082,0.175,-0.225,-5.972,0.586,-0.999,0.106,-0.005,-0.072,-5.312,-1.881,-0.851,-0.097,0.483,1.398,9.007,6.693,-0.955,-0.314,0.219,16.807,12.643,13.938
1040.0,-1.007,0.074,0.174,-0.313,-6.061,0.805,-0.999,0.111,-0.011,-0.481,-5.198,-1.701,-0.854,-0.101,0.456,7.058,12.725,7.131,-0.952,-0.308,0.218,9.738,11.692,13.199
1060.0,-1.005,0.073,0.181,-0.1,-5.997,1.119,-0.996,0.109,-0.005,-0.379,-4.766,-1.412,-0.864,-0.069,0.458,5.466,13.433,5.956,-0.948,-0.314,0.222,4.315,10.651,12.634
1080.0,-1.002,0.079,0.183,-0.141,-5.59,1.23,-0.997,0.104,0.003,-0.032,-4.247,-1.585,-0.869,-0.101,0.472,7.084,16.654,7.75,-0.946,-0.318,0.222,1.644,9.644,12.433
1100.0,-1.004,0.082,0.18,-0.313,-5.472,1.26,-1.005,0.112,-0.01,0.07,-4.06,-1.68,-0.862,-0.112,0.501,9.965,22.264,11.177,-0.946,-0.318,0.218,-1.926,8.714,11.55
1120.0,-1.011,0.081,0.177,-0.377,-5.672,1.206,-1.008,0.114,-0.015,-0.083,-4.758,-1.68,-0.885,-0.115,0.465,18.374,28.081,13.43,-0.957,-0.324,0.216,-4.724,7.327,10.688
1140.0,-1.008,0.073,0.183,-0.223,-6.001,1.124,-1.005,0.116,-0.01,-0.902,-5.309,-1.931,-0.866,-0.098,0.425,30.263,33.108,13.035,-0.956,-0.328,0.214,-5.11,6.809,10.179
1160.0,-1.005,0.083,0.187,0.132,-5.929,1.177,-0.997,0.113,-0.011,-0.922,-5.664,-1.96,-0.867,-0.109,0.395,44.628,37.514,8.836,-0.954,-0.322,0.207,-6.101,6.79,9.218
1180.0,-1.004,0.09,0.186,-0.01,-5.855,0.641,-0.997,0.107,-0.0,-0.721,-5.485,-2.279,-0.889,-0.113,0.371,60.909,52.165,10.303,-0.969,-0.315,0.205,-10.337,6.386,7.888
1200.0,-1.002,0.08,0.186,-0.538,-5.608,0.147,-1.002,0.11,-0.001,0.224,-5.46,-2.618,-0.927,-0.206,0.32,109.18,53.092,3.401,-0.974,-0.31,0.207,-16.509,4.979,6.574
1220.0,-0.998,0.08,0.191,-0.09,-5.132,0.175,-1.0,0.114,-0.001,0.435,-5.361,-2.742,-0.923,-0.229,0.26,163.571,59.455,3.948,-0.965,-0.305,0.207,-24.749,3.11,4.471
1240.0,-0.995,0.083,0.195,0.127,-4.204,-0.282,-0.998,0.107,0.009,0.951,-4.648,-3.244,-0.92,-0.168,0.181,222.759,77.038,2.873,-0.961,-0.301,0.201,-35.272,0.779,1.131
1260.0,-0.993,0.082,0.199,-0.734,-2.875,-0.626,-0.996,0.1,0.009,1.41,-3.713,-3.135,-0.948,-0.075,0.102,269.211,82.864,0.183,-0.961,-0.27,0.174,-51.856,-3.304,-3.222
1280.0,-1.0,0.082,0.203,-1.168,-1.846,-0.872,-0.993,0.101,0.018,1.107,-2.344,-2.694,-0.992,0.06,0.074,278.06,82.373,1.024,-0.946,-0.265,0.155,-71.629,-8.063,-7.613
1300.0,-0.992,0.089,0.2,-0.422,-0.541,-1.321,-0.994,0.102,0.011,1.127,-0.939,-2.545,-1.046,0.229,0.117,268.74,75.08,3.402,-0.923,-0.328,0.155,-80.265,-10.685,-10.377
1320.0,-0.993,0.071,0.2,-0.483,1.145,-2.13,-1.004,0.106,-0.001,1.025,-0.865,-2.421,-1.05,0.189,0.362,251.882,70.637,2.87,-0.918,-0.352,0.146,-83.439,-12.385,-13.602
1340.0,-0.996,0.093,0.197,-0.356,2.013,-2.777,-1.007,0.113,-0.007,0.871,-1.392,-2.67,-0.996,0.154,0.279,245.337,85.092,0.75,-0.925,-0.359,0.131,-90.702,-14.319,-18.95
1360.0,-0.991,0.087,0.201,-1.378,3.27,-4.289,-1.004,0.11,-0.004,0.507,-1.819,-2.969,-0.941,0.396,0.139,182.495,89.629,-8.603,-0.922,-0.343,0.1,-98.281,-15.628,-22.963
1380.0,-0.992,0.083,0.204,-1.4,5.395,-5.209,-1.003,0.107,-0.006,0.21,-2.235,-2.983,-0.925,0.329,0.302,132.15,74.976,-22.614,-0.919,-0.348,0.073,-109.46,-16.4,-27.508
1400.0,-1.0,0.07,0.183,-1.333,6.59,-5.658,-1.005,0.108,-0.01,0.21,-3.065,-3.097,-1.077,0.077,0.818,193.352,63.761,-5.92,-0.914,-0.423,0.066,-109.657,-15.262,-29.452
1420.0,-1.004,0.077,0.182,-3.261,6.786,-5.298,-1.002,0.109,-0.001,0.243,-3.309,-3.834,-1.369,1.178,0.403,119.073,60.854,28.746,-0.932,-0.441,0.07,-101.696,-12.944,-30.39
1440.0,-1.021,0.062,0.16,-3.635,5.9,-5.135,-0.998,0.108,-0.001,0.653,-3.322,-4.381,-0.914,0.707,0.373,-103.031,-52.023,-3.19,-0.982,-0.388,0.092,-101.476,-12.47,-30.865
1460.0,-1.028,0.037,0.148,-2.601,3.784,-4.877,-1.004,0.111,-0.006,0.986,-3.586,-5.191,-0.747,-0.078,-0.006,-49.161,30.333,-8.237,-0.937,-0.372,0.095,-116.411,-13.43,-30.929
1480.0,-1.022,0.019,0.149,-1.039,1.852,-3.434,-1.006,0.109,-0.006,1.23,-3.72,-6.137,-1.114,0.437,0.016,-67.157,-15.495,-4.747,-0.858,-0.534,0.015,-106.877,-9.318,-32.383
1500.0,-1.028,0.118,0.163,-0.912,-0.636,-4.31,-1.008,0.09,0.002,2.706,-3.996,-5.942,-0.977,0.178,-0.01,-93.863,-8.849,-8.629,-0.835,-0.588,0.014,-71.853,5.654,-26.842
1520.0,-1.037,0.05,0.136,-2.538,-3.829,-4.754,-1.009,0.086,0.005,2.918,-3.788,-4.955,-0.99,0.048,-0.003,-62.465,-18.732,-3.548,-0.842,-0.544,-0.001,-38.92,17.78,-19.53
1540.0,-1.009,0.017,0.17,-0.005,-4.739,-3.725,-0.999,0.102,0.006,1.487,-3.584,-5.183,-0.904,0.071,0.014,-34.743,-10.2,-0.21,-0.899,-0.55,0.142,-13.86,25.76,-10.43
1560.0,-1.003,0.023,0.169,2.274,-4.421,-1.994,-0.998,0.117,0.006,0.765,-3.356,-6.732,-0.935,0.054,-0.02,-13.382,-5.146,-0.21,-1.156,-0.483,0.404,-16.66,-6.58,-5.39
1580.0,-1.006,0.071,0.165,1.53,-5.103,-1.338,-1.004,0.094,-0.002,1.549,-3.307,-7.172,-0.937,0.102,-0.026,-2.591,-3.891,-0.156,-1.112,-0.248,0.434,-16.542,-23.272,-1.35
1600.0,-1.018,0.078,0.173,-1.069,-5.851,-2.558,-1.008,0.098,-0.004,1.492,-3.638,-6.907,-0.971,0.219,0.015,-14.825,-0.711,0.454,-0.968,-0.336,0.239,-61.985,-27.895,-8.608
1620.0,-1.009,0.066,0.179,-1.433,-5.623,-4.146,-1.005,0.092,-0.002,0.269,-4.514,-6.76,-1.007,0.164,0.111,-34.777,-4.772,0.049,-0.871,-0.526,0.112,-63.659,-1.14,-11.032
1640.0,-0.998,0.035,0.182,-0.212,-4.608,-3.81,-1.003,0.083,0.002,-0.142,-5.037,-6.401,-0.982,0.056,0.142,-27.877,-1.874,3.098,-0.853,-0.71,0.067,-15.762,-6.327,-7.589
1660.0,-1.008,0.039,0.174,0.018,-4.443,-2.633,-0.998,0.082,0.008,-0.303,-4.945,-6.3,-1.01,0.037,0.18,-9.168,-0.838,5.912,-0.994,-0.75,0.059,25.475,9.222,-0.747
1680.0,-1.012,0.043,0.17,-0.952,-4.573,-2.449,-1.002,0.082,0.007,0.646,-4.709,-6.241,-1.021,0.092,0.217,-3.7,-4.25,4.173,-0.888,-0.57,0.012,85.68,14.98,3.36
1700.0,-1.006,0.048,0.182,-1.053,-4.67,-2.708,-1.002,0.082,0.005,1.151,-4.638,-5.98,-0.974,0.09,0.228,-10.67,-6.411,3.481,-0.904,-0.439,-0.016,81.488,14.866,1.68
1720.0,-1.004,0.052,0.185,-0.625,-4.587,-3.17,-1.006,0.105,0.002,1.255,-4.967,-6.747,-0.971,0.078,0.224,-12.284,-5.963,-1.017,-0.907,-0.436,-0.035,66.408,14.581,0.805
1740.0,-1.01,0.04,0.177,-0.548,-4.276,-3.414,-1.005,0.09,0.008,0.403,-4.62,-7.139,-0.949,0.08,0.203,-6.969,-2.611,-2.02,-0.912,-0.444,-0.018,55.488,15.062,-0.53
1760.0,-1.009,0.026,0.181,-0.516,-4.076,-3.106,-1.003,0.066,0.006,0.212,-4.62,-6.909,-0.987,0.129,0.175,-3.505,-1.05,-0.705,-0.904,-0.477,0.001,56.69,15.572,-0.21
1780.0,-0.999,0.027,0.189,0.188,-3.558,-2.63,-1.003,0.053,0.01,0.495,-4.54,-5.819,-0.978,0.137,0.142,-4.27,-1.05,-1.4,-0.91,-0.403,0.006,54.025,13.545,-0.367
1800.0,-0.998,0.035,0.186,0.578,-2.704,-2.436,-0.999,0.062,0.018,0.55,-3.606,-4.4,-0.98,0.149,0.137,-3.946,-1.633,-0.493,-0.918,-0.346,0.016,31.392,8.225,-2.147
1820.0,-1.006,0.04,0.181,0.107,-2.333,-2.564,-0.995,0.073,0.019,1.491,-2.414,-4.067,-0.981,0.157,0.118,-8.248,-0.488,-0.927,-0.922,-0.359,0.026,12.494,2.424,-3.319
1840.0,-1.008,0.042,0.184,0.165,-1.987,-3.088,-1.004,0.065,0.01,1.971,-1.977,-4.06,-1.107,0.138,0.103,-4.925,-0.714,-1.378,-0.922,-0.393,0.035,0.398,-2.44,-3.773
1860.0,-1.006,0.031,0.185,0.463,-1.484,-3.117,-1.012,0.073,0.0,2.232,-2.308,-3.715,-1.022,0.127,0.112,-2.794,-1.403,-0.475,-0.912,-0.406,0.031,-9.259,-4.333,-3.456
1880.0,-1.005,0.015,0.18,0.819,-1.267,-2.429,-1.01,0.067,0.005,1.338,-2.788,-3.276,-0.998,0.124,0.118,-0.761,-2.316,0.129,-0.917,-0.439,0.032,-11.663,-4.037,-2.527
1900.0,-1.004,0.015,0.179,0.96,-1.03,-1.707,-1.004,0.065,0.012,1.05,-2.725,-2.655,-0.995,0.12,0.129,1.772,-5.112,0.945,-0.918,-0.467,0.04,-10.376,-2.592,-1.62
1920.0,-1.002,0.04,0.187,0.429,-0.188,-1.736,-1.003,0.065,0.008,1.168,-2.748,-2.217,-0.982,0.135,0.143,0.828,-4.188,2.392,-0.921,-0.499,0.04,-6.794,-0.388,-1.54
1940.0,-1.001,0.039,0.184,-0.128,0.506,-2.521,-1.004,0.078,0.002,1.448,-2.833,-2.215,-0.983,0.098,0.164,4.933,-4.401,1.404,-0.903,-0.494,0.034,0.246,3.277,-1.605
1960.0,-1.009,0.028,0.175,-0.417,0.63,-2.915,-1.007,0.078,0.003,0.945,-3.224,-2.696,-0.981,0.105,0.163,8.951,-3.504,-0.079,-0.904,-0.496,0.073,8.219,4.263,-0.729
1980.0,-1.016,0.03,0.171,-0.558,0.553,-2.914,-1.005,0.076,0.007,1.002,-3.767,-2.944,-1.0,0.149,0.17,3.96,-5.155,-1.34,-0.909,-0.459,0.078,10.903,3.998,0.069
2000.0,-1.021,0.013,0.163,-0.473,-0.173,-2.601,-1.008,0.066,0.011,0.291,-3.605,-2.728,-0.995,0.143,0.165,-3.61,-5.144,-1.673,-0.914,-0.439,0.085,3.884,2.078,-1.416
2020.0,-1.016,0.007,0.166,0.315,-1.08,-1.763,-1.011,0.046,0.001,0.086,-3.651,-1.831,-0.979,0.126,0.157,-5.133,-3.989,-0.457,-0.912,-0.453,0.079,0.29,1.749,-1.545
2040.0,-1.019,0.012,0.158,-0.032,-2.266,-0.646,-1.007,0.048,0.002,1.057,-4.6,0.071,-0.98,0.117,0.156,-2.416,-0.195,-0.441,-0.905,-0.47,0.06,0.715,2.695,-0.38
2060.0,-1.025,0.0,0.154,0.152,-4.115,0.317,-0.998,0.067,0.006,2.149,-4.582,0.967,-1.0,0.135,0.17,-3.06,0.218,-2.593,-0.903,-0.472,0.052,3.829,4.79,1.979
2080.0,-1.022,0.0,0.16,1.944,-5.714,1.384,-1.003,0.094,0.011,1.015,-4.232,0.578,-1.003,0.145,0.187,-17.605,-3.086,-6.467,-0.908,-0.471,0.044,6.31,6.764,4.806
