Millis,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1124800,-0.059,-0.424,0.960,0.980,-2.450,-0.840
1124818,-0.058,-0.420,0.964,0.420,-2.450,-0.840
1124840,-0.055,-0.423,0.961,1.120,-2.380,-0.770
1124864,-0.060,-0.425,0.961,1.260,-2.450,-0.840
1124884,-0.057,-0.425,0.960,0.700,-2.380,-0.840
1124904,-0.058,-0.421,0.962,0.770,-2.450,-0.770
1124922,-0.058,-0.424,0.963,0.980,-2.380,-0.700
1124942,-0.058,-0.425,0.961,0.910,-2.660,-0.770
1124962,-0.059,-0.423,0.960,0.630,-2.520,-0.840
1124981,-0.059,-0.421,0.961,1.050,-2.380,-0.910
1125001,-0.057,-0.426,0.960,0.980,-2.450,-0.770
1125024,-0.060,-0.426,0.961,1.050,-2.590,-0.910
1125047,-0.057,-0.423,0.962,0.560,-2.380,-0.840
1125066,-0.056,-0.424,0.962,0.840,-2.310,-0.840
1125086,-0.056,-0.423,0.961,1.120,-2.310,-0.700
1125105,-0.061,-0.425,0.962,0.910,-2.380,-0.770
1125126,-0.060,-0.423,0.961,0.910,-2.520,-0.770
1125144,-0.058,-0.422,0.957,0.560,-2.520,-0.840
1125166,-0.058,-0.424,0.963,1.190,-2.450,-0.700
1125186,-0.058,-0.424,0.959,1.260,-2.450,-0.770
1125206,-0.059,-0.423,0.959,0.630,-2.380,-0.770
1125226,-0.060,-0.422,0.962,0.840,-2.450,-0.700
1125246,-0.059,-0.425,0.961,1.050,-2.380,-0.700
1125266,-0.059,-0.425,0.963,1.050,-2.450,-0.700
1125286,-0.057,-0.421,0.961,0.630,-2.450,-0.980
1125306,-0.058,-0.422,0.962,0.630,-2.380,-0.770
1125326,-0.058,-0.427,0.964,0.980,-2.450,-0.700
1125344,-0.056,-0.423,0.960,0.140,-2.590,-0.840
1125365,-0.055,-0.421,0.961,0.770,-2.380,-0.700
1125388,-0.053,-0.421,0.962,1.190,-2.380,-0.700
1125407,-0.057,-0.428,0.959,1.120,-2.310,-0.700
1125427,-0.056,-0.423,0.960,1.050,-2.310,-0.770
1125447,-0.060,-0.422,0.961,1.330,-2.380,-0.700
1125467,-0.061,-0.423,0.961,1.190,-2.240,-0.700
1125487,-0.061,-0.423,0.962,1.120,-2.380,-0.770
1125511,-0.060,-0.421,0.962,0.770,-2.450,-0.700
1125530,-0.059,-0.425,0.961,0.560,-2.520,-0.840
1125554,-0.060,-0.424,0.961,0.700,-2.520,-0.840
1125574,-0.058,-0.424,0.964,0.630,-2.450,-0.770
1125594,-0.059,-0.427,0.960,0.700,-2.590,-0.770
1125614,-0.057,-0.421,0.962,0.140,-2.520,-0.840
1125633,-0.058,-0.424,0.961,1.540,-2.380,-0.770
1125653,-0.060,-0.426,0.961,1.540,-2.450,-0.840
1125673,-0.060,-0.425,0.959,0.490,-2.450,-0.770
1125697,-0.057,-0.422,0.965,0.560,-2.520,-0.700
1125717,-0.056,-0.423,0.961,1.190,-2.240,-0.700
1125737,-0.059,-0.426,0.965,1.330,-2.450,-0.840
1125757,-0.059,-0.426,0.959,0.980,-2.380,-0.770
1125776,-0.057,-0.421,0.961,0.420,-2.310,-0.770
1125796,-0.055,-0.424,0.960,1.540,-2.240,-0.700
1125816,-0.058,-0.426,0.963,0.770,-2.450,-0.770
1125840,-0.059,-0.421,0.962,0.560,-2.520,-0.840
1125860,-0.059,-0.421,0.963,0.770,-2.310,-0.770
1125880,-0.057,-0.426,0.961,1.260,-2.450,-0.770
1125898,-0.059,-0.425,0.959,0.700,-2.450,-0.630
1125922,-0.060,-0.425,0.964,0.700,-2.450,-0.770
1125942,-0.060,-0.425,0.961,0.840,-2.450,-0.770
1125962,-0.057,-0.423,0.960,0.770,-2.310,-0.630
1125986,-0.056,-0.424,0.963,0.980,-2.450,-0.770
1126006,-0.059,-0.425,0.959,0.840,-2.520,-0.700
1126023,-0.058,-0.423,0.962,0.700,-2.310,-0.770
1126043,-0.057,-0.424,0.964,1.050,-2.310,-0.770
1126062,-0.058,-0.426,0.960,1.120,-2.380,-0.770
1126082,-0.060,-0.425,0.962,0.630,-2.590,-0.840
1126102,-0.058,-0.422,0.962,0.630,-2.520,-0.770
1126122,-0.058,-0.422,0.961,1.120,-2.520,-0.700
1126147,-0.056,-0.426,0.961,0.700,-2.520,-0.700
1126167,-0.059,-0.426,0.962,0.840,-2.520,-0.770
1126187,-0.058,-0.423,0.960,0.420,-2.450,-0.770
1126207,-0.058,-0.425,0.965,0.980,-2.450,-0.770
1126227,-0.057,-0.425,0.960,1.470,-2.450,-0.840
1126245,-0.059,-0.424,0.963,0.420,-2.450,-0.840
1126266,-0.057,-0.423,0.963,1.050,-2.450,-0.840
1126285,-0.061,-0.427,0.961,1.400,-2.450,-0.840
1126307,-0.060,-0.423,0.958,0.980,-2.520,-0.770
1126330,-0.060,-0.423,0.959,0.560,-2.450,-0.700
1126348,-0.058,-0.426,0.963,1.050,-2.100,-0.700
1126370,-0.060,-0.424,0.957,1.400,-2.450,-0.700
1126394,-0.058,-0.424,0.962,0.910,-2.450,-0.770
1126414,-0.060,-0.425,0.962,1.050,-2.450,-0.840
1126434,-0.058,-0.423,0.959,0.630,-2.240,-0.770
1126453,-0.057,-0.422,0.964,0.980,-2.520,-0.770
1126478,-0.059,-0.424,0.960,1.120,-2.660,-0.840
1126498,-0.057,-0.425,0.960,0.560,-2.590,-0.770
1126517,-0.057,-0.423,0.962,0.910,-2.240,-0.770
1126537,-0.055,-0.423,0.962,1.120,-2.240,-0.770
1126558,-0.058,-0.425,0.962,0.840,-2.450,-0.840
1126578,-0.059,-0.421,0.958,0.630,-2.450,-0.840
1126598,-0.059,-0.421,0.963,0.490,-2.380,-0.770
1126618,-0.058,-0.422,0.963,1.120,-2.450,-0.770
1126642,-0.059,-0.425,0.961,0.630,-2.310,-0.770
1126661,-0.058,-0.425,0.957,0.630,-2.590,-0.770
1126681,-0.057,-0.422,0.960,0.350,-2.380,-0.770
1126700,-0.058,-0.423,0.962,1.330,-2.240,-0.770
1126723,-0.056,-0.426,0.961,1.400,-2.380,-0.770
1126743,-0.059,-0.427,0.963,0.910,-2.450,-0.770
1126762,-0.059,-0.422,0.962,0.700,-2.380,-0.770
1126782,-0.059,-0.422,0.961,1.050,-2.380,-0.700
1126802,-0.055,-0.426,0.964,1.190,-2.450,-0.700
1126827,-0.058,-0.422,0.962,0.630,-2.450,-0.770
1126846,-0.058,-0.422,0.964,0.490,-2.590,-0.910
1126867,-0.060,-0.423,0.961,1.120,-2.590,-0.700
1126886,-0.058,-0.424,0.962,1.050,-2.450,-0.700
1126910,-0.059,-0.424,0.962,0.560,-2.450,-0.630
1126930,-0.056,-0.426,0.961,0.910,-2.520,-0.840
1126950,-0.058,-0.421,0.960,1.050,-2.380,-0.770
1126970,-0.057,-0.426,0.962,0.840,-2.380,-0.770
1126990,-0.060,-0.426,0.958,1.260,-2.590,-0.840
1127009,-0.060,-0.423,0.961,0.630,-2.380,-0.630
1127033,-0.058,-0.425,0.966,1.330,-2.520,-0.770
1127053,-0.059,-0.424,0.959,0.770,-2.520,-0.770
1127073,-0.058,-0.424,0.963,0.980,-2.590,-0.910
1127093,-0.057,-0.425,0.961,0.840,-2.450,-0.770
1127108,-0.058,-0.425,0.961,0.700,-2.450,-0.770
1127131,-0.058,-0.426,0.960,1.050,-2.450,-0.770
1127155,-0.061,-0.425,0.959,0.840,-2.450,-0.840
1127174,-0.057,-0.426,0.962,0.770,-2.520,-0.770
1127191,-0.057,-0.423,0.961,1.120,-2.240,-0.700
1127210,-0.057,-0.427,0.961,1.190,-2.380,-0.700
1127234,-0.057,-0.425,0.963,0.910,-2.450,-0.840
1127257,-0.056,-0.424,0.962,0.840,-2.450,-0.770
1127281,-0.059,-0.424,0.963,0.700,-2.450,-0.840
1127301,-0.059,-0.424,0.962,0.980,-2.310,-0.700
1127321,-0.058,-0.424,0.962,1.330,-2.450,-0.840
1127345,-0.057,-0.425,0.962,0.840,-2.380,-0.770
1127364,-0.060,-0.426,0.963,0.630,-2.450,-0.700
1127389,-0.060,-0.424,0.961,0.910,-2.450,-0.770
1127409,-0.057,-0.427,0.960,1.190,-2.310,-0.770
1127429,-0.058,-0.425,0.962,0.770,-2.450,-0.770
1127449,-0.058,-0.424,0.964,0.490,-2.450,-0.840
1127469,-0.058,-0.424,0.961,1.050,-2.310,-0.770
1127489,-0.059,-0.424,0.960,0.980,-2.450,-0.770
1127509,-0.058,-0.423,0.962,0.840,-2.380,-0.700
1127528,-0.057,-0.424,0.963,0.980,-2.450,-0.770
1127548,-0.058,-0.424,0.959,0.700,-2.590,-0.770
1127568,-0.060,-0.423,0.964,0.840,-2.380,-0.840
1127593,-0.058,-0.423,0.959,0.980,-2.380,-0.770
1127613,-0.058,-0.423,0.959,0.770,-2.310,-0.700
1127630,-0.058,-0.423,0.962,0.560,-2.380,-0.700
1127650,-0.058,-0.423,0.964,0.700,-2.380,-0.770
1127674,-0.059,-0.424,0.964,1.050,-2.450,-0.840
1127694,-0.057,-0.425,0.961,0.840,-2.380,-0.840
1127714,-0.059,-0.424,0.962,0.560,-2.520,-0.700
1127734,-0.059,-0.421,0.964,1.260,-2.310,-0.840
1127752,-0.057,-0.426,0.962,1.050,-2.520,-0.700
1127776,-0.057,-0.425,0.960,0.980,-2.380,-0.840
1127796,-0.056,-0.421,0.962,0.700,-2.450,-0.770
1127816,-0.057,-0.424,0.962,0.910,-2.240,-0.630
1127836,-0.058,-0.424,0.963,0.980,-2.310,-0.630
1127856,-0.059,-0.425,0.960,1.050,-2.520,-0.770
1127880,-0.058,-0.424,0.959,0.560,-2.520,-0.770
1127899,-0.060,-0.424,0.964,0.910,-2.520,-0.770
1127920,-0.061,-0.424,0.959,0.980,-2.380,-0.770
1127938,-0.057,-0.424,0.963,0.980,-2.450,-0.770
1127959,-0.060,-0.422,0.961,0.910,-2.520,-0.770
1127979,-0.057,-0.422,0.961,0.770,-2.310,-0.700
1128003,-0.057,-0.423,0.960,0.840,-2.380,-0.770
1128023,-0.058,-0.424,0.962,0.910,-2.450,-0.840
1128041,-0.058,-0.422,0.962,0.910,-2.380,-0.910
1128063,-0.059,-0.425,0.963,1.190,-2.380,-0.770
1128083,-0.058,-0.424,0.960,1.190,-2.240,-0.770
